population.superpopulation,power,her,num_causals,pheno_num,train,val,test
AFR,-1,0.7,512,1,0.5952352484609189,0.2793462480187071,0.27486576968567766
AFR,-1,0.7,512,2,0.6211394111598978,0.2219654864777736,0.11562737111996613
AFR,-1,0.7,512,3,0.7344034157283394,0.25101632778503913,0.09685014189406871
AFR,-1,0.7,512,4,0.615704500601086,0.23916288590876755,0.24811921245127477
AFR,-1,0.7,512,5,0.7085262242713707,0.33547168476306066,0.17875121650701653
AFR,-1,0.7,512,6,0.637095135243835,0.310419347327225,0.203615055694347
AFR,-1,0.7,512,7,0.7113537139762054,0.24846531947644623,0.22674107721432457
AFR,-1,0.7,512,8,0.6754901689456835,0.23213208374199334,0.18660309487412352
AFR,-1,0.7,512,9,0.6810252035634401,0.22546343108832523,0.20425155211793689
AFR,-1,0.7,512,10,0.7277576873518521,0.22439278149749586,0.243537412668417
AFR,-1,0.7,512,11,0.6772627400414287,0.23993885846851537,0.13818049380363095
AFR,-1,0.7,512,12,0.6121513776753562,0.28197698475154653,0.2750849492489412
AFR,-1,0.7,512,13,0.7932479685563154,0.19872209405939778,0.1812489479668017
AFR,-1,0.7,512,14,0.5198829351446885,0.30114324006933957,0.15760854070797792
AFR,-1,0.7,512,15,0.683171538421323,0.3302676694413539,0.2548259615290678
AFR,-1,0.7,512,16,0.6810148807289808,0.2630198234593516,0.2885380001559692
AFR,-1,0.7,512,17,0.7096930219814304,0.35756968243343357,0.18960820380273324
AFR,-1,0.7,512,18,0.6109107599480907,0.2688443248730371,0.17213052956606412
AFR,-1,0.7,512,19,0.6144435661564105,0.2771777208765266,0.14665233106276676
AFR,-1,0.7,512,20,0.8039832221711465,0.198126369630231,0.18517591628611385
