population.superpopulation,power,her,num_causals,pheno_num,train,val,test
EAS,-1,0.1,10,1,0.19497189553578487,-0.010650066137008807,-0.0572265118177937
EAS,-1,0.1,10,2,0.22286926015904018,-9.445705892812128e-4,-0.06151620879209263
EAS,-1,0.1,10,3,0.23456524760198005,-0.10538172412626001,0.012808954686917784
EAS,-1,0.1,10,4,0.0744075726169886,-0.034559686087350716,-0.021471031700172505
EAS,-1,0.1,10,5,0.19895970971784727,-0.0912373361512604,6.565830438376441e-4
EAS,-1,0.1,10,6,0.5058082130778598,0.0010387512939703525,0.03284401994942432
EAS,-1,0.1,10,7,0.07983757745335107,-0.014515377425337261,0.003511834402545211
EAS,-1,0.1,10,8,0.14015537585198024,-0.055114741883589335,0.0024880252131117553
EAS,-1,0.1,10,9,0.20411462519486057,-0.026480880215600244,-0.0496979200979033
EAS,-1,0.1,10,10,0.22289794632130178,-0.03212584937277074,-0.008286803012725441
EAS,-1,0.1,10,11,0.19765518267880888,-0.053270511412632615,-0.061373540915492075
EAS,-1,0.1,10,12,0.18486388996384384,-0.03383453899189104,-0.0753692407398765
EAS,-1,0.1,10,13,0.2251552349076268,-0.016880875628404013,-0.08977866395493272
EAS,-1,0.1,10,14,0.19181363879178626,-0.02910878456181365,-0.018581830159986712
EAS,-1,0.1,10,15,0.5298432701938761,-0.02655195897850482,-0.18474515452350437
EAS,-1,0.1,10,16,0.4531318432142184,0.178368211375024,0.1318137586592547
EAS,-1,0.1,10,17,0.45252569060891434,0.03400975968205111,-0.11285432564586184
EAS,-1,0.1,10,18,0.22280029695947234,-0.023480952243410957,0.04118350268238613
EAS,-1,0.1,10,19,0.26871952816664413,-0.00994877817388451,0.009534274161090317
EAS,-1,0.1,10,20,0.1366057951126204,-0.0018510950465719933,-0.06160782581336388
