population/superpopulation,power,her,num_causals,pheno_num,train,test
AMR,-1,0.3,100,1,0.9027386479999202,0.10384773933935545
AMR,-1,0.3,100,2,0.9285658700391886,0.018068232387910138
AMR,-1,0.3,100,3,0.9480748944561516,0.000728891276401652
AMR,-1,0.3,100,4,0.8888248020864009,0.004803916486274332
AMR,-1,0.3,100,5,0.8853438203998916,0.0003016710888139917
AMR,-1,0.3,100,6,0.89934890416593,0.11342289290474597
AMR,-1,0.3,100,7,0.9555005811297892,4.252341402580305e-05
AMR,-1,0.3,100,8,0.9053332496909154,0.004032886534834176
AMR,-1,0.3,100,9,0.8993457950938796,0.0267208091403903
AMR,-1,0.3,100,10,0.8503519463274222,0.05214885145268078
AMR,-1,0.3,100,11,0.92996986151468,0.012449583462621455
AMR,-1,0.3,100,12,0.9327202727362056,0.057485443542357996
AMR,-1,0.3,100,13,0.9148171069381436,0.0010494353343251973
AMR,-1,0.3,100,14,0.937405377076394,0.30929467840382635
AMR,-1,0.3,100,15,0.9495505068202811,0.00784152414837251
AMR,-1,0.3,100,16,0.9154674677185759,0.10843805329956824
AMR,-1,0.3,100,17,0.9082017995037825,0.00020964568717339705
AMR,-1,0.3,100,18,0.9001868775089118,0.007779721115662587
AMR,-1,0.3,100,19,0.8844518476488676,0.005721096898045825
AMR,-1,0.3,100,20,0.9709166363232247,0.05528000188708131
