population/superpopulation,power,her,num_causals,pheno_num,train,test
EUR,-1,0.9,512,1,0.876058956473278,0.6546646069094971
EUR,-1,0.9,512,2,0.8985694052615631,0.5161388647035077
EUR,-1,0.9,512,3,0.8803453454465013,0.5857557552790232
EUR,-1,0.9,512,4,0.924765523840706,0.5556227038723777
EUR,-1,0.9,512,5,0.8909661727890418,0.5025061150732341
EUR,-1,0.9,512,6,0.9304856925536485,0.5069194128370328
EUR,-1,0.9,512,7,0.9430678232288694,0.5918867042347045
EUR,-1,0.9,512,8,0.928456383472713,0.7009920706520899
EUR,-1,0.9,512,9,0.9445915957742662,0.5603128963336208
EUR,-1,0.9,512,10,0.9067988827396151,0.5292816009952171
EUR,-1,0.9,512,11,0.9169718757869861,0.6102288887560642
EUR,-1,0.9,512,12,0.948658134742997,0.5543320470983609
EUR,-1,0.9,512,13,0.9059387413496338,0.497070647648977
EUR,-1,0.9,512,14,0.8784299252062336,0.5584907146775032
EUR,-1,0.9,512,15,0.9271810869036038,0.6300246358826075
EUR,-1,0.9,512,16,0.9362563346588525,0.5223698594845765
EUR,-1,0.9,512,17,0.9011531453607292,0.4999205848229731
EUR,-1,0.9,512,18,0.9445750569789721,0.52755399797293
EUR,-1,0.9,512,19,0.8967232389809419,0.5499951722304308
EUR,-1,0.9,512,20,0.8891775494754394,0.5806295878420509
