population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EUR,-0.25,0.3,10,1,0.9284831769260304,0.23008690275062474,0.23228726866507798
EUR,-0.25,0.3,10,2,0.8874723659936483,0.1317449459053937,0.30196072040246963
EUR,-0.25,0.3,10,3,0.9162273166065863,0.03296519968620411,0.0019158662355434073
EUR,-0.25,0.3,10,4,0.8957355850546525,0.07540067335053612,0.0015632509502175717
EUR,-0.25,0.3,10,5,0.9274246027904084,0.207768870175908,0.20411025674043853
EUR,-0.25,0.3,10,6,0.9181513447175748,0.03481115310447331,0.011448363409882428
EUR,-0.25,0.3,10,7,0.9307417355810929,0.00895083307685112,0.01583185376105511
EUR,-0.25,0.3,10,8,0.9219490583744548,0.007771761637132218,0.0025457164099051996
EUR,-0.25,0.3,10,9,0.919932091113135,0.07797458336714676,0.1421415600280012
EUR,-0.25,0.3,10,10,0.8671163987790522,0.31410594583531554,0.24213451660939278
EUR,-0.25,0.3,10,11,0.9133281419275779,0.05793890760862263,0.0008016179047663138
EUR,-0.25,0.3,10,12,0.910549799346861,0.12754144655301333,0.04676876358631728
EUR,-0.25,0.3,10,13,0.9222445990979266,0.2251068994424431,0.06442842947580377
EUR,-0.25,0.3,10,14,0.9227707537066145,0.3869958285838067,0.4205364229688874
EUR,-0.25,0.3,10,15,0.9240683266305619,0.06993849648853058,0.012593850403408697
EUR,-0.25,0.3,10,16,0.9192901387924798,0.020190396537034354,4.674638391246011e-05
EUR,-0.25,0.3,10,17,0.917474367417495,0.05744206901237535,0.023760130575712194
EUR,-0.25,0.3,10,18,0.9232076195322871,0.5259361251943975,0.20673392488651643
EUR,-0.25,0.3,10,19,0.9202589105437812,0.13357662127167338,0.09640314260053705
EUR,-0.25,0.3,10,20,0.909153394866871,0.04889817838002045,0.0633581650909224
