IID,predict,actual,pheno_num
HG01894,-0.608225,-0.77929,1
HG02013,-1.09811,-1.029152,1
HG02332,-0.608225,-0.517322,1
HG02343,0.0,0.884252,1
HG02427,-0.489881,-1.141597,1
HG02449,0.0,0.302229,1
HG02455,-0.608225,0.514575,1
HG02471,-1.70633,-1.380679,1
HG02496,-0.608225,1.321008,1
HG02497,-0.608225,-0.70833,1
HG02549,-0.608225,-1.812927,1
HG02557,-0.608225,2.153821,1
HG02558,-0.608225,-0.679642,1
HG02568,0.0,-2.175494,1
HG02570,0.0,-0.064148,1
HG02611,-0.608225,-1.36025,1
HG02628,0.0,-0.121714,1
HG02678,0.0,0.081771,1
HG02703,-1.21645,-1.144786,1
HG02760,-0.608225,-1.234364,1
HG02804,-0.608225,-0.552861,1
HG02810,-0.489881,-1.471089,1
HG02814,-0.608225,-1.280899,1
HG02851,-1.09811,-1.242688,1
HG02882,-0.608225,-0.80363,1
HG02884,0.0,0.652937,1
HG02891,-0.489881,1.181134,1
HG02895,0.0,-0.891567,1
HG02922,-1.09811,-0.13169,1
HG02923,0.0,-0.646178,1
HG02943,-0.608225,-1.922335,1
HG02944,-0.608225,-0.552699,1
HG02971,0.0,0.871041,1
HG02981,-0.608225,-1.317345,1
HG03025,-0.608225,0.253292,1
HG03039,0.0,0.693619,1
HG03040,0.0,-1.071276,1
HG03046,-0.489881,-0.923533,1
HG03073,-0.489881,-1.589006,1
HG03078,0.0,-0.849686,1
HG03079,0.0,0.162069,1
HG03085,-1.21645,-1.438001,1
HG03099,0.0,1.524506,1
HG03109,-1.09811,-0.438757,1
HG03169,-0.608225,0.147005,1
HG03199,0.0,-1.063884,1
HG03224,-0.489881,1.990948,1
HG03265,-0.489881,-0.116776,1
HG03270,-0.608225,0.329104,1
HG03291,0.0,0.388866,1
HG03342,-1.09811,-1.356991,1
HG03351,0.0,-1.269811,1
HG03369,-2.19621,-1.911301,1
HG03380,-0.608225,-0.341971,1
HG03385,0.0,0.927444,1
HG03388,-0.608225,-1.227036,1
HG03394,0.0,-1.271473,1
HG03436,0.0,0.282111,1
HG03455,0.0,-0.267334,1
HG03457,-1.09811,-0.058111,1
HG03458,0.0,-0.197457,1
HG03485,-0.608225,-1.25858,1
HG03521,0.0,-2.544912,1
HG03563,0.0,-0.478531,1
NA18486,-1.21645,-1.85383,1
NA18498,-1.70633,-1.43471,1
NA18505,-0.608225,-0.669886,1
NA18861,-1.21645,-1.287721,1
NA18867,0.0,0.026683,1
NA18874,-1.09811,-1.085447,1
NA18881,0.0,-0.108809,1
