IID,predict,actual,pheno_num
HG01894,0.0,0.096591,1
HG02013,0.770962,0.211279,1
HG02332,-0.451686,-1.386708,1
HG02343,0.913601,0.696532,1
HG02427,0.0,-0.227269,1
HG02449,-0.54964,-0.828506,1
HG02455,0.913601,0.309699,1
HG02471,0.0,-0.612644,1
HG02496,-1.07776,-1.624092,1
HG02497,-1.09664,-1.622937,1
HG02549,0.0,-0.311824,1
HG02557,0.913601,-0.156662,1
HG02558,0.385481,-0.141421,1
HG02568,-0.711159,-1.063569,1
HG02570,-1.72904,-0.929266,1
HG02611,-0.711159,-1.615084,1
HG02628,0.385481,0.571421,1
HG02678,-1.91493,-2.370912,1
HG02703,0.385481,-0.292177,1
HG02760,-0.692279,-1.897949,1
HG02804,-0.309047,-1.097695,1
HG02810,-0.711159,-1.205237,1
HG02814,0.913601,-0.203084,1
HG02851,-0.692279,0.647229,1
HG02882,0.770962,-1.172443,1
HG02884,-0.692279,-1.127894,1
HG02891,1.29908,-0.056039,1
HG02895,0.52812,-0.712842,1
HG02922,0.52812,0.689295,1
HG02923,-1.20092,-1.321411,1
HG02943,-1.54833,-2.536533,1
HG02944,-0.837167,-1.010015,1
HG02971,-0.164159,-0.718918,1
HG02981,0.262324,-0.36217,1
HG03025,0.385481,-0.94834,1
HG03039,0.0,0.10545,1
HG03040,-2.1744,-1.625074,1
HG03046,-1.00133,-1.58399,1
HG03073,-0.976955,-0.995669,1
HG03078,-1.78892,-2.009505,1
HG03079,-0.265796,-0.741237,1
HG03085,-1.36244,-1.753212,1
HG03099,-1.38681,-0.842129,1
HG03109,0.0,-0.509183,1
HG03169,-1.10296,-1.584598,1
HG03199,-1.07776,-0.13952,1
HG03224,0.385481,0.421609,1
HG03265,1.44172,0.535736,1
HG03270,0.913601,0.080555,1
HG03291,-0.265796,0.054638,1
HG03342,0.0,0.349539,1
HG03351,0.076434,-1.623571,1
HG03369,0.0,0.241226,1
HG03380,0.52812,0.498466,1
HG03385,0.385481,0.245363,1
HG03388,0.0,-0.43114,1
HG03394,0.385481,-0.521076,1
HG03436,-0.774434,-0.955766,1
HG03455,0.913601,1.478662,1
HG03457,0.385481,0.201957,1
HG03458,1.44172,0.883496,1
HG03485,-1.34356,-1.555235,1
HG03521,-2.1744,-1.497781,1
HG03563,0.262324,-0.601551,1
NA18486,0.385481,-0.573162,1
NA18498,-0.692279,0.190123,1
NA18505,-1.34356,-1.167417,1
NA18861,0.0,-0.254982,1
NA18867,0.385481,0.795082,1
NA18874,-0.837167,-1.075587,1
NA18881,-0.265796,0.524308,1
NA18915,0.913601,0.792416,1
NA18916,-1.07776,-2.119933,1
NA19017,-0.692279,-1.896501,1
NA19019,0.385481,0.088223,1
NA19020,0.913601,-0.504247,1
NA19026,-1.07776,-1.083871,1
NA19108,-1.07776,-1.133971,1
NA19137,-1.07776,-1.159888,1
NA19144,-1.52945,-1.659422,1
NA19149,-0.451686,-1.053996,1
NA19190,1.29908,0.281535,1
NA19200,0.913601,-0.585016,1
NA19207,1.29908,-0.06421,1
NA19225,0.52812,-0.129931,1
NA19257,-0.692279,-1.116492,1
NA19309,-1.93381,-3.38661,1
NA19315,-1.38681,-1.318879,1
NA19331,0.385481,0.267919,1
NA19379,-0.451686,-0.882582,1
NA19383,-1.72904,-2.154947,1
NA19384,0.913601,0.142495,1
NA19390,0.385481,-0.120227,1
NA19404,-1.09664,-1.130909,1
NA19431,-0.265796,-0.566839,1
NA19439,-3.25216,-2.909837,1
NA19448,-0.325678,-0.208156,1
NA19449,-0.183039,-0.462867,1
NA19462,0.385481,-0.178732,1
NA19466,0.913601,-0.715599,1
NA19701,-1.09664,-1.096537,1
NA19711,0.385481,0.033529,1
NA19923,0.385481,0.628028,1
NA20291,-1.07776,-2.03371,1
NA20294,0.385481,-0.355825,1
NA20340,-1.34356,-1.796816,1
NA20342,-0.265796,-0.80804,1
NA20355,-0.164159,-1.437529,1
NA20412,-0.183039,-1.593263,1
HG01894,-0.485948,1.368262,2
HG02013,-0.971896,0.768481,2
HG02332,0.470881,-0.094508,2
HG02343,-1.0963,2.460297,2
HG02427,-0.485948,-1.208011,2
