IID,predict,actual,pheno_num
HG00732,26.4057,-0.138899,1
HG01052,18.7708,-0.514488,1
HG01064,22.7761,0.91851,1
HG01069,9.16733,0.425325,1
HG01079,28.5001,0.53722,1
HG01085,27.1179,-1.789471,1
HG01111,15.7023,0.412715,1
HG01142,-0.241893,0.296364,1
HG01168,8.44098,-0.567521,1
HG01182,-5.67131,0.550542,1
HG01183,22.017,-0.605941,1
HG01200,33.5871,0.799407,1
HG01269,18.8133,0.341886,1
HG01286,-2.89318,-0.833346,1
HG01326,9.61818,0.270885,1
HG01342,22.3355,-0.833475,1
HG01359,0.531318,1.055786,1
HG01360,8.18286,0.116763,1
HG01374,32.711,-0.736148,1
HG01375,13.5153,-0.148249,1
HG01384,8.46322,1.496964,1
HG01389,22.8711,0.127389,1
HG01395,19.2168,0.666112,1
HG01403,8.84255,-0.198565,1
HG01413,21.3055,0.709719,1
HG01414,20.3936,-0.730713,1
HG01440,6.05891,-0.389078,1
HG01447,26.013,-1.363936,1
HG01455,9.42175,0.353314,1
HG01461,20.9854,-0.877532,1
HG01465,22.5306,-0.497387,1
HG01488,24.9598,0.523691,1
HG01565,5.18138,1.676164,1
HG01918,-20.6848,-0.530577,1
HG01926,-2.95793,0.11794,1
HG01944,-9.12008,-0.688208,1
HG01945,-15.4504,0.18467,1
HG01951,-24.2775,0.592524,1
HG01979,17.1658,0.752073,1
HG02008,0.44731,-0.029867,1
HG02104,-12.186,0.200759,1
HG02105,-27.2347,-0.122681,1
HG02252,-8.52888,1.252745,1
HG02312,-2.96692,0.407462,1
HG02348,-5.33853,-2.11441,1
NA19648,16.29,-0.595343,1
NA19655,14.4126,-1.927531,1
NA19658,22.2278,0.264293,1
NA19664,14.2231,0.657098,1
NA19684,23.1784,-0.879384,1
NA19734,-1.21322,-0.867813,1
NA19741,-16.3649,0.662653,1
NA19752,20.2679,-0.27771,1
NA19759,-25.2161,-0.397202,1
NA19770,9.63271,0.013407,1
HG00732,-6.30524,-0.830681,2
HG01052,-14.7367,-2.437749,2
HG01064,-6.29734,1.504686,2
HG01069,-12.609,-0.942007,2
HG01079,-13.2703,0.895942,2
HG01085,-7.02056,0.289022,2
HG01111,-14.1529,-0.276686,2
HG01142,-15.9116,1.067334,2
HG01168,-2.55788,-0.390107,2
HG01182,-3.75124,2.022031,2
HG01183,1.19063,0.360561,2
HG01200,-8.73138,-1.968619,2
HG01269,5.45221,1.738641,2
HG01286,16.2609,-0.162498,2
HG01326,-15.607,-0.533885,2
HG01342,-12.2632,0.051884,2
HG01359,-9.7211,-1.120427,2
HG01360,-6.66317,0.882816,2
HG01374,13.2138,-0.874907,2
HG01375,-1.64965,0.940868,2
HG01384,4.31698,-1.415193,2
HG01389,7.78941,1.50077,2
HG01395,-2.23273,-0.55563,2
HG01403,-4.81346,0.316328,2
HG01413,15.024,0.02226,2
HG01414,-2.04785,-0.04436,2
HG01440,-1.73129,-0.171377,2
HG01447,-14.3572,0.22037,2
HG01455,-1.21425,-0.576962,2
HG01461,0.90217,1.435137,2
HG01465,3.54963,-0.316874,2
HG01488,2.4494,-0.335259,2
HG01565,2.09533,-0.313643,2
HG01918,-1.3606,2.319773,2
HG01926,7.10685,0.433138,2
HG01944,-3.09574,-0.180016,2
HG01945,13.2531,-1.87112,2
HG01951,-4.55184,0.724774,2
HG01979,4.13651,-0.253213,2
HG02008,3.31897,-0.602848,2
HG02104,-9.6652,-0.97196,2
HG02105,9.36928,-0.432225,2
HG02252,17.5355,0.904241,2
HG02312,-0.688305,0.274335,2
HG02348,0.37328,-0.541786,2
NA19648,-14.4255,-0.131248,2
NA19655,1.93994,-0.044032,2
NA19658,-1.78781,-0.363483,2
NA19664,-8.46049,0.188862,2
NA19684,-10.8866,0.209692,2
NA19734,9.42402,0.491694,2
NA19741,16.8499,-2.313509,2
NA19752,-8.7359,-0.972603,2
NA19759,-0.934396,-1.012634,2
NA19770,-4.141,-0.984983,2
HG00732,-41.3489,0.715223,3
HG01052,-30.8958,-0.438486,3
HG01064,-34.5979,0.682607,3
HG01069,-29.5316,0.633303,3
HG01079,-33.9156,1.194439,3
HG01085,-42.7976,-1.639341,3
HG01111,-22.9814,0.630795,3
HG01142,-30.0518,-0.551142,3
HG01168,-33.1881,0.89914,3
HG01182,-11.7681,0.820986,3
HG01183,-30.0662,0.328113,3
HG01200,-47.1586,-1.188406,3
HG01269,-40.5565,-2.045595,3
HG01286,-3.06398,-0.523202,3
HG01326,-11.6898,-0.147124,3
HG01342,-38.1965,0.580829,3
HG01359,-8.18621,-0.335463,3
HG01360,-41.675,0.619304,3
HG01374,-29.7756,0.786917,3
HG01375,-37.4304,0.504547,3
HG01384,-10.3938,-0.160879,3
HG01389,-30.5586,-1.292707,3
HG01395,-50.7825,0.19032,3
HG01403,-8.8709,0.89938,3
HG01413,-15.2374,0.257481,3
HG01414,-46.9664,-0.444478,3
