IID,predict,actual,pheno_num
HG00732,-4.26226,0.608461,1
HG01052,-10.6169,-3.260704,1
HG01064,-18.4557,0.004789,1
HG01069,-4.86909,-0.430276,1
HG01079,-11.3732,-0.251122,1
HG01085,-12.1473,-0.03769,1
HG01111,-6.23216,0.416882,1
HG01142,-9.29518,-0.271821,1
HG01168,-9.72066,-0.545854,1
HG01182,-8.6107,0.818033,1
HG01183,-10.5238,0.988472,1
HG01200,-9.02901,-0.042163,1
HG01269,-3.71839,0.078163,1
HG01286,-5.22924,-0.349325,1
HG01326,7.47912,-0.105847,1
HG01342,-1.06803,0.400448,1
HG01359,-9.92375,-0.124709,1
HG01360,-11.5015,-0.07216,1
HG01374,5.15101,0.712495,1
HG01375,-12.4922,-0.06718,1
HG01384,-10.9936,-1.066944,1
HG01389,-4.15689,1.280762,1
HG01395,-14.6962,1.2578,1
HG01403,-27.3893,-0.560381,1
HG01413,-15.499,1.196333,1
HG01414,-1.9609,1.297356,1
HG01440,-6.36783,-0.875475,1
HG01447,-17.5452,-0.549235,1
HG01455,-17.1297,-0.078269,1
HG01461,-2.18249,1.007873,1
HG01465,-1.32764,-0.356574,1
HG01488,0.387339,2.356687,1
HG01565,1.36434,0.705569,1
HG01918,2.22006,0.184688,1
HG01926,0.455311,-0.599944,1
HG01944,6.31249,1.57522,1
HG01945,3.99624,0.74137,1
HG01951,-1.64775,0.072181,1
HG01979,-1.7833,-0.025238,1
HG02008,-0.936209,0.975119,1
HG02104,5.13168,-1.987903,1
HG02105,5.562,-0.644091,1
HG02252,6.7462,-0.861849,1
HG02312,-6.0094,1.177727,1
HG02348,5.09008,-0.542121,1
NA19648,-0.838555,0.312068,1
NA19655,-2.51943,-0.280402,1
NA19658,1.71058,1.298192,1
NA19664,-5.73328,-1.55961,1
NA19684,4.72098,3.211892,1
NA19734,-7.03107,-1.669226,1
NA19741,1.13323,-0.178137,1
NA19752,-9.11779,-1.106482,1
NA19759,1.80325,1.347004,1
NA19770,-13.868,0.312397,1
HG00732,24.1926,0.973702,2
HG01052,-0.478888,-1.942185,2
HG01064,-11.6636,0.037229,2
HG01069,-6.05156,0.02284,2
HG01079,3.76518,0.461573,2
HG01085,12.6815,-1.026462,2
HG01111,6.26146,0.508917,2
HG01142,-4.42189,-0.589497,2
HG01168,14.6219,-0.417813,2
HG01182,-0.038669,-0.474293,2
HG01183,-8.51983,1.232054,2
HG01200,7.45578,0.506846,2
HG01269,18.3709,-0.836205,2
HG01286,-1.97392,-0.311409,2
HG01326,7.29761,0.359529,2
HG01342,7.95993,-0.250304,2
HG01359,2.98757,0.261486,2
HG01360,6.41559,-0.319635,2
HG01374,11.5409,-0.674758,2
HG01375,-9.54762,0.19618,2
HG01384,-0.324072,-0.877205,2
HG01389,12.8081,0.944215,2
HG01395,9.77465,0.990959,2
HG01403,-10.86,-0.226695,2
HG01413,4.21457,0.632396,2
HG01414,13.8793,1.766621,2
HG01440,-11.3077,0.057369,2
HG01447,9.21653,-0.774034,2
HG01455,-21.0744,0.936761,2
HG01461,-8.24888,-0.385814,2
HG01465,9.50799,-0.53661,2
HG01488,8.81064,2.152568,2
HG01565,-14.7285,-0.070675,2
HG01918,-23.0933,-0.123778,2
HG01926,-24.6511,-0.462355,2
HG01944,-16.1793,0.746205,2
HG01945,-2.93489,-0.192331,2
HG01951,-21.1747,-0.780489,2
HG01979,-11.893,-0.178897,2
HG02008,-6.079,1.517367,2
HG02104,-17.2137,-0.312401,2
HG02105,-17.2821,-1.157286,2
HG02252,-4.49716,-0.596651,2
HG02312,-12.4374,0.286391,2
HG02348,2.43721,-0.065966,2
NA19648,18.9067,0.825411,2
NA19655,10.0628,0.084493,2
NA19658,17.8692,0.204238,2
NA19664,17.19,-1.459875,2
NA19684,10.0379,3.690703,2
NA19734,-10.5275,-1.920053,2
NA19741,-13.9422,1.128246,2
NA19752,8.68121,-1.602605,2
NA19759,-24.6006,0.14603,2
NA19770,2.24724,0.280104,2
HG00732,17.1397,0.66185,3
HG01052,-3.9611,-1.383441,3
HG01064,-8.09432,-0.611298,3
HG01069,0.180539,-1.106544,3
HG01079,-4.19209,-0.085901,3
HG01085,16.1241,-1.479605,3
HG01111,8.36834,0.27299,3
HG01142,2.6167,-1.108973,3
HG01168,4.59495,-1.041428,3
HG01182,-2.59358,1.152755,3
HG01183,-3.69621,0.935237,3
HG01200,-0.623171,-0.422549,3
HG01269,18.0793,0.047996,3
HG01286,-2.06527,-0.657076,3
HG01326,15.8593,0.576869,3
HG01342,9.93848,-0.327827,3
HG01359,-2.66503,-0.728308,3
HG01360,2.09371,0.125872,3
HG01374,20.1731,-1.046633,3
HG01375,-4.31071,0.373627,3
HG01384,11.1084,0.265182,3
HG01389,13.5408,1.568959,3
HG01395,8.62018,0.632468,3
HG01403,-4.81442,0.216998,3
HG01413,-1.87288,2.042489,3
HG01414,24.9397,1.238418,3
HG01440,-19.6183,-0.73274,3
HG01447,2.58252,-1.327004,3
HG01455,-9.04229,0.026092,3
HG01461,12.2585,0.503574,3
HG01465,7.94188,-0.248311,3
HG01488,9.70973,2.843958,3
HG01565,3.13765,-0.149835,3
HG01918,-15.446,0.356363,3
HG01926,-0.085674,-1.134888,3
HG01944,4.05139,1.079039,3
HG01945,-7.39323,-0.715022,3
HG01951,-10.1465,0.309119,3
HG01979,-4.00734,0.383872,3
HG02008,1.11457,1.143674,3
HG02104,-9.76603,-0.532821,3
HG02105,-6.96245,0.045583,3
HG02252,3.10639,-0.749343,3
HG02312,1.94331,0.647928,3
HG02348,9.64971,1.08374,3
NA19648,19.3599,1.011637,3
NA19655,4.36212,-1.19596,3
NA19658,24.1309,0.206006,3
NA19664,11.6777,-1.229662,3
NA19684,15.108,2.841777,3
NA19734,-16.6104,-0.625103,3
NA19741,-16.0171,-0.113741,3
NA19752,3.70087,-0.122664,3
NA19759,-9.86672,1.071969,3
NA19770,7.77008,0.777584,3
HG00732,21.1155,1.127473,4
HG01052,10.2941,-2.072809,4
HG01064,-10.5466,-1.158268,4
HG01069,9.94995,-1.784858,4
HG01079,16.534,-0.707546,4
HG01085,20.3945,0.171485,4
HG01111,16.3805,0.031967,4
HG01142,2.29561,-0.444618,4
HG01168,17.4237,-1.041998,4
HG01182,12.5254,-0.828892,4
HG01183,1.04018,1.200587,4
HG01200,23.4856,0.328938,4
HG01269,21.2542,-0.282216,4
HG01286,2.8425,-0.566465,4
HG01326,25.3121,-0.05116,4
HG01342,18.7695,0.236224,4
HG01359,-2.74548,0.632012,4
HG01360,12.9044,0.754725,4
HG01374,25.7324,-0.639563,4
HG01375,6.21639,0.545308,4
HG01384,11.7268,-1.782995,4
HG01389,15.7486,0.482507,4
HG01395,11.6238,1.58063,4
HG01403,-0.186688,-0.313551,4
HG01413,9.79644,1.204969,4
HG01414,25.6042,0.495618,4
HG01440,-8.67971,-0.112687,4
HG01447,16.5979,-0.196233,4
HG01455,2.69299,0.656827,4
HG01461,10.4938,0.081739,4
HG01465,22.0821,-0.744993,4
HG01488,18.2387,3.298862,4
HG01565,-2.27364,0.411705,4
HG01918,-13.7373,-0.198494,4
HG01926,-2.22128,-0.338333,4
HG01944,-2.09414,0.632945,4
HG01945,1.43384,-0.026109,4
HG01951,-2.35585,0.395776,4
HG01979,0.270685,0.323805,4
HG02008,-0.062202,1.849299,4
HG02104,-5.99587,-0.724431,4
HG02105,-9.92692,-0.450415,4
HG02252,1.46938,0.6321,4
HG02312,-4.56228,-0.313434,4
HG02348,2.2647,0.469015,4
NA19648,20.852,0.016767,4
NA19655,17.1687,-0.335252,4
NA19658,26.2034,0.370716,4
NA19664,19.3283,-1.240383,4
NA19684,17.9156,2.802901,4
NA19734,-7.06603,0.357057,4
NA19741,-22.0202,0.23169,4
NA19752,14.6044,0.750596,4
NA19759,-6.42888,0.153075,4
NA19770,17.0302,0.592441,4
HG00732,10.318,1.158472,5
HG01052,-6.65743,-1.37627,5
HG01064,-7.19317,-0.149511,5
HG01069,0.254967,-0.592745,5
HG01079,5.48379,0.072278,5
HG01085,15.1089,-0.439965,5
HG01111,-5.83646,0.720532,5
HG01142,3.53671,0.389371,5
HG01168,-0.244844,-0.737348,5
HG01182,2.09908,0.956082,5
HG01183,-5.33051,0.552327,5
HG01200,12.8035,-0.458564,5
HG01269,13.5361,-0.446682,5
HG01286,1.09354,-1.589175,5
HG01326,9.93556,-0.29032,5
HG01342,2.95565,-0.796961,5
HG01359,-8.37872,-0.574923,5
HG01360,1.34817,0.44741,5
HG01374,14.1263,-1.051414,5
HG01375,-16.8257,0.65815,5
HG01384,-7.13918,-0.947876,5
HG01389,19.4084,-0.605351,5
HG01395,5.51531,0.625165,5
HG01403,-1.14278,1.346296,5
HG01413,4.55555,0.697413,5
HG01414,7.45206,1.424864,5
HG01440,-12.8414,0.092183,5
HG01447,0.542007,-0.939821,5
HG01455,-4.09001,0.203427,5
HG01461,6.27396,0.493078,5
HG01465,11.9805,-0.540982,5
HG01488,16.3159,2.626752,5
HG01565,-4.71066,1.605786,5
HG01918,-3.31221,-0.14617,5
HG01926,3.40271,-0.099906,5
HG01944,5.74341,1.659213,5
HG01945,9.16481,-0.649572,5
HG01951,1.41957,0.419133,5
HG01979,4.08892,0.029358,5
HG02008,0.286422,0.910192,5
HG02104,0.352865,-1.173297,5
HG02105,2.92651,0.3016,5
HG02252,18.0579,-0.254271,5
HG02312,-0.397565,0.02617,5
HG02348,14.5522,-0.282359,5
NA19648,7.81021,-1.349835,5
NA19655,4.78008,-0.513461,5
NA19658,13.8201,0.340847,5
NA19664,7.47115,-1.505124,5
NA19684,7.19466,1.781634,5
NA19734,-5.04412,-1.744485,5
NA19741,-5.50482,0.131634,5
