IID,predict,actual,pheno_num
HG00407,0.0,0.647032,1
HG00421,0.0,0.410272,1
HG00436,0.0,-0.275706,1
HG00443,0.0,-0.082284,1
HG00445,0.0,-0.661228,1
HG00451,-0.313311,-1.908314,1
HG00500,0.0,-0.824851,1
HG00536,-0.313311,1.058252,1
HG00543,-0.313311,-0.754469,1
HG00560,-0.626622,-0.439177,1
HG00580,0.0,-0.44175,1
HG00596,-0.313311,-0.340672,1
HG00610,0.0,-1.051738,1
HG00611,-0.313311,-0.421221,1
HG00619,-0.313311,-0.63552,1
HG00626,-0.313311,-0.206065,1
HG00672,0.0,-0.315779,1
HG00692,-0.313311,0.111869,1
HG00699,0.0,0.26531,1
HG00867,0.0,0.600128,1
HG00978,0.0,0.109019,1
HG01596,0.0,0.212225,1
HG01798,-0.626622,-0.014808,1
HG01815,-0.313311,-0.972331,1
HG01816,0.0,0.514366,1
HG01817,-0.313311,-0.119529,1
HG01847,-0.313311,-0.207224,1
HG01858,0.0,0.69813,1
HG01865,0.0,-0.571098,1
HG02028,0.0,-1.598526,1
HG02060,0.0,-0.072454,1
HG02086,0.0,-0.771644,1
HG02087,0.0,-0.78247,1
HG02116,0.0,-1.033998,1
HG02166,0.0,-0.471912,1
HG02178,-0.313311,-2.051801,1
HG02187,0.0,-1.003621,1
HG02353,0.0,-0.1678,1
HG02367,0.0,-0.101648,1
HG02373,0.0,0.347311,1
HG02384,0.0,-1.581894,1
HG02394,-0.313311,0.453586,1
HG02395,0.0,-0.534336,1
HG02512,0.0,0.129299,1
NA18525,0.0,1.16113,1
NA18528,0.0,-2.63366,1
NA18530,-0.313311,0.798544,1
NA18534,-0.313311,-0.329639,1
NA18539,0.0,0.381455,1
NA18544,0.0,-0.554515,1
NA18547,0.0,0.762371,1
NA18564,0.0,0.152446,1
NA18572,0.0,0.790826,1
NA18615,-0.313311,-1.544509,1
NA18616,-0.313311,0.070332,1
NA18626,0.0,0.449707,1
NA18635,0.0,-0.253051,1
NA18641,0.0,-0.21121,1
NA18747,0.0,-0.000867,1
NA18748,-0.313311,-1.089945,1
NA18939,-0.313311,-1.48162,1
NA18940,0.0,0.32361,1
NA18953,0.0,0.776793,1
NA18957,0.0,0.062448,1
NA18974,-0.626622,-0.305513,1
NA18978,-0.626622,0.135765,1
NA18981,-0.313311,-0.837597,1
NA18986,-0.313311,-1.484165,1
NA18991,-0.313311,-0.819894,1
NA18992,0.0,1.00367,1
NA18993,0.0,-0.704564,1
NA18995,-0.313311,0.318888,1
NA19005,-0.626622,-1.165531,1
NA19059,-0.313311,-1.247789,1
NA19070,-0.313311,-0.384441,1
NA19082,-0.313311,-1.113328,1
NA19085,0.0,-0.948414,1
NA19086,-0.313311,-1.479442,1
HG00407,0.733588,0.160847,2
HG00421,0.366794,1.417798,2
HG00436,0.366794,-0.153779,2
HG00443,-1.46941,-0.963357,2
HG00445,0.733588,1.49082,2
HG00451,-1.10262,-1.116422,2
HG00500,-0.735822,-1.519255,2
HG00536,0.366794,-0.406844,2
HG00543,-1.10262,-1.113075,2
HG00560,0.366794,0.497938,2
HG00580,0.0,0.913394,2
HG00596,0.366794,-0.913615,2
HG00610,-1.46941,-2.064934,2
HG00611,-1.10262,0.500092,2
HG00619,-1.10262,-1.779254,2
HG00626,0.366794,0.622337,2
HG00672,0.0,0.905918,2
HG00692,0.733588,-0.542164,2
HG00699,0.366794,-1.229913,2
HG00867,0.366794,-0.151879,2
HG00978,0.366794,0.026162,2
HG01596,0.366794,-1.40181,2
HG01798,0.366794,-0.195919,2
HG01815,0.0,-0.221562,2
HG01816,0.733588,-0.23155,2
HG01817,-1.46941,-2.202246,2
HG01847,0.733588,-0.488657,2
HG01858,0.0,-0.917882,2
HG01865,0.366794,0.869829,2
HG02028,0.733588,0.020073,2
HG02060,0.366794,-0.77054,2
HG02086,0.366794,-0.880643,2
HG02087,0.733588,0.201838,2
HG02116,0.0,-0.342565,2
HG02166,0.366794,1.544133,2
HG02178,0.733588,-1.327773,2
HG02187,0.733588,0.947452,2
HG02353,0.366794,0.856212,2
HG02367,0.366794,0.926495,2
HG02373,-1.46941,-0.295254,2
HG02384,0.366794,-0.668423,2
HG02394,0.366794,1.787584,2
HG02395,0.0,-0.554553,2
HG02512,0.733588,1.169182,2
NA18525,0.366794,0.534008,2
NA18528,0.366794,-0.543283,2
NA18530,-1.10262,-1.469031,2
NA18534,0.366794,-1.126033,2
NA18539,0.0,-1.039892,2
NA18544,-1.46941,-1.791922,2
NA18547,0.733588,1.099024,2
NA18564,0.733588,0.02759,2
NA18572,-1.10262,-1.619743,2
NA18615,0.0,0.879532,2
NA18616,0.366794,-0.043839,2
NA18626,0.733588,-0.065036,2
NA18635,0.0,0.493585,2
NA18641,0.366794,-0.964413,2
NA18747,0.366794,-0.043368,2
NA18748,0.0,0.874336,2
NA18939,-1.46941,-2.791525,2
NA18940,0.366794,-0.863441,2
NA18953,0.366794,-1.330079,2
NA18957,-1.46941,-1.770184,2
NA18974,0.366794,-1.183927,2
NA18978,-1.10262,-2.132926,2
NA18981,0.733588,-0.37182,2
NA18986,0.733588,-0.420916,2
NA18991,0.0,0.731348,2
NA18992,0.366794,-0.045612,2
NA18993,0.733588,1.514708,2
NA18995,-1.10262,-0.624419,2
NA19005,-1.10262,-0.853456,2
NA19059,0.366794,-0.452674,2
NA19070,-1.10262,-0.347088,2
NA19082,0.733588,-0.976934,2
NA19085,0.733588,0.908194,2
NA19086,0.366794,1.983602,2
HG00407,-9.63643,1.167371,3
HG00421,-7.41749,0.629212,3
HG00436,-10.7715,-1.626802,3
HG00443,-3.2715,0.251943,3
HG00445,-8.57885,-0.738481,3
HG00451,-6.85001,-0.995037,3
HG00500,-7.88121,0.896551,3
HG00536,-9.49436,-1.473217,3
HG00543,-0.574538,0.374976,3
HG00560,0.0764074,0.614459,3
HG00580,1.22768,0.225452,3
HG00596,-3.06354,1.138187,3
HG00610,-6.74974,1.265721,3
HG00611,-5.34914,-0.263034,3
HG00619,0.0089876,-2.284072,3
HG00626,-5.19403,-1.013868,3
HG00672,-10.6226,-1.222101,3
HG00692,-6.6039,-1.946122,3
HG00699,-2.41874,-0.505419,3
HG00867,-12.8015,0.000995,3
HG00978,-1.58224,1.8691,3
HG01596,0.368503,1.382254,3
HG01798,-2.34285,0.152954,3
HG01815,-10.9867,0.699942,3
HG01816,-9.11769,-1.006276,3
HG01817,-13.0536,0.495732,3
HG01847,-3.52501,-0.841689,3
HG01858,-5.72176,1.47891,3
HG01865,-13.7511,-1.023812,3
HG02028,-3.8061,-0.478661,3
HG02060,-5.26016,-0.034725,3
HG02086,-5.85153,-0.517418,3
HG02087,-4.89569,-0.74352,3
HG02116,-9.94713,0.347727,3
HG02166,-3.21033,-0.217665,3
HG02178,-5.12543,0.272461,3
HG02187,-2.88073,-0.634553,3
HG02353,-8.43634,1.449194,3
HG02367,-8.70185,0.081289,3
HG02373,-4.20527,-0.649902,3
HG02384,-2.25377,-1.038162,3
HG02394,-4.21345,0.954779,3
HG02395,-13.3707,-0.16551,3
HG02512,-13.9856,-0.130623,3
NA18525,-6.77023,-0.938454,3
NA18528,-8.0382,0.200942,3
NA18530,-10.0201,-0.642964,3
NA18534,0.702806,-0.455943,3
NA18539,-9.23462,-0.352565,3
NA18544,-11.4289,1.27194,3
NA18547,-9.55673,0.32718,3
NA18564,-10.1066,0.365756,3
NA18572,-16.1986,-0.34119,3
NA18615,1.24121,-0.602787,3
NA18616,-4.91328,-0.102169,3
NA18626,-9.44103,-0.382174,3
NA18635,-3.94397,0.281583,3
NA18641,-6.29584,-0.545437,3
NA18747,-3.93661,0.72316,3
NA18748,-8.94011,-0.355092,3
NA18939,-8.78219,0.948522,3
NA18940,-6.48311,0.532773,3
NA18953,-8.13786,-1.522955,3
NA18957,-9.69449,0.932975,3
NA18974,-3.34637,0.056827,3
NA18978,-8.33663,-0.227379,3
NA18981,-5.40969,0.699974,3
NA18986,-9.83153,-0.711246,3
NA18991,-9.86475,-1.285388,3
NA18992,-5.44086,-1.388333,3
NA18993,-13.1054,-1.499001,3
NA18995,-6.29378,2.246329,3
NA19005,-4.08836,0.985201,3
NA19059,-4.19888,0.696657,3
NA19070,-1.14064,-0.927254,3
NA19082,-2.53019,0.399587,3
NA19085,-9.07075,-0.73363,3
NA19086,-11.6031,0.153532,3
HG00407,0.0,1.306042,4
HG00421,0.0,0.007351,4
HG00436,0.0,-1.108264,4
HG00443,0.0,0.642125,4
HG00445,0.0,-0.705552,4
HG00451,0.0,-0.869025,4
HG00500,0.0,-1.695876,4
HG00536,0.0,0.591464,4
HG00543,0.0,-0.632911,4
HG00560,0.0,-0.771558,4
HG00580,0.0,0.471697,4
HG00596,0.0,0.435055,4
HG00610,0.0,1.438056,4
HG00611,0.0,0.075063,4
HG00619,0.0,-0.111491,4
HG00626,0.0,0.015211,4
HG00672,0.0,0.457131,4
HG00692,0.0,-0.063581,4
HG00699,0.534141,0.679479,4
HG00867,0.0,0.28548,4
HG00978,0.0,-1.665784,4
HG01596,0.0,-0.315654,4
HG01798,0.0,0.952739,4
HG01815,0.0,-0.030063,4
HG01816,0.0,0.157532,4
HG01817,0.0,-0.743141,4
HG01847,0.534141,1.454029,4
HG01858,0.0,-0.784426,4
HG01865,0.0,1.155421,4
HG02028,0.0,-1.269903,4
HG02060,0.0,-0.097007,4
HG02086,0.0,-0.092361,4
HG02087,0.0,0.70164,4
HG02116,0.0,1.166218,4
HG02166,0.0,0.268755,4
HG02178,0.0,-0.78402,4
HG02187,0.0,-0.938634,4
HG02353,0.0,-1.018044,4
HG02367,0.0,1.744152,4
HG02373,0.0,-1.200452,4
HG02384,0.534141,0.009061,4
HG02394,0.534141,-0.335346,4
HG02395,0.0,0.627437,4
HG02512,0.0,1.667701,4
NA18525,0.0,0.477827,4
NA18528,0.0,0.560315,4
NA18530,0.0,-0.561235,4
NA18534,0.0,0.826328,4
NA18539,0.0,0.987469,4
NA18544,0.0,0.072013,4
NA18547,0.0,1.475645,4
NA18564,0.0,-0.424576,4
NA18572,0.0,-0.679985,4
NA18615,0.0,-0.118291,4
NA18616,0.0,-0.107075,4
NA18626,0.534141,0.291625,4
NA18635,0.0,-0.446843,4
NA18641,0.0,-1.291574,4
NA18747,0.0,0.213424,4
NA18748,0.534141,-0.589295,4
NA18939,0.0,1.252958,4
NA18940,0.0,1.505541,4
NA18953,0.0,-0.27488,4
NA18957,0.0,-0.504907,4
NA18974,0.0,-0.399101,4
NA18978,0.0,-0.470339,4
NA18981,0.0,-1.389635,4
NA18986,0.0,-0.511375,4
NA18991,0.0,-0.253674,4
NA18992,0.0,1.424141,4
