IID,predict,actual,pheno_num
HG00407,-0.607561,1.546901,1
HG00421,0.620557,1.225419,1
HG00436,0.261483,-0.02558,1
HG00443,-0.133481,0.023489,1
HG00445,-0.782116,0.505692,1
HG00451,0.491399,0.781321,1
HG00500,0.461307,0.192525,1
HG00536,0.010458,-0.21253,1
HG00543,-0.305157,0.451906,1
HG00560,-0.34009,2.106962,1
HG00580,-0.733133,1.040374,1
HG00596,-0.626346,0.466706,1
HG00610,-0.022346,0.975585,1
HG00611,-0.836881,0.331329,1
HG00619,0.51909,0.171024,1
HG00626,-0.994616,1.06568,1
HG00672,0.417208,1.741194,1
HG00692,0.673444,-0.126216,1
HG00699,0.244198,-0.383238,1
HG00867,-0.22936,0.376761,1
HG00978,0.192438,0.702966,1
HG01596,1.13111,0.766081,1
HG01798,0.064967,0.165162,1
HG01815,-0.244463,0.026842,1
HG01816,1.1043,2.221754,1
HG01817,0.533803,0.631904,1
HG01847,0.483338,1.272078,1
HG01858,0.543101,1.170181,1
HG01865,-0.230414,-0.476831,1
HG02028,0.252725,0.742665,1
HG02060,-0.800572,1.668264,1
HG02086,1.36441,1.613893,1
HG02087,1.40148,1.775284,1
HG02116,-0.353955,1.036759,1
HG02166,1.16038,1.369396,1
HG02178,0.198874,0.189772,1
HG02187,0.095114,0.77629,1
HG02353,0.950042,-0.522772,1
HG02367,0.192378,2.217592,1
HG02373,0.400148,0.624464,1
HG02384,0.580682,0.227206,1
HG02394,-0.080542,0.407609,1
HG02395,0.909311,1.760583,1
HG02512,0.0,0.303843,1
NA18525,-0.974696,0.738999,1
NA18528,-0.620594,0.145184,1
NA18530,0.021376,0.427104,1
NA18534,0.87766,0.360567,1
NA18539,-0.105492,0.030437,1
NA18544,1.49716,1.130479,1
NA18547,-0.354245,-0.612186,1
NA18564,-0.005894,0.118945,1
NA18572,0.284877,1.627001,1
NA18615,1.6121,-0.126333,1
NA18616,-0.530104,0.024476,1
NA18626,0.666912,-1.242618,1
NA18635,-0.078207,1.214901,1
NA18641,0.474498,0.171544,1
NA18747,-1.68039,-0.617153,1
NA18748,0.61761,1.112659,1
NA18939,0.516169,1.028133,1
NA18940,-0.314446,0.56,1
NA18953,-0.257646,-0.552658,1
NA18957,0.405544,0.206547,1
NA18974,0.791964,0.764413,1
NA18978,-0.972825,-0.990212,1
NA18981,0.210355,-0.339549,1
NA18986,-1.73834,1.470944,1
NA18991,-0.362373,-0.511938,1
NA18992,-1.15702,0.043556,1
NA18993,0.151736,-0.624106,1
NA18995,-0.727895,-0.058093,1
NA19005,-1.51444,-0.557369,1
NA19059,-1.56094,-0.014,1
NA19070,-0.306748,-0.135178,1
NA19082,-0.4381,0.570259,1
NA19085,-0.118592,-0.501048,1
NA19086,-0.057527,-1.725589,1
HG00407,0.0,1.552689,2
HG00421,0.526366,0.960365,2
HG00436,0.0,0.774458,2
HG00443,0.0,0.52087,2
HG00445,0.0,0.278309,2
HG00451,0.0,0.458942,2
HG00500,0.0,0.856896,2
HG00536,0.0,1.314793,2
HG00543,0.526366,0.375638,2
HG00560,0.0,0.685028,2
HG00580,0.0,-0.151858,2
HG00596,0.0,-0.06849,2
HG00610,0.526366,0.293605,2
HG00611,0.0,-0.088637,2
HG00619,0.0,-0.193129,2
HG00626,0.0,0.86572,2
HG00672,0.0,-1.318576,2
HG00692,0.558022,0.171956,2
HG00699,0.526366,0.570713,2
HG00867,0.0,-1.113835,2
HG00978,0.0,-0.313128,2
HG01596,0.0,-0.125759,2
HG01798,0.558022,-0.184805,2
HG01815,0.0,0.957515,2
HG01816,1.11604,2.36299,2
HG01817,0.0,-1.370604,2
HG01847,0.558022,0.078823,2
HG01858,0.526366,0.22633,2
