IID,predict,actual,pheno_num
HG00102,-0.760879,-0.353715,1
HG00103,0.402313,0.413985,1
HG00110,0.804626,-0.439679,1
HG00115,0.0,0.149389,1
HG00131,-0.033512,0.440359,1
HG00132,0.804626,0.658694,1
HG00136,0.402313,-0.415349,1
HG00139,-0.435825,1.188419,1
HG00149,0.402313,0.690649,1
HG00174,0.0,1.358257,1
HG00187,0.804626,1.024717,1
HG00188,0.402313,0.89603,1
HG00232,0.0,-0.465073,1
HG00233,0.0,1.761457,1
HG00244,-0.033512,0.947493,1
HG00266,0.0,-0.497948,1
HG00267,0.353982,0.646719,1
HG00271,0.789807,2.734229,1
HG00276,-0.435825,0.216747,1
HG00304,1.57961,-1.148407,1
HG00310,-0.727367,-0.114855,1
HG00319,-0.435825,-0.022024,1
HG00325,0.353982,3.372843,1
HG00327,0.789807,1.021684,1
HG00328,0.402313,0.30188,1
HG00329,-0.435825,0.901028,1
HG00343,0.402313,-0.54481,1
HG00349,0.402313,-0.035804,1
HG00357,-0.033512,-0.564465,1
HG00361,-0.435825,1.205862,1
HG01507,-0.469337,0.938736,1
HG01509,-0.435825,0.166943,1
HG01512,0.402313,0.20927,1
HG01519,0.402313,1.33065,1
HG01525,0.0,0.339844,1
HG01615,0.402313,1.140675,1
HG01618,-0.435825,0.685762,1
HG01620,0.402313,0.477112,1
HG01631,0.0,0.485794,1
HG01668,-0.727367,0.18027,1
HG01675,-0.033512,-0.329874,1
HG01679,0.402313,1.684431,1
HG01707,0.0,-0.304364,1
HG01770,-1.59902,-0.814963,1
HG01771,-0.435825,0.309332,1
HG01779,-0.435825,1.407645,1
HG01791,0.0,0.926775,1
HG02220,0.0,0.618845,1
NA07056,0.402313,0.47992,1
NA07347,0.0,0.711723,1
NA10851,-0.033512,1.789193,1
NA11843,-0.727367,0.298507,1
NA11920,0.0,0.89749,1
NA11995,0.402313,-0.015355,1
NA12043,0.0,-0.7314,1
NA12154,0.789807,3.823087,1
NA12342,-0.435825,0.136445,1
NA12716,-1.16319,-1.414993,1
NA12749,0.0,1.260775,1
NA12751,0.402313,-0.281404,1
NA12761,-1.16319,-0.44548,1
NA12778,0.402313,-0.086762,1
NA12874,-0.325054,0.442272,1
NA20506,0.0,0.502891,1
NA20511,-0.435825,0.649221,1
NA20512,-0.469337,-0.295379,1
NA20513,-1.16319,-0.092711,1
NA20514,0.402313,-0.173948,1
NA20515,0.0,0.737102,1
NA20525,-0.033512,-0.466065,1
NA20536,-0.033512,1.168984,1
NA20541,-0.033512,0.374641,1
NA20542,0.464753,-0.51502,1
NA20760,-0.033512,-0.159976,1
NA20761,0.0,0.250141,1
NA20765,0.0,-0.137446,1
NA20787,-0.760879,0.139033,1
NA20792,0.0,0.169893,1
NA20796,-0.727367,-0.534202,1
NA20799,-0.435825,0.217141,1
NA20818,0.0,0.388227,1
NA20819,0.368801,0.004996,1
HG00102,0.436088,1.602478,2
HG00103,0.436088,0.10814,2
HG00110,0.0,0.841904,2
HG00115,-1.42648,0.476388,2
HG00131,0.436088,1.863869,2
HG00132,-0.067957,0.348683,2
HG00136,-0.994335,-0.833075,2
HG00139,-1.57748,1.32397,2
HG00149,0.0,0.482593,2
HG00174,-2.14686,-0.575095,2
HG00187,-2.63657,0.0427,2
HG00188,0.872176,0.794253,2
HG00232,-0.928995,0.054157,2
HG00233,-0.133297,1.564175,2
HG00244,-1.64224,-0.223084,2
HG00266,-1.78667,-0.536379,2
HG00267,-2.00242,-0.46716,2
HG00271,-0.849155,-0.678451,2
HG00276,-1.28524,0.463788,2
HG00304,0.055822,0.49965,2
HG00310,-1.07343,-0.166952,2
HG00319,-1.57748,0.158041,2
HG00325,-0.067957,1.034203,2
HG00327,-2.14686,-0.216164,2
HG00328,-2.57181,-1.410601,2
HG00329,-1.78667,-0.360664,2
HG00343,-0.572002,0.568113,2
HG00349,-0.067957,0.563055,2
HG00357,0.447226,1.634176,2
HG00361,-1.57748,-0.825748,2
HG01507,0.436088,1.194163,2
HG01509,-0.928995,0.203669,2
HG01512,-1.35394,-0.041814,2
HG01519,0.011138,0.356514,2
HG01525,0.436088,0.809316,2
HG01615,-0.637342,0.022543,2
HG01618,-0.067957,1.347881,2
HG01620,-0.067957,-0.22628,2
HG01631,-0.805216,1.904205,2
HG01668,0.011138,1.027808,2
HG01675,-0.637342,-0.215428,2
HG01679,-2.00242,-2.169027,2
HG01707,0.436088,-0.797025,2
HG01770,-0.928995,0.240793,2
HG01771,-0.569385,0.48459,2
HG01779,-1.00809,-1.628303,2
HG01791,-1.49838,-0.303448,2
HG02220,-0.504045,0.956013,2
NA07056,-1.28263,-0.138973,2
NA07347,-0.637342,0.317625,2
NA10851,0.872176,1.370521,2
NA11843,-1.92333,0.173099,2
NA11920,0.872176,0.994447,2
NA11995,-0.42495,-0.721283,2
NA12043,-1.49444,0.230827,2
NA12154,-0.067957,1.62808,2
NA12342,-0.928995,-0.329947,2
NA12716,-2.00242,0.4581,2
NA12749,0.436088,1.526004,2
NA12751,0.872176,0.22123,2
NA12761,0.436088,0.605498,2
NA12778,0.368131,-0.191597,2
NA12874,-0.572002,0.899414,2
NA20506,-0.504045,-0.696133,2
NA20511,0.447226,1.272848,2
NA20512,-2.00242,0.391312,2
NA20513,-1.57748,-0.135699,2
NA20514,-1.13819,0.036192,2
NA20515,0.368131,-0.102409,2
NA20525,-2.00242,-0.448752,2
NA20536,-1.14139,0.023523,2
NA20541,0.158935,0.126877,2
NA20542,-2.06776,-1.338532,2
NA20760,-0.380266,1.044332,2
NA20761,-1.49838,0.697588,2
NA20765,-1.57748,0.012267,2
NA20787,-0.994335,-0.366594,2
NA20792,-1.35058,0.343896,2
NA20796,-0.492907,0.314297,2
NA20799,-0.637342,-0.337831,2
NA20818,0.872176,1.604179,2
NA20819,-0.067957,-0.142695,2
HG00102,0.028919,0.161455,3
HG00103,-0.343635,-0.393491,3
HG00110,0.322465,-0.612905,3
HG00115,0.0,-1.166355,3
HG00131,0.651251,2.04271,3
HG00132,0.0,-0.476929,3
HG00136,2.31224,2.064012,3
HG00139,0.0,0.606989,3
HG00149,0.651251,-0.349384,3
HG00174,0.651251,0.184482,3
HG00187,-0.68727,0.02896,3
HG00188,-0.343635,0.070673,3
HG00232,0.0,-0.70304,3
HG00233,-0.68727,-1.356995,3
HG00244,0.0,-1.246952,3
HG00266,0.322465,0.149411,3
HG00267,-0.02117,0.342537,3
HG00271,-0.02117,0.118516,3
HG00276,-0.68727,-0.862481,3
HG00304,0.322465,-0.095072,3
HG00310,-0.637181,-0.906557,3
HG00319,0.994886,0.846076,3
HG00325,0.322465,0.223384,3
HG00327,0.0,-0.363501,3
HG00328,-0.343635,0.076807,3
HG00329,1.9686,2.245591,3
HG00343,0.630081,0.427346,3
HG00349,2.29107,1.747304,3
HG00357,0.994886,0.985015,3
HG00361,-0.68727,-0.158358,3
HG01507,0.0,-0.323674,3
HG01509,1.31735,0.61137,3
HG01512,1.31735,-0.362893,3
HG01519,0.0,-0.57867,3
HG01525,0.651251,1.073134,3
HG01615,0.322465,-0.496595,3
HG01618,0.973716,1.224996,3
HG01620,0.0,-0.083549,3
HG01631,0.994886,0.724439,3
HG01668,0.378875,0.224892,3
HG01675,0.322465,-0.218194,3
HG01679,-0.02117,0.064274,3
HG01707,0.0,-0.646629,3
HG01770,0.03524,0.197974,3
HG01771,-0.02117,0.219609,3
HG01779,0.0,-1.091912,3
HG01791,1.64614,1.239958,3
HG02220,-0.02117,-0.008453,3
NA07056,1.31735,1.27055,3
NA07347,-0.02117,-0.64901,3
NA10851,0.322465,0.469374,3
NA11843,-0.616011,-1.94003,3
NA11920,0.322465,-1.482437,3
NA11995,-0.68727,-1.207916,3
NA12043,0.0,0.310701,3
NA12154,-0.02117,0.082836,3
NA12342,-0.343635,-1.686904,3
NA12716,0.378875,-0.576644,3
NA12749,0.651251,-0.092263,3
NA12751,0.651251,0.508071,3
NA12761,-0.616011,-0.793586,3
NA12778,1.31735,0.231422,3
NA12874,-0.980816,-1.038324,3
NA20506,-0.343635,-0.571712,3
NA20511,0.994886,1.211419,3
NA20512,-0.343635,-0.155125,3
NA20513,-0.616011,-1.338507,3
NA20514,-0.68727,-0.834586,3
NA20515,0.651251,0.457025,3
NA20525,-0.02117,-0.98291,3
NA20536,0.0,-0.520373,3
NA20541,0.0,-1.000797,3
NA20542,-0.293546,-1.088173,3
NA20760,-0.68727,-0.263966,3
NA20761,-0.364805,0.753145,3
NA20765,-0.68727,-0.657224,3
NA20787,-0.959646,-1.447821,3
NA20792,-0.364805,0.509901,3
NA20796,-0.959646,-1.47383,3
NA20799,0.301295,-0.109975,3
NA20818,0.0,-0.098736,3
NA20819,0.301295,-1.397399,3
HG00102,-3.91861,-1.918839,4
HG00103,0.608198,0.189237,4
HG00110,0.725585,-0.916074,4
HG00115,-0.474362,-0.803651,4
HG00131,1.12133,1.448667,4
HG00132,-0.270333,0.246211,4
HG00136,2.37788,-0.980453,4
HG00139,-0.654224,1.170167,4
HG00149,-2.35268,-2.286583,4
HG00174,-0.919862,-2.262518,4
HG00187,-0.977754,0.824783,4
HG00188,1.44759,0.674817,4
HG00232,0.201376,-0.196476,4
HG00233,0.909302,-0.441773,4
HG00244,-2.30665,0.397286,4
HG00266,-0.300169,-0.919784,4
HG00267,-1.23224,-1.558674,4
HG00271,-0.771601,2.859458,4
HG00276,-3.11452,-1.026733,4
HG00304,3.50185,0.410452,4
HG00310,1.04082,0.185867,4
HG00319,-1.87011,0.27291,4
HG00325,1.20567,2.776003,4
HG00327,0.208507,-0.895276,4
HG00328,-0.909025,-0.305116,4
HG00329,-0.301448,0.161334,4
HG00343,-1.97122,0.475081,4
HG00349,-1.77978,0.171608,4
HG00357,-0.22199,-0.83698,4
HG00361,-0.290301,-0.592804,4
HG01507,-2.85124,0.037324,4
HG01509,0.66136,-0.634716,4
HG01512,-1.01566,-1.67443,4
HG01519,1.21487,0.273346,4
HG01525,-0.298616,-0.752772,4
HG01615,-0.803547,-1.53315,4
HG01618,0.025002,-0.385448,4
HG01620,-0.351898,-0.363081,4
