IID,predict,actual,pheno_num
HG00102,0.466868,-1.150858,1
HG00103,0.368399,0.164186,1
HG00110,0.368399,-0.025804,1
HG00115,1.67053,-0.42365,1
HG00131,0.0,0.119463,1
HG00132,1.22429,0.149092,1
HG00136,1.20367,-1.099047,1
HG00139,0.481221,0.658114,1
HG00149,2.69094,-0.301759,1
HG00174,0.368399,2.791979,1
HG00187,1.42931,0.97553,1
HG00188,1.59268,0.8893,1
HG00232,0.481221,-0.758925,1
HG00233,0.368399,3.248731,1
HG00244,0.948089,0.40697,1
HG00266,0.895396,0.172391,1
HG00267,0.526997,-0.474203,1
HG00271,0.835267,0.07511,1
HG00276,0.466868,0.008428,1
HG00304,0.368399,-0.388194,1
HG00310,0.948089,0.591424,1
HG00319,1.84348,-1.645894,1
HG00325,0.368399,-0.164764,1
HG00327,1.37662,0.363979,1
HG00328,1.00822,-0.135969,1
HG00329,0.0,-0.359307,1
HG00343,0.0,0.798587,1
HG00349,0.84962,2.516642,1
HG00357,1.31649,-0.508609,1
HG00361,0.466868,0.726368,1
HG01507,1.94673,-0.451743,1
HG01509,0.84962,0.348054,1
HG01512,0.84962,-0.664605,1
HG01519,1.11146,-0.626899,1
HG01525,1.37662,3.823987,1
HG01615,0.368399,-0.206419,1
HG01618,0.481221,-0.796226,1
HG01620,0.0,-0.611059,1
HG01631,0.84962,0.341767,1
HG01668,2.95495,-0.271589,1
HG01675,1.42931,-1.424238,1
HG01679,1.00822,-0.239225,1
HG01707,1.36226,-0.447955,1
HG01770,0.481221,0.071376,1
HG01771,0.948089,-1.075862,1
HG01779,0.933736,-0.140316,1
HG01791,0.0,-0.473473,1
HG02220,1.59268,0.142128,1
NA07056,2.21188,0.037342,1
NA07347,1.36226,1.427349,1
NA10851,0.368399,-0.554237,1
NA11843,1.68272,-1.771418,1
NA11920,1.21802,-0.380033,1
NA11995,1.31649,-0.752154,1
NA12043,1.69708,-0.160896,1
NA12154,0.481221,-1.044388,1
