IID,predict,actual,pheno_num
HG01589,0.0,-0.487965,1
HG02654,0.295931,0.738458,1
HG02685,0.0,-0.692433,1
HG02691,0.591862,0.086635,1
HG02731,0.295931,0.582978,1
HG02734,0.0,-2.166358,1
HG02736,0.591862,-0.365707,1
HG02774,0.0,-1.06817,1
HG02783,0.295931,-0.684475,1
HG02784,0.0,-0.295162,1
HG03006,0.0,-0.630034,1
HG03009,0.295931,-0.782503,1
HG03016,0.0,0.677221,1
HG03021,0.0,-0.987434,1
HG03490,0.591862,0.000873,1
HG03603,0.0,-0.019263,1
HG03611,0.0,-0.725379,1
HG03619,0.295931,0.119114,1
HG03629,0.295931,-0.623909,1
HG03643,0.0,-0.415573,1
HG03645,0.591862,0.135715,1
HG03649,0.295931,0.982705,1
HG03653,0.295931,-0.477241,1
HG03673,0.0,-0.417966,1
HG03681,0.0,1.518184,1
HG03691,0.295931,-0.146077,1
HG03718,0.0,-1.182612,1
HG03744,0.0,1.20821,1
HG03746,0.295931,-1.064687,1
HG03750,0.295931,1.114157,1
HG03756,0.295931,0.020148,1
HG03774,0.0,0.080392,1
HG03781,0.295931,0.878552,1
HG03787,0.295931,-1.018405,1
HG03802,0.591862,0.120631,1
HG03821,0.295931,1.045122,1
HG03823,0.295931,-0.137132,1
HG03830,0.0,1.766253,1
HG03851,0.295931,1.016237,1
HG03861,0.295931,0.009877,1
HG03866,0.295931,2.001631,1
HG03869,0.0,0.482404,1
HG03897,0.295931,-0.026939,1
HG03910,0.0,-0.203043,1
HG03940,0.295931,-0.037994,1
HG03941,0.295931,0.810227,1
HG03943,0.0,0.522218,1
HG03978,0.295931,-0.347468,1
HG03999,0.0,0.417461,1
HG04001,0.295931,0.063684,1
HG04017,0.0,-0.507753,1
HG04020,0.0,-0.724923,1
HG04025,0.591862,-1.192343,1
HG04035,0.0,-1.461958,1
HG04047,0.0,-0.690364,1
HG04059,0.295931,-0.6176,1
HG04061,0.295931,-1.31444,1
HG04100,0.0,-0.311846,1
HG04131,0.0,-0.660505,1
HG04156,0.295931,0.001618,1
HG04162,0.295931,0.988287,1
HG04183,0.591862,1.11521,1
HG04211,0.295931,1.373035,1
HG04238,0.0,0.194819,1
NA20845,0.0,-0.409718,1
NA20854,0.591862,0.322183,1
NA20856,0.0,-0.028194,1
