IID,predict,actual,pheno_num
HG01589,1.27804,3.895446,1
HG02654,0.0,-0.210601,1
HG02685,2.44456,-0.391262,1
HG02691,0.713291,0.125323,1
HG02731,3.46254,-0.307952,1
HG02734,1.27804,-0.290382,1
HG02736,2.44456,4.37027,1
HG02774,0.0,-0.028817,1
HG02783,0.0,-0.295759,1
HG02784,0.0,-0.437768,1
HG03006,3.7226,0.173109,1
HG03009,0.713291,-0.317358,1
HG03016,0.0,-0.244773,1
HG03021,0.713291,-0.750427,1
HG03490,0.713291,0.087143,1
HG03603,1.27804,-0.192338,1
HG03611,0.0,-0.68927,1
HG03619,0.713291,-0.649051,1
HG03629,0.0,-0.613116,1
HG03643,1.27804,-0.082554,1
HG03645,0.0,0.093362,1
HG03649,0.713291,0.345552,1
HG03653,0.0,-0.094108,1
HG03673,3.15785,-0.31675,1
HG03681,0.713291,-0.40387,1
HG03691,0.0,-0.492734,1
HG03718,0.0,-0.107765,1
HG03744,0.0,-0.668943,1
HG03746,0.713291,-0.381137,1
HG03750,0.0,-0.028538,1
HG03756,0.0,-0.732349,1
HG03774,1.27804,4.120792,1
HG03781,0.0,-0.517645,1
HG03787,0.0,-0.250499,1
HG03802,0.0,0.177978,1
HG03821,0.713291,-0.50104,1
HG03823,0.0,-0.120816,1
HG03830,2.44456,-0.726505,1
HG03851,0.0,-0.435677,1
HG03861,0.713291,-0.394242,1
HG03866,0.713291,0.230128,1
HG03869,0.0,-0.345884,1
HG03897,1.27804,-0.284846,1
HG03910,0.0,-0.04644,1
HG03940,1.27804,4.150358,1
HG03941,0.0,-0.190076,1
HG03943,0.713291,3.498588,1
HG03978,0.0,-0.303097,1
HG03999,0.0,-0.028091,1
HG04001,0.0,-0.075724,1
HG04017,0.0,-0.36612,1
HG04020,0.0,-0.808043,1
HG04025,0.0,0.577404,1
HG04035,0.0,-0.233245,1
HG04047,0.0,0.464336,1
HG04059,0.713291,-0.080197,1
HG04061,1.42658,4.676622,1
HG04100,0.0,-0.047652,1
HG04131,0.0,-0.078739,1
HG04156,1.27804,0.656429,1
HG04162,0.0,-0.534358,1
HG04183,0.713291,-0.250433,1
HG04211,1.73127,-0.238363,1
HG04238,0.0,-0.114599,1
NA20845,0.713291,-0.541879,1
NA20854,0.0,0.251258,1
NA20856,0.0,-0.027692,1
NA20869,1.42658,0.090749,1
NA20870,0.0,-0.495627,1
NA20878,0.0,-0.357631,1
NA20885,0.0,0.251351,1
NA20899,0.0,-0.050747,1
NA20900,0.0,0.139863,1
NA20901,0.0,-0.588685,1
NA20903,0.0,0.139756,1
NA20910,0.0,-0.357827,1
NA21086,0.0,-0.280695,1
NA21091,1.99133,-0.061291,1
NA21092,1.27804,-0.077309,1
NA21094,0.0,0.057498,1
NA21113,0.0,0.410893,1
HG01589,-1.03638,0.393154,2
HG02654,0.0,0.139854,2
HG02685,-3.23836,-1.942091,2
HG02691,-3.23836,-1.943188,2
HG02731,-0.518189,0.387489,2
HG02734,0.0,0.014179,2
HG02736,-0.68841,-0.112576,2
HG02774,-1.2066,0.521439,2
HG02783,-0.68841,0.425035,2
HG02784,-0.68841,0.260202,2
HG03006,0.0,0.07889,2
