population/superpopulation,power,her,num_causals,pheno_num,train,val,test
AFR,-1,0.7,1,1,0.872641035983657,0.024242743255144604,0.00046256101006537687
AFR,-1,0.7,1,2,0.9280813924831196,0.5006622255721573,0.6316835541169703
AFR,-1,0.7,1,3,0.9092473846061125,0.6929507150548111,0.7140434114722143
AFR,-1,0.7,1,4,0.9227561963550703,0.5907239370335171,0.6516577179212699
AFR,-1,0.7,1,5,0.9402951247811622,0.1964023560864639,4.919167832715024e-05
AFR,-1,0.7,1,6,0.8992619054148284,0.34323413844889905,0.2667742653672614
AFR,-1,0.7,1,7,0.910405112971711,0.6325666724865884,0.502785262767938
AFR,-1,0.7,1,8,0.9385073722834825,0.6377803953649157,0.747264413432769
AFR,-1,0.7,1,9,0.8500014820904601,0.027213618599821226,0.003353067300640321
AFR,-1,0.7,1,10,0.8914804863897517,0.7653618550451882,0.6144517977457291
AFR,-1,0.7,1,11,0.871437247573495,0.3312612175592653,0.2848131196115966
AFR,-1,0.7,1,12,0.8595422415409014,0.7268830037623931,0.5374310326299657
AFR,-1,0.7,1,13,0.9156705951111311,0.03883733221193913,0.027447068606659734
AFR,-1,0.7,1,14,0.879423281545774,0.7796853701288478,0.6875710981571419
AFR,-1,0.7,1,15,0.9336680327334723,0.014134434523464988,0.0044522721201861225
AFR,-1,0.7,1,16,0.9311158820788757,0.7063304779807421,0.6420283240445268
AFR,-1,0.7,1,17,0.8382462276103374,0.3720206588154879,0.44209034543016523
AFR,-1,0.7,1,18,0.9200764701874393,0.06300720243920707,0.002668393140861957
AFR,-1,0.7,1,19,0.9075945086181407,0.00885242024042739,0.006319506894187316
AFR,-1,0.7,1,20,0.8925552492564173,0.48392653391699236,0.6117332467770205
