population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EUR,-0.25,0.5,250,1,0.9274073242834037,0.1962809356885641,0.017947813048045276
EUR,-0.25,0.5,250,2,0.9183212025471948,0.3608075827291844,0.323766306560654
EUR,-0.25,0.5,250,3,0.932384473220448,0.19333682117491707,0.10113666953883622
EUR,-0.25,0.5,250,4,0.9074745030780912,0.2744147674139313,0.03998073687965492
EUR,-0.25,0.5,250,5,0.9063517064187137,0.2286931618945799,0.03757991818513113
EUR,-0.25,0.5,250,6,0.8952906645227535,0.43737198664477184,0.2570600400747449
EUR,-0.25,0.5,250,7,0.9164316287226509,0.33942296893307966,0.3170461590359016
EUR,-0.25,0.5,250,8,0.9044990905930058,0.3025446799212367,0.24683777819067337
EUR,-0.25,0.5,250,9,0.8960918061535956,0.2914037452020712,0.30381468566550374
EUR,-0.25,0.5,250,10,0.9212804936782267,0.13986862191518146,0.10995359797649024
EUR,-0.25,0.5,250,11,0.9252848069130644,0.12363571595178352,0.03126507847864825
EUR,-0.25,0.5,250,12,0.908421778718523,0.30309360626994314,0.2079444270969526
EUR,-0.25,0.5,250,13,0.9214848391387988,0.4446187787463053,0.24600205229223535
EUR,-0.25,0.5,250,14,0.9023162444297831,0.4541483849782954,0.3739179101505595
EUR,-0.25,0.5,250,15,0.9049963933829835,0.27462832980467355,0.023780285595049938
EUR,-0.25,0.5,250,16,0.9162788330216746,0.33525084222851953,0.11817501956265025
EUR,-0.25,0.5,250,17,0.9346242050114596,0.4382916928320681,0.35464536616158177
EUR,-0.25,0.5,250,18,0.8948621266082819,0.2612146709493767,0.13589252018873058
EUR,-0.25,0.5,250,19,0.923323312691658,0.2593157070992839,0.16187551143012022
EUR,-0.25,0.5,250,20,0.9117189785519144,0.18239349911368,0.04583098741668735
