population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EUR,-1,0.1,100,1,0.8934621965316918,0.049888959066991506,0.019601233385997795
EUR,-1,0.1,100,2,0.8929029536012268,0.031406590783580816,0.005489320559709293
EUR,-1,0.1,100,3,0.9067856928027628,0.024262365935588656,0.002947627304724943
EUR,-1,0.1,100,4,0.9083649881107628,0.0029726586759287062,0.06928177232650051
EUR,-1,0.1,100,5,0.9158307097529698,0.02186373431619693,0.0012036641428027038
EUR,-1,0.1,100,6,0.8783274754950351,0.02342704724980919,0.01405753495738466
EUR,-1,0.1,100,7,0.9124090552974008,0.10895846301658278,0.009281494252521465
EUR,-1,0.1,100,8,0.9015488371349497,0.009818857246134207,0.02181061455904469
EUR,-1,0.1,100,9,0.914826178094321,0.06748730074617701,0.0558947616416128
EUR,-1,0.1,100,10,0.9228050843773873,0.02764401168365094,0.006943118910296947
EUR,-1,0.1,100,11,0.9278823843436773,0.018891130409581413,7.331144020346992e-05
EUR,-1,0.1,100,12,0.9161008676819483,0.021039028762270963,0.0017548248983222106
EUR,-1,0.1,100,13,0.919783602749623,0.025887969951613854,0.0027570944230612517
EUR,-1,0.1,100,14,0.9330111628794288,0.022911920928329332,0.006713590142720411
EUR,-1,0.1,100,15,0.9238156842535,0.019523011652938443,0.012742229343859107
EUR,-1,0.1,100,16,0.9298784281882729,0.01138756009810276,0.026924478635786436
EUR,-1,0.1,100,17,0.9300537322665502,0.047478583250376544,0.00010946222958440416
EUR,-1,0.1,100,18,0.9081984116602456,0.03029519251079023,0.047210440623396695
EUR,-1,0.1,100,19,0.8777553981197167,0.04793087443410219,0.017991523059370518
EUR,-1,0.1,100,20,0.9332724178488316,0.035362009621600576,0.009614172810200924
