#FID IID
AFR_ACB HG01883
AFR_ACB HG02580
AFR_ACB HG02419
AFR_ACB HG02095
AFR_ACB HG02315
AFR_ACB HG01956
AFR_ACB HG02256
AFR_ACB HG02546
AFR_ACB HG02511
AFR_ACB HG01958
AFR_ACB HG01886
AFR_ACB HG02308
AFR_ACB HG02280
AFR_ACB HG02010
AFR_ACB HG02321
AFR_ACB HG01889
AFR_ACB HG02111
AFR_ACB HG02257
AFR_ACB HG02480
AFR_ACB HG02282
AFR_ACB HG02318
AFR_ACB HG02108
AFR_ACB HG01985
AFR_ACB HG02476
AFR_ACB HG02450
AFR_ACB HG02577
AFR_ACB HG02052
AFR_ACB HG02485
AFR_ACB HG02309
AFR_ACB HG02054
AFR_ACB HG02555
AFR_ACB HG02325
AFR_ACB HG02505
AFR_ACB HG02337
AFR_ACB HG02144
AFR_ACB HG02479
AFR_ACB HG01880
AFR_ACB HG02451
AFR_ACB HG02537
AFR_ACB HG01896
AFR_ACB HG01884
AFR_ACB HG02508
AFR_ACB HG02536
AFR_ACB HG02014
AFR_ACB HG02445
AFR_ACB HG02442
AFR_ACB HG01987
AFR_ACB HG01882
AFR_ACB HG01912
AFR_ACB HG02433
AFR_ACB HG02307
AFR_ACB HG02478
AFR_ACB HG01914
AFR_ACB HG02145
AFR_ACB HG01890
AFR_ACB HG02314
AFR_ACB HG01897
AFR_ACB HG02143
AFR_ACB HG02489
AFR_ACB HG01990
AFR_ACB HG02323
AFR_ACB HG01986
AFR_ACB HG02470
AFR_ACB HG01888
AFR_ACB HG02317
AFR_ACB HG02255
AFR_ACB HG02283
AFR_ACB HG02053
AFR_ACB HG02428
AFR_ACB HG02330
AFR_ACB HG02055
AFR_ACB HG01895
AFR_ACB HG02334
AFR_ACB HG02439
AFR_ACB HG02481
AFR_ACB HG02541
AFR_ACB HG01879
AFR_ACB HG02316
AFR_ACB HG02436
AFR_ACB HG02009
AFR_ACB HG02284
AFR_ACB HG02554
AFR_ACB HG02484
AFR_ACB HG02281
