#FID IID
AFR_ASW NA19914
AFR_ASW NA19983
AFR_ASW NA20276
AFR_ASW NA20292
AFR_ASW NA20317
AFR_ASW NA19902
AFR_ASW NA20299
AFR_ASW NA19985
AFR_ASW NA19913
AFR_ASW NA19909
AFR_ASW NA20344
AFR_ASW NA20282
AFR_ASW NA19924
AFR_ASW NA20339
AFR_ASW NA20414
AFR_ASW NA20290
AFR_ASW NA20296
AFR_ASW NA20363
AFR_ASW NA20287
AFR_ASW NA20314
AFR_ASW NA20336
AFR_ASW NA20313
AFR_ASW NA19921
AFR_ASW NA20341
AFR_ASW NA20334
AFR_ASW NA20361
AFR_ASW NA20357
AFR_ASW NA19819
AFR_ASW NA19712
AFR_ASW NA20319
AFR_ASW NA19704
AFR_ASW NA20277
AFR_ASW NA20321
AFR_ASW NA19708
AFR_ASW NA19713
AFR_ASW NA19917
AFR_ASW NA20274
AFR_ASW NA20337
AFR_ASW NA19707
AFR_ASW NA20333
AFR_ASW NA20127
AFR_ASW NA20300
AFR_ASW NA20359
AFR_ASW NA19714
AFR_ASW NA19901
AFR_ASW NA20128
AFR_ASW NA20289
AFR_ASW NA20332
AFR_ASW NA19835
AFR_ASW NA20320
AFR_ASW NA19625
AFR_ASW NA20312
AFR_ASW NA20301
AFR_ASW NA20364
AFR_ASW NA20294
AFR_ASW NA20322
AFR_ASW NA20412
AFR_ASW NA20129
AFR_ASW NA19836
AFR_ASW NA19701
AFR_ASW NA20355
AFR_ASW NA19923
AFR_ASW NA19916
AFR_ASW NA19828
AFR_ASW NA20346
AFR_ASW NA20278
AFR_ASW NA20348
AFR_ASW NA20297
AFR_ASW NA20362
AFR_ASW NA19922
AFR_ASW NA20279
AFR_ASW NA20345
AFR_ASW NA19703
AFR_ASW NA20343
AFR_ASW NA20350
AFR_ASW NA19834
AFR_ASW NA20347
AFR_ASW NA19982
AFR_ASW NA20335
AFR_ASW NA19700
AFR_ASW NA20351
AFR_ASW NA19904
AFR_ASW NA19818
AFR_ASW NA20356
AFR_ASW NA19984
AFR_ASW NA20288
AFR_ASW NA20126
AFR_ASW NA20281
AFR_ASW NA20318
AFR_ASW NA19702
AFR_ASW NA19900
AFR_ASW NA19705
AFR_ASW NA20413
AFR_ASW NA20349
AFR_ASW NA19908
AFR_ASW NA19920
AFR_ASW NA20298
AFR_ASW NA20284
AFR_ASW NA20360
AFR_ASW NA20302
AFR_ASW NA20358
AFR_ASW NA20285
AFR_ASW NA20295
AFR_ASW NA19919
AFR_ASW NA20340
AFR_ASW NA19915
AFR_ASW NA20316
AFR_ASW NA19711
AFR_ASW NA19918
AFR_ASW NA20342
AFR_ASW NA20291
