#FID IID
SAS_BEB HG04159
SAS_BEB HG03913
SAS_BEB HG03829
SAS_BEB HG03616
SAS_BEB HG03922
SAS_BEB HG03808
SAS_BEB HG03916
SAS_BEB HG04141
SAS_BEB HG03607
SAS_BEB HG03928
SAS_BEB HG04180
SAS_BEB HG03919
SAS_BEB HG03931
SAS_BEB HG03604
SAS_BEB HG04186
SAS_BEB HG04171
SAS_BEB HG03934
SAS_BEB HG03007
SAS_BEB HG03907
SAS_BEB HG03796
SAS_BEB HG03832
SAS_BEB HG04177
SAS_BEB HG03814
SAS_BEB HG04195
SAS_BEB HG03805
SAS_BEB HG04189
SAS_BEB HG04144
SAS_BEB HG03826
SAS_BEB HG03937
SAS_BEB HG03589
SAS_BEB HG03817
SAS_BEB HG04153
SAS_BEB HG03925
SAS_BEB HG03595
SAS_BEB HG03793
SAS_BEB HG03598
SAS_BEB HG04156
SAS_BEB HG03940
SAS_BEB HG04183
SAS_BEB HG03910
SAS_BEB HG03823
SAS_BEB HG04162
SAS_BEB HG03611
SAS_BEB HG03802
SAS_BEB HG04173
SAS_BEB HG03594
SAS_BEB HG03824
SAS_BEB HG03833
SAS_BEB HG03902
SAS_BEB HG03822
SAS_BEB HG03911
SAS_BEB HG03914
SAS_BEB HG03809
SAS_BEB HG04185
SAS_BEB HG04161
SAS_BEB HG03593
SAS_BEB HG03917
SAS_BEB HG03600
SAS_BEB HG04155
SAS_BEB HG03012
SAS_BEB HG04140
SAS_BEB HG03615
SAS_BEB HG04152
SAS_BEB HG03905
SAS_BEB HG04158
SAS_BEB HG04176
SAS_BEB HG04134
SAS_BEB HG03926
SAS_BEB HG03800
SAS_BEB HG04188
SAS_BEB HG03920
SAS_BEB HG04146
SAS_BEB HG04194
SAS_BEB HG03585
SAS_BEB HG03812
SAS_BEB HG04164
SAS_BEB HG04182
SAS_BEB HG03815
SAS_BEB HG03908
SAS_BEB HG03803
SAS_BEB HG03006
SAS_BEB HG03603
SAS_BEB HG03606
SAS_BEB HG03941
SAS_BEB HG03830
SAS_BEB HG04131
SAS_BEB HG03821
SAS_BEB HG03009
