#FID IID
EAS_CDX HG02184
EAS_CDX HG02164
EAS_CDX HG02152
EAS_CDX HG00956
EAS_CDX HG01046
EAS_CDX HG01809
EAS_CDX HG00766
EAS_CDX HG02186
EAS_CDX HG01799
EAS_CDX HG01801
EAS_CDX HG02155
EAS_CDX HG02179
EAS_CDX HG01804
EAS_CDX HG02165
EAS_CDX HG02182
EAS_CDX HG02188
EAS_CDX HG01805
EAS_CDX HG02154
EAS_CDX HG02180
EAS_CDX HG02189
EAS_CDX HG01812
EAS_CDX HG02181
EAS_CDX HG02153
EAS_CDX HG02151
EAS_CDX HG01795
EAS_CDX HG00851
EAS_CDX HG01808
EAS_CDX HG02190
EAS_CDX HG01800
EAS_CDX HG01796
EAS_CDX HG01806
EAS_CDX HG02156
EAS_CDX HG00879
EAS_CDX HG02185
EAS_CDX HG00864
EAS_CDX HG01797
EAS_CDX HG00759
EAS_CDX HG01807
EAS_CDX HG01813
EAS_CDX HG01802
EAS_CDX HG01029
EAS_CDX HG01794
EAS_CDX HG02187
EAS_CDX HG01817
EAS_CDX HG00867
EAS_CDX HG02166
EAS_CDX HG01798
EAS_CDX HG00978
EAS_CDX HG02178
EAS_CDX HG01815
EAS_CDX HG02406
EAS_CDX HG02388
EAS_CDX HG02391
EAS_CDX HG02408
EAS_CDX HG02372
EAS_CDX HG02371
EAS_CDX HG01810
EAS_CDX HG00881
EAS_CDX HG02398
EAS_CDX HG02380
EAS_CDX HG02389
EAS_CDX HG02374
EAS_CDX HG01031
EAS_CDX HG02364
EAS_CDX HG02351
EAS_CDX HG02356
EAS_CDX HG02397
EAS_CDX HG00844
EAS_CDX HG00982
EAS_CDX HG02402
EAS_CDX HG01811
EAS_CDX HG02399
EAS_CDX HG02410
EAS_CDX HG00983
EAS_CDX HG02385
EAS_CDX HG02401
EAS_CDX HG01028
EAS_CDX HG02407
EAS_CDX HG02355
EAS_CDX HG02375
EAS_CDX HG02377
EAS_CDX HG02409
EAS_CDX HG02386
EAS_CDX HG00866
EAS_CDX HG02390
EAS_CDX HG02250
EAS_CDX HG02360
EAS_CDX HG02396
EAS_CDX HG02382
EAS_CDX HG02381
EAS_CDX HG02392
EAS_CDX HG02379
EAS_CDX HG02383
EAS_CDX HG02367
EAS_CDX HG01816
EAS_CDX HG02384
EAS_CDX HG02395
EAS_CDX HG02394
EAS_CDX HG02373
EAS_CDX HG02353
EAS_CDX HG02387
EAS_CDX HG02363
