#FID IID
EUR_CEU NA12873
EUR_CEU NA12815
EUR_CEU NA12287
EUR_CEU NA10864
EUR_CEU NA12234
EUR_CEU NA12489
EUR_CEU NA10859
EUR_CEU NA12717
EUR_CEU NA12283
EUR_CEU NA12414
EUR_CEU NA07346
EUR_CEU NA11894
EUR_CEU NA11931
EUR_CEU NA10831
EUR_CEU NA07340
EUR_CEU NA12383
EUR_CEU NA11933
EUR_CEU NA06989
EUR_CEU NA10854
EUR_CEU NA12348
EUR_CEU NA07045
EUR_CEU NA12336
EUR_CEU NA07014
EUR_CEU NA11882
EUR_CEU NA12329
EUR_CEU NA10863
EUR_CEU NA07031
EUR_CEU NA12818
EUR_CEU NA12890
EUR_CEU NA12058
EUR_CEU NA12046
EUR_CEU NA12878
EUR_CEU NA11840
EUR_CEU NA12875
EUR_CEU NA07348
EUR_CEU NA12708
EUR_CEU NA12249
EUR_CEU NA12275
EUR_CEU NA12813
EUR_CEU NA12718
EUR_CEU NA12376
EUR_CEU NA12273
EUR_CEU NA12892
EUR_CEU NA10852
EUR_CEU NA12400
EUR_CEU NA12843
EUR_CEU NA07037
EUR_CEU NA11832
EUR_CEU NA10855
EUR_CEU NA12004
EUR_CEU NA12828
EUR_CEU NA12341
EUR_CEU NA10839
EUR_CEU NA11892
EUR_CEU NA12044
EUR_CEU NA12740
EUR_CEU NA06991
EUR_CEU NA11993
EUR_CEU NA12006
EUR_CEU NA12865
EUR_CEU NA07000
EUR_CEU NA06985
EUR_CEU NA07055
EUR_CEU NA12830
EUR_CEU NA12156
EUR_CEU NA10865
EUR_CEU NA11881
EUR_CEU NA12045
EUR_CEU NA12812
EUR_CEU NA10837
EUR_CEU NA12891
EUR_CEU NA12413
EUR_CEU NA12829
EUR_CEU NA12762
EUR_CEU NA06993
EUR_CEU NA12335
EUR_CEU NA12827
EUR_CEU NA12485
EUR_CEU NA07048
EUR_CEU NA11829
EUR_CEU NA12760
EUR_CEU NA10846
EUR_CEU NA07349
EUR_CEU NA12750
EUR_CEU NA12817
EUR_CEU NA06984
EUR_CEU NA10857
EUR_CEU NA10842
EUR_CEU NA12155
EUR_CEU NA11839
EUR_CEU NA12775
EUR_CEU NA12375
EUR_CEU NA12801
EUR_CEU NA11930
EUR_CEU NA11919
EUR_CEU NA07029
EUR_CEU NA12546
EUR_CEU NA12872
EUR_CEU NA12777
EUR_CEU NA12340
EUR_CEU NA07022
EUR_CEU NA12399
EUR_CEU NA10835
EUR_CEU NA12146
EUR_CEU NA12056
EUR_CEU NA12739
EUR_CEU NA11932
EUR_CEU NA12766
EUR_CEU NA10845
EUR_CEU NA12272
EUR_CEU NA11891
EUR_CEU NA10856
EUR_CEU NA12842
EUR_CEU NA12707
EUR_CEU NA12877
EUR_CEU NA12347
EUR_CEU NA07051
EUR_CEU NA12752
EUR_CEU NA07034
EUR_CEU NA11831
EUR_CEU NA12144
EUR_CEU NA06994
EUR_CEU NA12814
EUR_CEU NA12286
EUR_CEU NA10860
EUR_CEU NA12264
EUR_CEU NA12748
