#FID IID
EAS_CHB NA18795
EAS_CHB NA18533
EAS_CHB NA18582
EAS_CHB NA18550
EAS_CHB NA18617
EAS_CHB NA18542
EAS_CHB NA18526
EAS_CHB NA18570
EAS_CHB NA18571
EAS_CHB NA18642
EAS_CHB NA18566
EAS_CHB NA18541
EAS_CHB NA18567
EAS_CHB NA18576
EAS_CHB NA18593
EAS_CHB NA18610
EAS_CHB NA18599
EAS_CHB NA18527
EAS_CHB NA18565
EAS_CHB NA18579
EAS_CHB NA18602
EAS_CHB NA18555
EAS_CHB NA18595
EAS_CHB NA18640
EAS_CHB NA18596
EAS_CHB NA18532
EAS_CHB NA18531
EAS_CHB NA18631
EAS_CHB NA18573
EAS_CHB NA18574
EAS_CHB NA18577
EAS_CHB NA18614
EAS_CHB NA18628
EAS_CHB NA18619
EAS_CHB NA18597
EAS_CHB NA18560
EAS_CHB NA18644
EAS_CHB NA18545
EAS_CHB NA18591
EAS_CHB NA18627
EAS_CHB NA18646
EAS_CHB NA18537
EAS_CHB NA18757
EAS_CHB NA18605
EAS_CHB NA18637
EAS_CHB NA18536
EAS_CHB NA18548
EAS_CHB NA18622
EAS_CHB NA18557
EAS_CHB NA18621
EAS_CHB NA18624
EAS_CHB NA18629
EAS_CHB NA18636
EAS_CHB NA18543
EAS_CHB NA18562
EAS_CHB NA18740
EAS_CHB NA18563
EAS_CHB NA18561
EAS_CHB NA18549
EAS_CHB NA18623
EAS_CHB NA18794
EAS_CHB NA18745
EAS_CHB NA18606
EAS_CHB NA18609
EAS_CHB NA18633
EAS_CHB NA18647
EAS_CHB NA18638
EAS_CHB NA18558
EAS_CHB NA18648
EAS_CHB NA18632
EAS_CHB NA18612
EAS_CHB NA18611
EAS_CHB NA18603
EAS_CHB NA18749
EAS_CHB NA18639
