#FID IID
EAS_CHS HG00452
EAS_CHS HG00684
EAS_CHS HG00584
EAS_CHS HG00690
EAS_CHS HG00525
EAS_CHS HG00655
EAS_CHS HG00437
EAS_CHS HG00513
EAS_CHS HG00419
EAS_CHS HG00449
EAS_CHS HG00632
EAS_CHS HG00654
EAS_CHS HG00447
EAS_CHS HG00599
EAS_CHS HG00614
EAS_CHS HG00422
EAS_CHS HG00585
EAS_CHS HG00479
EAS_CHS HG00476
EAS_CHS HG00405
EAS_CHS HG00700
EAS_CHS HG00657
EAS_CHS HG00705
EAS_CHS HG00534
EAS_CHS HG00590
EAS_CHS HG00410
EAS_CHS HG00652
EAS_CHS HG00514
EAS_CHS HG00473
EAS_CHS HG00612
EAS_CHS HG00464
EAS_CHS HG00428
EAS_CHS HG00693
EAS_CHS HG00531
EAS_CHS HG00702
EAS_CHS HG00458
EAS_CHS HG00629
EAS_CHS HG00450
EAS_CHS HG00558
EAS_CHS HG00423
EAS_CHS HG00501
EAS_CHS HG00623
EAS_CHS HG00581
EAS_CHS HG00615
EAS_CHS HG00675
EAS_CHS HG00597
EAS_CHS HG00717
EAS_CHS HG00537
EAS_CHS HG00566
EAS_CHS HG00404
EAS_CHS HG00608
EAS_CHS HG00651
EAS_CHS HG00408
EAS_CHS HG00459
EAS_CHS HG00567
EAS_CHS HG00565
EAS_CHS HG00474
EAS_CHS HG00444
EAS_CHS HG00698
EAS_CHS HG00621
EAS_CHS HG00607
EAS_CHS HG00689
EAS_CHS HG00634
EAS_CHS HG00478
EAS_CHS HG00650
EAS_CHS HG00592
EAS_CHS HG00406
EAS_CHS HG00480
EAS_CHS HG00535
EAS_CHS HG00598
EAS_CHS HG00673
EAS_CHS HG00658
EAS_CHS HG00594
EAS_CHS HG00718
EAS_CHS HG00472
EAS_CHS HG00628
EAS_CHS HG00457
EAS_CHS HG00704
EAS_CHS HG00577
EAS_CHS HG00533
EAS_CHS HG00691
EAS_CHS HG00716
EAS_CHS HG00403
EAS_CHS HG00630
EAS_CHS HG00583
EAS_CHS HG00625
EAS_CHS HG00559
EAS_CHS HG00671
EAS_CHS HG00683
EAS_CHS HG00538
EAS_CHS HG00591
EAS_CHS HG00589
EAS_CHS HG00427
EAS_CHS HG00530
EAS_CHS HG00542
EAS_CHS HG00448
EAS_CHS HG00429
EAS_CHS HG00465
EAS_CHS HG00709
EAS_CHS HG00463
EAS_CHS HG00409
EAS_CHS HG00631
EAS_CHS HG00662
EAS_CHS HG00524
EAS_CHS HG00636
EAS_CHS HG00707
EAS_CHS HG00703
EAS_CHS HG00512
EAS_CHS HG00701
EAS_CHS HG00609
EAS_CHS HG00685
EAS_CHS HG00526
EAS_CHS HG00442
EAS_CHS HG00706
