#FID IID
AMR_CLM HG01486
AMR_CLM HG01385
AMR_CLM HG01379
AMR_CLM HG01489
AMR_CLM HG01251
AMR_CLM HG01140
AMR_CLM HG01276
AMR_CLM HG01493
AMR_CLM HG01376
AMR_CLM HG01281
AMR_CLM HG01284
AMR_CLM HG01462
AMR_CLM HG01275
AMR_CLM HG01125
AMR_CLM HG01131
AMR_CLM HG01372
AMR_CLM HG01150
AMR_CLM HG01366
AMR_CLM HG01346
AMR_CLM HG01378
AMR_CLM HG01279
AMR_CLM HG01474
AMR_CLM HG01435
AMR_CLM HG01134
AMR_CLM HG01551
AMR_CLM HG01149
AMR_CLM HG01351
AMR_CLM HG01492
AMR_CLM HG01496
AMR_CLM HG01355
AMR_CLM HG01352
AMR_CLM HG01122
AMR_CLM HG01113
AMR_CLM HG01348
AMR_CLM HG01357
AMR_CLM HG01137
AMR_CLM HG01498
AMR_CLM HG01257
AMR_CLM HG01369
AMR_CLM HG01278
AMR_CLM HG01272
AMR_CLM HG01456
AMR_CLM HG01345
AMR_CLM HG01459
AMR_CLM HG01390
AMR_CLM HG01444
AMR_CLM HG01141
AMR_CLM HG01466
AMR_CLM HG01490
AMR_CLM HG01363
AMR_CLM HG01495
AMR_CLM HG01256
AMR_CLM HG01258
AMR_CLM HG01431
AMR_CLM HG01138
AMR_CLM HG01350
AMR_CLM HG01130
AMR_CLM HG01253
AMR_CLM HG01341
AMR_CLM HG01494
AMR_CLM HG01365
AMR_CLM HG01344
AMR_CLM HG01457
AMR_CLM HG01112
AMR_CLM HG01479
AMR_CLM HG01383
AMR_CLM HG01556
AMR_CLM HG01491
AMR_CLM HG01255
AMR_CLM HG01259
AMR_CLM HG01136
AMR_CLM HG01148
AMR_CLM HG01485
AMR_CLM HG01377
AMR_CLM HG01552
AMR_CLM HG01442
AMR_CLM HG01133
AMR_CLM HG01261
AMR_CLM HG01356
AMR_CLM HG01124
AMR_CLM HG01273
AMR_CLM HG01252
AMR_CLM HG01437
AMR_CLM HG01271
AMR_CLM HG01274
AMR_CLM HG01362
AMR_CLM HG01126
AMR_CLM HG01280
AMR_CLM HG01443
AMR_CLM HG01353
AMR_CLM HG01550
