#FID IID
AFR_ESN HG03108
AFR_ESN HG03300
AFR_ESN HG03499
AFR_ESN HG03117
AFR_ESN HG03363
AFR_ESN HG03135
AFR_ESN HG03171
AFR_ESN HG03514
AFR_ESN HG03132
AFR_ESN HG03511
AFR_ESN HG03372
AFR_ESN HG03297
AFR_ESN HG03303
AFR_ESN HG03195
AFR_ESN HG03105
AFR_ESN HG03354
AFR_ESN HG03517
AFR_ESN HG03294
AFR_ESN HG02946
AFR_ESN HG03267
AFR_ESN HG03520
AFR_ESN HG03168
AFR_ESN HG03366
AFR_ESN HG02974
AFR_ESN HG03111
AFR_ESN HG03129
AFR_ESN HG03279
AFR_ESN HG03114
AFR_ESN HG03123
AFR_ESN HG02952
AFR_ESN HG03162
AFR_ESN HG02976
AFR_ESN HG02979
AFR_ESN HG03159
AFR_ESN HG03121
AFR_ESN HG03189
AFR_ESN HG03198
AFR_ESN HG02970
AFR_ESN HG03126
AFR_ESN HG02922
AFR_ESN HG03351
AFR_ESN HG03369
AFR_ESN HG03099
AFR_ESN HG03291
AFR_ESN HG03270
AFR_ESN HG02943
AFR_ESN HG03342
AFR_ESN HG02938
AFR_ESN HG03103
AFR_ESN HG03160
AFR_ESN HG03115
AFR_ESN HG02973
AFR_ESN HG03268
AFR_ESN HG02977
AFR_ESN HG03367
AFR_ESN HG03196
AFR_ESN HG03163
AFR_ESN HG03112
AFR_ESN HG02947
AFR_ESN HG02968
AFR_ESN HG03304
AFR_ESN HG02953
AFR_ESN HG03139
AFR_ESN HG03202
AFR_ESN HG03136
AFR_ESN HG03352
AFR_ESN HG03271
AFR_ESN HG03518
AFR_ESN HG03313
AFR_ESN HG03190
AFR_ESN HG03127
AFR_ESN HG03298
AFR_ESN HG03124
AFR_ESN HG03172
AFR_ESN HG03301
AFR_ESN HG03133
AFR_ESN HG03175
AFR_ESN HG03157
AFR_ESN HG03130
AFR_ESN HG03515
AFR_ESN HG03120
AFR_ESN HG03370
AFR_ESN HG03311
AFR_ESN HG03280
AFR_ESN HG03100
AFR_ESN HG03166
AFR_ESN HG03343
AFR_ESN HG03118
AFR_ESN HG03193
AFR_ESN HG02941
AFR_ESN HG03295
AFR_ESN HG03199
AFR_ESN HG02944
AFR_ESN HG03109
AFR_ESN HG03521
AFR_ESN HG03169
AFR_ESN HG02923
AFR_ESN HG02981
AFR_ESN HG03265
AFR_ESN HG02971
