#FID IID
EUR_FIN HG00309
EUR_FIN HG00274
EUR_FIN HG00380
EUR_FIN HG00355
EUR_FIN HG00318
EUR_FIN HG00313
EUR_FIN HG00306
EUR_FIN HG00356
EUR_FIN HG00180
EUR_FIN HG00362
EUR_FIN HG00364
EUR_FIN HG00315
EUR_FIN HG00269
EUR_FIN HG00176
EUR_FIN HG00379
EUR_FIN HG00334
EUR_FIN HG00179
EUR_FIN HG00320
EUR_FIN HG00177
EUR_FIN HG00323
EUR_FIN HG00281
EUR_FIN HG00353
EUR_FIN HG00268
EUR_FIN HG00171
EUR_FIN HG00367
EUR_FIN HG00381
EUR_FIN HG00368
EUR_FIN HG00378
EUR_FIN HG00331
EUR_FIN HG00282
EUR_FIN HG00350
EUR_FIN HG00272
EUR_FIN HG00383
EUR_FIN HG00339
EUR_FIN HG00270
EUR_FIN HG00326
EUR_FIN HG00285
EUR_FIN HG00365
EUR_FIN HG00384
EUR_FIN HG00178
EUR_FIN HG00337
EUR_FIN HG00275
EUR_FIN HG00330
EUR_FIN HG00373
EUR_FIN HG00341
EUR_FIN HG00335
EUR_FIN HG00342
EUR_FIN HG00273
EUR_FIN HG00278
EUR_FIN HG00375
EUR_FIN HG00181
EUR_FIN HG00277
EUR_FIN HG00186
EUR_FIN HG00311
EUR_FIN HG00183
EUR_FIN HG00369
EUR_FIN HG00308
EUR_FIN HG00336
EUR_FIN HG00190
EUR_FIN HG00312
EUR_FIN HG00371
EUR_FIN HG00280
EUR_FIN HG00182
EUR_FIN HG00338
EUR_FIN HG00358
EUR_FIN HG00185
EUR_FIN HG00345
EUR_FIN HG00189
EUR_FIN HG00372
EUR_FIN HG00382
EUR_FIN HG00290
