#FID IID
EUR_GBR HG00158
EUR_GBR HG00104
EUR_GBR HG00121
EUR_GBR HG00248
EUR_GBR HG00249
EUR_GBR HG00144
EUR_GBR HG00258
EUR_GBR HG00146
EUR_GBR HG00235
EUR_GBR HG00262
EUR_GBR HG00238
EUR_GBR HG00237
EUR_GBR HG00239
EUR_GBR HG00147
EUR_GBR HG00253
EUR_GBR HG00259
EUR_GBR HG00130
EUR_GBR HG00245
EUR_GBR HG00118
EUR_GBR HG00250
EUR_GBR HG00123
EUR_GBR HG00261
EUR_GBR HG00100
EUR_GBR HG00122
EUR_GBR HG00111
EUR_GBR HG00120
EUR_GBR HG00240
EUR_GBR HG00255
EUR_GBR HG00125
EUR_GBR HG00127
EUR_GBR HG02215
EUR_GBR HG00254
EUR_GBR HG00257
EUR_GBR HG00106
EUR_GBR HG00236
EUR_GBR HG00097
EUR_GBR HG00133
EUR_GBR HG01790
EUR_GBR HG00246
EUR_GBR HG00143
EUR_GBR HG00157
EUR_GBR HG00260
EUR_GBR HG00096
EUR_GBR HG00119
EUR_GBR HG00116
EUR_GBR HG00141
EUR_GBR HG00252
EUR_GBR HG00251
EUR_GBR HG00256
EUR_GBR HG00265
EUR_GBR HG00109
EUR_GBR HG00243
EUR_GBR HG01334
EUR_GBR HG00156
EUR_GBR HG00108
EUR_GBR HG00129
EUR_GBR HG00105
EUR_GBR HG00234
EUR_GBR HG00140
EUR_GBR HG00112
EUR_GBR HG00160
EUR_GBR HG00142
EUR_GBR HG01789
EUR_GBR HG00264
EUR_GBR HG00101
EUR_GBR HG00152
EUR_GBR HG00148
EUR_GBR HG00117
EUR_GBR HG00107
EUR_GBR HG00113
EUR_GBR HG00126
EUR_GBR HG00151
