#FID IID
SAS_GIH NA21125
SAS_GIH NA21108
SAS_GIH NA21103
SAS_GIH NA20902
SAS_GIH NA20908
SAS_GIH NA21089
SAS_GIH NA20859
SAS_GIH NA20862
SAS_GIH NA20872
SAS_GIH NA21088
SAS_GIH NA20874
SAS_GIH NA21106
SAS_GIH NA20877
SAS_GIH NA20881
SAS_GIH NA20879
SAS_GIH NA20851
SAS_GIH NA21102
SAS_GIH NA20892
SAS_GIH NA20882
SAS_GIH NA21097
SAS_GIH NA21120
SAS_GIH NA21121
SAS_GIH NA21144
SAS_GIH NA21137
SAS_GIH NA20868
SAS_GIH NA20847
SAS_GIH NA20894
SAS_GIH NA21143
SAS_GIH NA21141
SAS_GIH NA21122
SAS_GIH NA20853
SAS_GIH NA20888
SAS_GIH NA20875
SAS_GIH NA20893
SAS_GIH NA21101
SAS_GIH NA21111
SAS_GIH NA21123
SAS_GIH NA21128
SAS_GIH NA21118
SAS_GIH NA20897
SAS_GIH NA20846
SAS_GIH NA21134
SAS_GIH NA21093
SAS_GIH NA20864
SAS_GIH NA20898
SAS_GIH NA20904
SAS_GIH NA20883
SAS_GIH NA21127
SAS_GIH NA20850
SAS_GIH NA20911
SAS_GIH NA21130
SAS_GIH NA21129
SAS_GIH NA20909
SAS_GIH NA20890
SAS_GIH NA21115
SAS_GIH NA20905
SAS_GIH NA21099
SAS_GIH NA21116
SAS_GIH NA20867
SAS_GIH NA21104
SAS_GIH NA20873
SAS_GIH NA20863
SAS_GIH NA21112
SAS_GIH NA21109
SAS_GIH NA21107
SAS_GIH NA21090
SAS_GIH NA21117
SAS_GIH NA21114
SAS_GIH NA21087
SAS_GIH NA21100
SAS_GIH NA20895
SAS_GIH NA21133
SAS_GIH NA20891
SAS_GIH NA20884
SAS_GIH NA21119
SAS_GIH NA21098
SAS_GIH NA20861
SAS_GIH NA21105
