#FID IID
AFR_GWD HG02465
AFR_GWD HG02679
AFR_GWD HG02888
AFR_GWD HG02643
AFR_GWD HG02676
AFR_GWD HG02462
AFR_GWD HG02817
AFR_GWD HG03247
AFR_GWD HG03539
AFR_GWD HG02635
AFR_GWD HG02757
AFR_GWD HG02772
AFR_GWD HG02583
AFR_GWD HG02840
AFR_GWD HG02667
AFR_GWD HG02852
AFR_GWD HG02855
AFR_GWD HG02614
AFR_GWD HG02574
AFR_GWD HG02805
AFR_GWD HG02571
AFR_GWD HG03049
AFR_GWD HG02983
AFR_GWD HG03028
AFR_GWD HG02870
AFR_GWD HG02716
AFR_GWD HG02586
AFR_GWD HG02722
AFR_GWD HG02595
AFR_GWD HG02861
AFR_GWD HG02589
AFR_GWD HG02896
AFR_GWD HG02820
AFR_GWD HG02621
AFR_GWD HG02562
AFR_GWD HG02629
AFR_GWD HG02885
AFR_GWD HG02799
AFR_GWD HG03259
AFR_GWD HG02837
AFR_GWD HG02642
AFR_GWD HG02982
AFR_GWD HG02807
AFR_GWD HG02588
AFR_GWD HG02854
AFR_GWD HG02594
AFR_GWD HG02881
AFR_GWD HG02623
AFR_GWD HG02666
AFR_GWD HG02756
AFR_GWD HG02816
AFR_GWD HG02613
AFR_GWD HG02585
AFR_GWD HG02610
AFR_GWD HG02768
AFR_GWD HG02798
AFR_GWD HG03045
AFR_GWD HG02461
AFR_GWD HG02675
AFR_GWD HG02573
AFR_GWD HG03048
AFR_GWD HG02813
AFR_GWD HG02860
AFR_GWD HG02887
AFR_GWD HG03024
AFR_GWD HG02702
AFR_GWD HG02715
AFR_GWD HG02836
AFR_GWD HG02721
AFR_GWD HG03246
AFR_GWD HG03027
AFR_GWD HG02464
AFR_GWD HG02645
AFR_GWD HG02878
AFR_GWD HG02561
AFR_GWD HG02839
AFR_GWD HG02819
AFR_GWD HG03258
