#FID IID
EUR_IBS HG01784
EUR_IBS HG02230
EUR_IBS HG01786
EUR_IBS HG02229
EUR_IBS HG01605
EUR_IBS HG02240
EUR_IBS HG01702
EUR_IBS HG01746
EUR_IBS HG01614
EUR_IBS HG01673
EUR_IBS HG01513
EUR_IBS HG02225
EUR_IBS HG01607
EUR_IBS HG01602
EUR_IBS HG01501
EUR_IBS HG01670
EUR_IBS HG01504
EUR_IBS HG01676
EUR_IBS HG02232
EUR_IBS HG02223
EUR_IBS HG01628
EUR_IBS HG01695
EUR_IBS HG01613
EUR_IBS HG01616
EUR_IBS HG01632
EUR_IBS HG01537
EUR_IBS HG01604
EUR_IBS HG01520
EUR_IBS HG01531
EUR_IBS HG01514
EUR_IBS HG01511
EUR_IBS HG01538
EUR_IBS HG01517
EUR_IBS HG01697
EUR_IBS HG01516
EUR_IBS HG01768
EUR_IBS HG02235
EUR_IBS HG01522
EUR_IBS HG01528
EUR_IBS HG01757
EUR_IBS HG01711
EUR_IBS HG01782
EUR_IBS HG01677
EUR_IBS HG01612
EUR_IBS HG02237
EUR_IBS HG01626
EUR_IBS HG01622
EUR_IBS HG01510
EUR_IBS HG01776
EUR_IBS HG01755
EUR_IBS HG01623
EUR_IBS HG01710
EUR_IBS HG01762
EUR_IBS HG01686
EUR_IBS HG01781
EUR_IBS HG01780
EUR_IBS HG02236
EUR_IBS HG01667
EUR_IBS HG01601
EUR_IBS HG01524
EUR_IBS HG01500
EUR_IBS HG01669
EUR_IBS HG01625
EUR_IBS HG01624
EUR_IBS HG01536
EUR_IBS HG01515
EUR_IBS HG01606
EUR_IBS HG01701
EUR_IBS HG02219
EUR_IBS HG01527
EUR_IBS HG01627
EUR_IBS HG01678
EUR_IBS HG01774
EUR_IBS HG01629
EUR_IBS HG01530
EUR_IBS HG01619
EUR_IBS HG02231
EUR_IBS HG01518
EUR_IBS HG01761
EUR_IBS HG01703
EUR_IBS HG01765
EUR_IBS HG01630
EUR_IBS HG01756
EUR_IBS HG01682
EUR_IBS HG01609
EUR_IBS HG02238
EUR_IBS HG01775
EUR_IBS HG02234
EUR_IBS HG01521
EUR_IBS HG01532
EUR_IBS HG01672
EUR_IBS HG01700
EUR_IBS HG01785
EUR_IBS HG01621
EUR_IBS HG01708
EUR_IBS HG01508
EUR_IBS HG02233
EUR_IBS HG01699
EUR_IBS HG01709
EUR_IBS HG01506
EUR_IBS HG01608
EUR_IBS HG01778
EUR_IBS HG01671
EUR_IBS HG01696
EUR_IBS HG02221
EUR_IBS HG01603
EUR_IBS HG01503
EUR_IBS HG02224
EUR_IBS HG01748
