#FID IID
SAS_ITU HG04118
SAS_ITU HG03772
SAS_ITU HG03973
SAS_ITU HG04076
SAS_ITU HG03863
SAS_ITU HG03730
SAS_ITU HG03862
SAS_ITU HG03868
SAS_ITU HG03784
SAS_ITU HG03874
SAS_ITU HG04062
SAS_ITU HG04018
SAS_ITU HG04054
SAS_ITU HG03782
SAS_ITU HG03873
SAS_ITU HG04070
SAS_ITU HG04014
SAS_ITU HG03714
SAS_ITU HG04026
SAS_ITU HG03789
SAS_ITU HG04216
SAS_ITU HG03977
SAS_ITU HG04090
SAS_ITU HG04063
SAS_ITU HG03968
SAS_ITU HG03731
SAS_ITU HG03722
SAS_ITU HG03717
SAS_ITU HG04214
SAS_ITU HG03770
SAS_ITU HG03780
SAS_ITU HG03882
SAS_ITU HG04202
SAS_ITU HG04212
SAS_ITU HG04209
SAS_ITU HG04200
SAS_ITU HG04025
SAS_ITU HG04001
SAS_ITU HG03774
SAS_ITU HG03861
SAS_ITU HG04059
SAS_ITU HG03781
SAS_ITU HG03787
SAS_ITU HG03788
SAS_ITU HG03778
SAS_ITU HG04225
SAS_ITU HG03771
SAS_ITU HG03870
SAS_ITU HG03713
SAS_ITU HG03773
SAS_ITU HG04206
SAS_ITU HG04096
SAS_ITU HG03976
SAS_ITU HG03720
SAS_ITU HG04235
SAS_ITU HG03716
SAS_ITU HG03867
SAS_ITU HG03742
SAS_ITU HG04098
SAS_ITU HG03715
SAS_ITU HG03779
SAS_ITU HG03965
SAS_ITU HG04022
SAS_ITU HG03777
SAS_ITU HG03872
SAS_ITU HG04093
SAS_ITU HG04080
SAS_ITU HG04094
SAS_ITU HG04023
SAS_ITU HG03790
SAS_ITU HG03729
SAS_ITU HG03864
SAS_ITU HG04015
SAS_ITU HG04002
SAS_ITU HG03967
SAS_ITU HG03969
SAS_ITU HG03974
SAS_ITU HG03786
SAS_ITU HG03960
SAS_ITU HG04239
SAS_ITU HG03792
SAS_ITU HG04019
SAS_ITU HG03963
SAS_ITU HG03727
SAS_ITU HG04198
SAS_ITU HG04060
SAS_ITU HG03871
SAS_ITU HG03875
SAS_ITU HG04219
SAS_ITU HG04222
SAS_ITU HG03775
SAS_ITU HG04056
SAS_ITU HG03785
SAS_ITU HG03971
SAS_ITU HG04020
SAS_ITU HG04211
SAS_ITU HG03978
SAS_ITU HG03866
SAS_ITU HG03718
SAS_ITU HG03869
SAS_ITU HG04061
SAS_ITU HG04238
SAS_ITU HG04017
