#FID IID
EAS_JPT NA18951
EAS_JPT NA18964
EAS_JPT NA19077
EAS_JPT NA18956
EAS_JPT NA19074
EAS_JPT NA18999
EAS_JPT NA18968
EAS_JPT NA19078
EAS_JPT NA19001
EAS_JPT NA19002
EAS_JPT NA19057
EAS_JPT NA18963
EAS_JPT NA19081
EAS_JPT NA19084
EAS_JPT NA19011
EAS_JPT NA18946
EAS_JPT NA18998
EAS_JPT NA18973
EAS_JPT NA18942
EAS_JPT NA18949
EAS_JPT NA18997
EAS_JPT NA18947
EAS_JPT NA19080
EAS_JPT NA18980
EAS_JPT NA18950
EAS_JPT NA18972
EAS_JPT NA19087
EAS_JPT NA19065
EAS_JPT NA18969
EAS_JPT NA18954
EAS_JPT NA18975
EAS_JPT NA19090
EAS_JPT NA19054
EAS_JPT NA18941
EAS_JPT NA19064
EAS_JPT NA18979
EAS_JPT NA19010
EAS_JPT NA18976
EAS_JPT NA19003
EAS_JPT NA18987
EAS_JPT NA18992
EAS_JPT NA18978
EAS_JPT NA18991
EAS_JPT NA19059
EAS_JPT NA18993
EAS_JPT NA18957
EAS_JPT NA18939
EAS_JPT NA18981
EAS_JPT NA19055
EAS_JPT NA18944
EAS_JPT NA18982
EAS_JPT NA18966
EAS_JPT NA18965
EAS_JPT NA18952
EAS_JPT NA19091
EAS_JPT NA18943
EAS_JPT NA19076
EAS_JPT NA19009
EAS_JPT NA18960
EAS_JPT NA19006
EAS_JPT NA19058
EAS_JPT NA18962
EAS_JPT NA19089
EAS_JPT NA18970
EAS_JPT NA19067
EAS_JPT NA18988
EAS_JPT NA18989
EAS_JPT NA19072
EAS_JPT NA18985
EAS_JPT NA19066
EAS_JPT NA18967
EAS_JPT NA19068
EAS_JPT NA19004
EAS_JPT NA18961
EAS_JPT NA19007
EAS_JPT NA18971
EAS_JPT NA19060
EAS_JPT NA19056
EAS_JPT NA18948
EAS_JPT NA19075
EAS_JPT NA18955
EAS_JPT NA18990
EAS_JPT NA18984
EAS_JPT NA18959
EAS_JPT NA19063
EAS_JPT NA18994
EAS_JPT NA19012
EAS_JPT NA19079
EAS_JPT NA18945
EAS_JPT NA18977
EAS_JPT NA19000
EAS_JPT NA19088
EAS_JPT NA18983
EAS_JPT NA19083
EAS_JPT NA19062
EAS_JPT NA19082
EAS_JPT NA19070
EAS_JPT NA18995
EAS_JPT NA19086
EAS_JPT NA18974
EAS_JPT NA18953
EAS_JPT NA18940
EAS_JPT NA18986
EAS_JPT NA19085
EAS_JPT NA19005
