#FID IID
EAS_KHV HG02140
EAS_KHV HG02069
EAS_KHV HG02522
EAS_KHV HG01597
EAS_KHV HG02048
EAS_KHV HG02049
EAS_KHV HG01871
EAS_KHV HG02072
EAS_KHV HG01859
EAS_KHV HG02121
EAS_KHV HG01595
EAS_KHV HG02031
EAS_KHV HG01599
EAS_KHV HG02127
EAS_KHV HG01869
EAS_KHV HG02139
EAS_KHV HG02523
EAS_KHV HG01868
EAS_KHV HG01851
EAS_KHV HG01878
EAS_KHV HG01841
EAS_KHV HG01600
EAS_KHV HG02016
EAS_KHV HG02046
EAS_KHV HG01855
EAS_KHV HG02130
EAS_KHV HG02513
EAS_KHV HG01843
EAS_KHV HG02075
EAS_KHV HG02019
EAS_KHV HG01848
EAS_KHV HG01853
EAS_KHV HG02081
EAS_KHV HG02142
EAS_KHV HG01870
EAS_KHV HG01874
EAS_KHV HG02133
EAS_KHV HG01845
EAS_KHV HG01850
EAS_KHV HG02059
EAS_KHV HG02136
EAS_KHV HG02084
EAS_KHV HG01857
EAS_KHV HG02025
EAS_KHV HG01862
EAS_KHV HG02078
EAS_KHV HG02126
EAS_KHV HG01863
EAS_KHV HG02113
EAS_KHV HG02057
EAS_KHV HG01598
EAS_KHV HG02086
EAS_KHV HG02087
EAS_KHV HG02024
EAS_KHV HG01847
EAS_KHV HG02060
EAS_KHV HG02068
EAS_KHV HG02018
EAS_KHV HG01858
EAS_KHV HG02080
EAS_KHV HG02028
EAS_KHV HG02071
EAS_KHV HG02122
EAS_KHV HG02077
EAS_KHV HG02040
EAS_KHV HG01867
EAS_KHV HG02032
EAS_KHV HG01861
EAS_KHV HG02135
EAS_KHV HG02035
EAS_KHV HG02026
EAS_KHV HG02070
EAS_KHV HG02079
EAS_KHV HG01852
EAS_KHV HG02047
EAS_KHV HG01842
EAS_KHV HG02073
EAS_KHV HG02015
EAS_KHV HG02050
EAS_KHV HG02082
EAS_KHV HG02088
EAS_KHV HG02027
EAS_KHV HG01840
EAS_KHV HG02061
EAS_KHV HG01872
EAS_KHV HG02137
EAS_KHV HG02058
EAS_KHV HG02076
EAS_KHV HG02138
EAS_KHV HG02017
EAS_KHV HG02083
EAS_KHV HG02120
EAS_KHV HG01846
EAS_KHV HG02021
EAS_KHV HG01860
EAS_KHV HG02067
EAS_KHV HG01849
EAS_KHV HG02064
EAS_KHV HG02023
EAS_KHV HG02132
EAS_KHV HG02131
EAS_KHV HG02521
EAS_KHV HG02128
EAS_KHV HG02141
EAS_KHV HG02020
EAS_KHV HG01844
EAS_KHV HG02085
EAS_KHV HG01864
EAS_KHV HG02029
EAS_KHV HG01873
EAS_KHV HG02134
EAS_KHV HG01866
EAS_KHV HG02512
EAS_KHV HG02074
EAS_KHV HG02030
EAS_KHV HG02116
EAS_KHV HG02056
EAS_KHV HG01596
EAS_KHV HG01865
EAS_KHV HG02514
EAS_KHV HG02129
