#FID IID
AFR_LWK NA19445
AFR_LWK NA19469
AFR_LWK NA19310
AFR_LWK NA19024
AFR_LWK NA19042
AFR_LWK NA19313
AFR_LWK NA19463
AFR_LWK NA19435
AFR_LWK NA19355
AFR_LWK NA19396
AFR_LWK NA19471
AFR_LWK NA19381
AFR_LWK NA19456
AFR_LWK NA19377
AFR_LWK NA19438
AFR_LWK NA19036
AFR_LWK NA19338
AFR_LWK NA19399
AFR_LWK NA19432
AFR_LWK NA19475
AFR_LWK NA19472
AFR_LWK NA19467
AFR_LWK NA19457
AFR_LWK NA19391
AFR_LWK NA19327
AFR_LWK NA19434
AFR_LWK NA19378
AFR_LWK NA19446
AFR_LWK NA19440
AFR_LWK NA19316
AFR_LWK NA19398
AFR_LWK NA19314
AFR_LWK NA19323
AFR_LWK NA19436
AFR_LWK NA19395
AFR_LWK NA19437
AFR_LWK NA19470
AFR_LWK NA19038
AFR_LWK NA19332
AFR_LWK NA19328
AFR_LWK NA19473
AFR_LWK NA19023
AFR_LWK NA19403
AFR_LWK NA19351
AFR_LWK NA19324
AFR_LWK NA19468
AFR_LWK NA19321
AFR_LWK NA19037
AFR_LWK NA19401
AFR_LWK NA19474
AFR_LWK NA19320
AFR_LWK NA19030
AFR_LWK NA19462
AFR_LWK NA19431
AFR_LWK NA19449
AFR_LWK NA19315
AFR_LWK NA19439
AFR_LWK NA19379
AFR_LWK NA19019
AFR_LWK NA19390
AFR_LWK NA19017
AFR_LWK NA19404
AFR_LWK NA19319
AFR_LWK NA19043
AFR_LWK NA19371
AFR_LWK NA19046
AFR_LWK NA19347
AFR_LWK NA19317
AFR_LWK NA19031
AFR_LWK NA19454
AFR_LWK NA19028
AFR_LWK NA19452
AFR_LWK NA19350
AFR_LWK NA19311
AFR_LWK NA19382
AFR_LWK NA19025
AFR_LWK NA19308
AFR_LWK NA19372
AFR_LWK NA19360
AFR_LWK NA19444
AFR_LWK NA19380
AFR_LWK NA19375
AFR_LWK NA19334
AFR_LWK NA19376
AFR_LWK NA19443
AFR_LWK NA19453
AFR_LWK NA19318
AFR_LWK NA19385
AFR_LWK NA19374
AFR_LWK NA19394
AFR_LWK NA19397
AFR_LWK NA19035
AFR_LWK NA19455
AFR_LWK NA19307
AFR_LWK NA19451
AFR_LWK NA19373
AFR_LWK NA19041
AFR_LWK NA19429
AFR_LWK NA19428
AFR_LWK NA19461
AFR_LWK NA19312
AFR_LWK NA19359
AFR_LWK NA19430
AFR_LWK NA19027
AFR_LWK NA19393
AFR_LWK NA19044
AFR_LWK NA19346
AFR_LWK NA19020
AFR_LWK NA19448
AFR_LWK NA19309
AFR_LWK NA19384
AFR_LWK NA19383
AFR_LWK NA19331
AFR_LWK NA19026
AFR_LWK NA19352
AFR_LWK NA19466
