#FID IID
AFR_MSL HG03064
AFR_MSL HG03461
AFR_MSL HG03567
AFR_MSL HG03212
AFR_MSL HG03578
AFR_MSL HG03428
AFR_MSL HG03088
AFR_MSL HG03558
AFR_MSL HG03086
AFR_MSL HG03557
AFR_MSL HG03095
AFR_MSL HG03082
AFR_MSL HG03378
AFR_MSL HG03061
AFR_MSL HG03575
AFR_MSL HG03055
AFR_MSL HG03419
AFR_MSL HG03076
AFR_MSL HG03572
AFR_MSL HG03486
AFR_MSL HG03479
AFR_MSL HG03446
AFR_MSL HG03464
AFR_MSL HG03058
AFR_MSL HG03584
AFR_MSL HG03583
AFR_MSL HG03476
AFR_MSL HG03470
AFR_MSL HG03410
AFR_MSL HG03437
AFR_MSL HG03097
AFR_MSL HG03548
AFR_MSL HG03452
AFR_MSL HG03401
AFR_MSL HG03473
AFR_MSL HG03091
AFR_MSL HG03052
AFR_MSL HG03449
AFR_MSL HG03485
AFR_MSL HG03079
AFR_MSL HG03458
AFR_MSL HG03563
AFR_MSL HG03380
AFR_MSL HG03073
AFR_MSL HG03085
AFR_MSL HG03455
AFR_MSL HG03057
AFR_MSL HG03451
AFR_MSL HG03081
AFR_MSL HG03225
AFR_MSL HG03084
AFR_MSL HG03382
AFR_MSL HG03478
AFR_MSL HG03484
AFR_MSL HG03063
AFR_MSL HG03069
AFR_MSL HG03209
AFR_MSL HG03469
AFR_MSL HG03397
AFR_MSL HG03066
AFR_MSL HG03582
AFR_MSL HG03565
AFR_MSL HG03472
AFR_MSL HG03433
AFR_MSL HG03547
AFR_MSL HG03556
AFR_MSL HG03077
AFR_MSL HG03439
AFR_MSL HG03060
AFR_MSL HG03559
AFR_MSL HG03391
AFR_MSL HG03460
AFR_MSL HG03432
AFR_MSL HG03072
AFR_MSL HG03571
AFR_MSL HG03054
AFR_MSL HG03074
AFR_MSL HG03096
AFR_MSL HG03442
AFR_MSL HG03577
AFR_MSL HG03376
AFR_MSL HG03445
AFR_MSL HG03394
AFR_MSL HG03457
AFR_MSL HG03388
AFR_MSL HG03385
AFR_MSL HG03436
AFR_MSL HG03224
AFR_MSL HG03078
