#FID IID
AMR_MXL NA19719
AMR_MXL NA19675
AMR_MXL NA19776
AMR_MXL NA19678
AMR_MXL NA19657
AMR_MXL NA19665
AMR_MXL NA19663
AMR_MXL NA19794
AMR_MXL NA19731
AMR_MXL NA19782
AMR_MXL NA19761
AMR_MXL NA19716
AMR_MXL NA19779
AMR_MXL NA19737
AMR_MXL NA19656
AMR_MXL NA19764
AMR_MXL NA19733
AMR_MXL NA19785
AMR_MXL NA19669
AMR_MXL NA19651
AMR_MXL NA19680
AMR_MXL NA19681
AMR_MXL NA19749
AMR_MXL NA19760
AMR_MXL NA19775
AMR_MXL NA19659
AMR_MXL NA19671
AMR_MXL NA19766
AMR_MXL NA19781
AMR_MXL NA19746
AMR_MXL NA19718
AMR_MXL NA19722
AMR_MXL NA19725
AMR_MXL NA19677
AMR_MXL NA19730
AMR_MXL NA19654
AMR_MXL NA19758
AMR_MXL NA19788
AMR_MXL NA19662
AMR_MXL NA19786
AMR_MXL NA19738
AMR_MXL NA19670
AMR_MXL NA19778
AMR_MXL NA19727
AMR_MXL NA19676
AMR_MXL NA19720
AMR_MXL NA19682
AMR_MXL NA19729
AMR_MXL NA19735
AMR_MXL NA19774
AMR_MXL NA19726
AMR_MXL NA19649
AMR_MXL NA19732
AMR_MXL NA19747
AMR_MXL NA19756
AMR_MXL NA19685
AMR_MXL NA19784
AMR_MXL NA19661
AMR_MXL NA19789
AMR_MXL NA19674
AMR_MXL NA19717
AMR_MXL NA19679
AMR_MXL NA19723
AMR_MXL NA19772
AMR_MXL NA19780
AMR_MXL NA19796
AMR_MXL NA19757
AMR_MXL NA19777
AMR_MXL NA19795
AMR_MXL NA19652
AMR_MXL NA19650
