#FID IID
AMR_PEL HG02148
AMR_PEL HG01578
AMR_PEL HG01993
AMR_PEL HG02272
AMR_PEL HG01972
AMR_PEL HG02275
AMR_PEL HG01981
AMR_PEL HG01942
AMR_PEL HG01980
AMR_PEL HG02091
AMR_PEL HG01922
AMR_PEL HG02292
AMR_PEL HG02301
AMR_PEL HG01954
AMR_PEL HG01567
AMR_PEL HG02278
AMR_PEL HG01933
AMR_PEL HG02425
AMR_PEL HG01573
AMR_PEL HG01919
AMR_PEL HG02147
AMR_PEL HG01969
AMR_PEL HG01921
AMR_PEL HG02004
AMR_PEL HG01968
AMR_PEL HG01927
AMR_PEL HG02089
AMR_PEL HG02266
AMR_PEL HG01978
AMR_PEL HG02003
AMR_PEL HG01983
AMR_PEL HG01976
AMR_PEL HG01924
AMR_PEL HG02286
AMR_PEL HG01965
AMR_PEL HG02345
AMR_PEL HG01939
AMR_PEL HG02260
AMR_PEL HG01572
AMR_PEL HG01925
AMR_PEL HG01940
AMR_PEL HG01893
AMR_PEL HG02102
AMR_PEL HG02298
AMR_PEL HG01949
AMR_PEL HG01975
AMR_PEL HG01566
AMR_PEL HG01936
AMR_PEL HG01898
AMR_PEL HG01992
AMR_PEL HG02287
AMR_PEL HG01973
AMR_PEL HG02273
AMR_PEL HG01948
AMR_PEL HG02006
AMR_PEL HG01971
AMR_PEL HG01997
AMR_PEL HG02303
AMR_PEL HG01945
AMR_PEL HG02252
AMR_PEL HG01955
AMR_PEL HG02105
AMR_PEL HG02106
AMR_PEL HG01918
AMR_PEL HG01951
AMR_PEL HG02293
AMR_PEL HG02312
AMR_PEL HG02348
AMR_PEL HG02262
AMR_PEL HG02090
AMR_PEL HG01935
AMR_PEL HG01917
AMR_PEL HG02265
AMR_PEL HG01571
AMR_PEL HG01974
AMR_PEL HG02150
AMR_PEL HG01923
AMR_PEL HG01950
AMR_PEL HG01938
AMR_PEL HG02253
AMR_PEL HG01941
AMR_PEL HG01998
AMR_PEL HG01967
AMR_PEL HG02259
AMR_PEL HG02146
AMR_PEL HG01932
AMR_PEL HG02304
AMR_PEL HG01934
AMR_PEL HG02285
AMR_PEL HG01947
AMR_PEL HG01953
AMR_PEL HG02274
AMR_PEL HG01943
AMR_PEL HG02277
AMR_PEL HG01952
AMR_PEL HG01946
AMR_PEL HG02291
AMR_PEL HG01961
AMR_PEL HG01977
AMR_PEL HG02279
AMR_PEL HG01937
AMR_PEL HG01982
AMR_PEL HG02002
AMR_PEL HG02271
AMR_PEL HG02299
AMR_PEL HG01579
AMR_PEL HG01577
AMR_PEL HG01920
AMR_PEL HG02302
AMR_PEL HG01991
AMR_PEL HG01970
AMR_PEL HG01892
AMR_PEL HG02300
AMR_PEL HG01984
AMR_PEL HG01979
AMR_PEL HG01944
AMR_PEL HG02261
AMR_PEL HG02104
AMR_PEL HG01926
AMR_PEL HG01565
AMR_PEL HG01928
AMR_PEL HG02008
