#FID IID
SAS_PJL HG03765
SAS_PJL HG01593
SAS_PJL HG02793
SAS_PJL HG02491
SAS_PJL HG03229
SAS_PJL HG02652
SAS_PJL HG03238
SAS_PJL HG02659
SAS_PJL HG02697
SAS_PJL HG02725
SAS_PJL HG02790
SAS_PJL HG02726
SAS_PJL HG02775
SAS_PJL HG02728
SAS_PJL HG03019
SAS_PJL HG03709
SAS_PJL HG03668
SAS_PJL HG02682
SAS_PJL HG03631
SAS_PJL HG02737
SAS_PJL HG03625
SAS_PJL HG03239
SAS_PJL HG02778
SAS_PJL HG03640
SAS_PJL HG02787
SAS_PJL HG03488
SAS_PJL HG02601
SAS_PJL HG02494
SAS_PJL HG03706
SAS_PJL HG02700
SAS_PJL HG02605
SAS_PJL HG03703
SAS_PJL HG02694
SAS_PJL HG03022
SAS_PJL HG02658
SAS_PJL HG03762
SAS_PJL HG03634
SAS_PJL HG02661
SAS_PJL HG02688
SAS_PJL HG03491
SAS_PJL HG02604
SAS_PJL HG02662
SAS_PJL HG02649
SAS_PJL HG02655
SAS_PJL HG03235
SAS_PJL HG02691
SAS_PJL HG02785
SAS_PJL HG03016
SAS_PJL HG03653
SAS_PJL HG03619
SAS_PJL HG02734
SAS_PJL HG02784
SAS_PJL HG02731
SAS_PJL HG02685
SAS_PJL HG02735
SAS_PJL HG02660
SAS_PJL HG03702
SAS_PJL HG02600
SAS_PJL HG02657
SAS_PJL HG02789
SAS_PJL HG02686
SAS_PJL HG03660
SAS_PJL HG01586
SAS_PJL HG03667
SAS_PJL HG02493
SAS_PJL HG02492
SAS_PJL HG02648
SAS_PJL HG03492
SAS_PJL HG02681
SAS_PJL HG03228
SAS_PJL HG02724
SAS_PJL HG02727
SAS_PJL HG02687
SAS_PJL HG02597
SAS_PJL HG02729
SAS_PJL HG02696
SAS_PJL HG02689
SAS_PJL HG03633
SAS_PJL HG03624
SAS_PJL HG03234
SAS_PJL HG02780
SAS_PJL HG02699
SAS_PJL HG02733
SAS_PJL HG02792
SAS_PJL HG03237
SAS_PJL HG02490
SAS_PJL HG03636
SAS_PJL HG02786
SAS_PJL HG02602
SAS_PJL HG02656
SAS_PJL HG02603
SAS_PJL HG03015
SAS_PJL HG03708
SAS_PJL HG03652
SAS_PJL HG03018
SAS_PJL HG02698
SAS_PJL HG01583
SAS_PJL HG02651
SAS_PJL HG03663
SAS_PJL HG03767
SAS_PJL HG02690
SAS_PJL HG03705
SAS_PJL HG02684
SAS_PJL HG03490
SAS_PJL HG03629
SAS_PJL HG02783
SAS_PJL HG03021
SAS_PJL HG02774
SAS_PJL HG02791
SAS_PJL HG01589
SAS_PJL HG02736
SAS_PJL HG02654
SAS_PJL HG03649
