#FID IID
SAS_PJL HG03765
SAS_PJL HG01593
SAS_PJL HG02793
SAS_PJL HG02491
SAS_PJL HG03229
SAS_PJL HG02652
SAS_PJL HG03238
SAS_PJL HG02659
SAS_PJL HG02697
SAS_PJL HG02725
SAS_PJL HG02790
SAS_PJL HG02726
SAS_PJL HG02775
SAS_PJL HG02728
SAS_PJL HG03019
SAS_PJL HG03709
SAS_PJL HG03668
SAS_PJL HG02682
SAS_PJL HG03631
SAS_PJL HG02737
SAS_PJL HG03625
SAS_PJL HG03239
SAS_PJL HG02778
SAS_PJL HG03640
SAS_PJL HG02787
SAS_PJL HG03488
SAS_PJL HG02601
SAS_PJL HG02494
SAS_PJL HG03706
SAS_PJL HG02700
SAS_PJL HG02605
SAS_PJL HG03703
SAS_PJL HG02694
SAS_PJL HG03022
SAS_PJL HG02658
SAS_PJL HG03762
SAS_PJL HG03634
SAS_PJL HG02735
SAS_PJL HG02660
SAS_PJL HG03702
SAS_PJL HG02600
SAS_PJL HG02657
SAS_PJL HG02789
SAS_PJL HG02686
SAS_PJL HG03660
SAS_PJL HG01586
SAS_PJL HG03667
SAS_PJL HG02493
SAS_PJL HG02492
SAS_PJL HG02648
SAS_PJL HG03492
SAS_PJL HG02681
SAS_PJL HG03228
SAS_PJL HG02724
SAS_PJL HG02727
SAS_PJL HG02687
SAS_PJL HG02597
SAS_PJL HG02729
SAS_PJL HG02696
SAS_PJL HG02689
SAS_PJL HG03633
SAS_PJL HG03624
SAS_PJL HG03234
SAS_PJL HG02780
SAS_PJL HG02699
SAS_PJL HG02733
SAS_PJL HG02792
SAS_PJL HG03237
SAS_PJL HG02490
SAS_PJL HG03636
SAS_PJL HG02786
SAS_PJL HG02602
SAS_PJL HG02656
SAS_PJL HG02603
SAS_PJL HG03015
SAS_PJL HG03708
SAS_PJL HG03652
SAS_PJL HG03018
