#FID IID
SAS_STU HG03947
SAS_STU HG03838
SAS_STU HG03836
SAS_STU HG03689
SAS_STU HG03944
SAS_STU HG03951
SAS_STU HG04029
SAS_STU HG03741
SAS_STU HG03849
SAS_STU HG03692
SAS_STU HG03989
SAS_STU HG04106
SAS_STU HG03949
SAS_STU HG03754
SAS_STU HG03986
SAS_STU HG03895
SAS_STU HG04042
SAS_STU HG03945
SAS_STU HG04038
SAS_STU HG03684
SAS_STU HG03858
SAS_STU HG03995
SAS_STU HG03760
SAS_STU HG04227
SAS_STU HG03948
SAS_STU HG03642
SAS_STU HG04075
SAS_STU HG03884
SAS_STU HG03857
SAS_STU HG03894
SAS_STU HG03886
SAS_STU HG04099
SAS_STU HG03690
SAS_STU HG03888
SAS_STU HG03736
SAS_STU HG03955
SAS_STU HG03752
SAS_STU HG03698
SAS_STU HG03733
SAS_STU HG03898
SAS_STU HG03757
SAS_STU HG04037
SAS_STU HG03673
SAS_STU HG03645
SAS_STU HG04035
SAS_STU HG03643
SAS_STU HG03756
SAS_STU HG04047
SAS_STU HG03897
SAS_STU HG04229
SAS_STU HG03896
SAS_STU HG03696
SAS_STU HG03644
SAS_STU HG03697
SAS_STU HG03679
SAS_STU HG03745
SAS_STU HG03850
SAS_STU HG03695
SAS_STU HG03738
SAS_STU HG03845
SAS_STU HG03856
SAS_STU HG03687
SAS_STU HG03990
SAS_STU HG03740
SAS_STU HG03950
SAS_STU HG04039
SAS_STU HG03837
SAS_STU HG03953
SAS_STU HG03846
SAS_STU HG04003
SAS_STU HG03854
SAS_STU HG03743
SAS_STU HG03900
SAS_STU HG03711
SAS_STU HG03680
SAS_STU HG03686
SAS_STU HG03694
SAS_STU HG03685
SAS_STU HG03885
SAS_STU HG04033
SAS_STU HG03753
SAS_STU HG03844
SAS_STU HG03887
SAS_STU HG04210
SAS_STU HG03991
SAS_STU HG03985
SAS_STU HG03998
SAS_STU HG03672
SAS_STU HG03890
SAS_STU HG03755
SAS_STU HG03848
SAS_STU HG03899
SAS_STU HG03693
SAS_STU HG04006
SAS_STU HG03646
SAS_STU HG04107
SAS_STU HG03750
SAS_STU HG03851
SAS_STU HG03691
SAS_STU HG03943
SAS_STU HG03681
SAS_STU HG03744
SAS_STU HG04100
SAS_STU HG03746
SAS_STU HG03999
