#FID IID
EUR_TSI NA20797
EUR_TSI NA20795
EUR_TSI NA20766
EUR_TSI NA20529
EUR_TSI NA20756
EUR_TSI NA20807
EUR_TSI NA20790
EUR_TSI NA20507
EUR_TSI NA20800
EUR_TSI NA20769
EUR_TSI NA20821
EUR_TSI NA20585
EUR_TSI NA20757
EUR_TSI NA20589
EUR_TSI NA20771
EUR_TSI NA20587
EUR_TSI NA20533
EUR_TSI NA20530
EUR_TSI NA20503
EUR_TSI NA20531
EUR_TSI NA20822
EUR_TSI NA20753
EUR_TSI NA20813
EUR_TSI NA20772
EUR_TSI NA20808
EUR_TSI NA20508
EUR_TSI NA20826
EUR_TSI NA20764
EUR_TSI NA20522
EUR_TSI NA20804
EUR_TSI NA20832
EUR_TSI NA20582
EUR_TSI NA20535
EUR_TSI NA20775
EUR_TSI NA20517
EUR_TSI NA20786
EUR_TSI NA20773
EUR_TSI NA20828
EUR_TSI NA20778
EUR_TSI NA20759
EUR_TSI NA20812
EUR_TSI NA20803
EUR_TSI NA20801
EUR_TSI NA20509
EUR_TSI NA20754
EUR_TSI NA20816
EUR_TSI NA20543
EUR_TSI NA20811
EUR_TSI NA20516
EUR_TSI NA20798
EUR_TSI NA20815
EUR_TSI NA20544
EUR_TSI NA20588
EUR_TSI NA20805
EUR_TSI NA20519
EUR_TSI NA20770
EUR_TSI NA20534
EUR_TSI NA20538
EUR_TSI NA20810
EUR_TSI NA20520
EUR_TSI NA20758
EUR_TSI NA20767
EUR_TSI NA20809
EUR_TSI NA20783
EUR_TSI NA20539
EUR_TSI NA20528
EUR_TSI NA20827
EUR_TSI NA20755
EUR_TSI NA20532
EUR_TSI NA20524
EUR_TSI NA20537
EUR_TSI NA20510
EUR_TSI NA20527
EUR_TSI NA20752
EUR_TSI NA20762
EUR_TSI NA20829
EUR_TSI NA20518
