#FID IID
AFR_ACB HG01883
AFR_ACB HG02580
AFR_ACB HG02419
AFR_ACB HG02095
AFR_ACB HG02315
AFR_ACB HG01956
AFR_ACB HG02256
AFR_ACB HG02546
AFR_ACB HG02511
AFR_ACB HG01958
AFR_ACB HG01886
AFR_ACB HG02308
AFR_ACB HG02280
AFR_ACB HG02010
AFR_ACB HG02321
AFR_ACB HG01889
AFR_ACB HG02111
AFR_ACB HG02257
AFR_ACB HG02480
AFR_ACB HG02282
AFR_ACB HG02318
AFR_ACB HG02108
AFR_ACB HG01985
AFR_ACB HG02476
AFR_ACB HG02450
AFR_ACB HG02577
AFR_ACB HG02052
AFR_ACB HG02485
AFR_ACB HG02309
AFR_ACB HG02054
AFR_ACB HG02555
AFR_ACB HG02325
AFR_ACB HG02505
AFR_ACB HG02337
AFR_ACB HG02144
AFR_ACB HG02479
AFR_ACB HG01880
AFR_ACB HG02451
AFR_ACB HG02537
AFR_ACB HG01896
AFR_ACB HG01884
AFR_ACB HG02508
AFR_ACB HG02536
AFR_ACB HG02014
AFR_ACB HG02445
AFR_ACB HG02442
AFR_ACB HG01987
AFR_ACB HG01882
AFR_ACB HG01912
AFR_ACB HG02433
AFR_ACB HG02307
AFR_ACB HG02478
AFR_ACB HG01914
AFR_ACB HG02145
AFR_ACB HG01890
AFR_ACB HG02314
AFR_ACB HG01897
AFR_ACB HG02143
AFR_ACB HG02489
AFR_ACB HG01990
AFR_ACB HG02323
AFR_ACB HG01986
AFR_ACB HG02470
AFR_ACB HG01888
AFR_ACB HG02317
AFR_ACB HG02255
AFR_ACB HG02283
AFR_ACB HG02053
AFR_ACB HG02428
AFR_ACB HG02330
AFR_ACB HG02055
AFR_ACB HG01895
AFR_ACB HG02334
AFR_ACB HG02439
AFR_ACB HG02481
AFR_ACB HG02541
AFR_ACB HG01879
AFR_ACB HG02316
AFR_ACB HG02436
AFR_ACB HG02009
AFR_ACB HG02284
AFR_ACB HG02554
AFR_ACB HG02484
AFR_ACB HG02281
AFR_ASW NA19914
AFR_ASW NA19983
AFR_ASW NA20276
AFR_ASW NA20292
AFR_ASW NA20317
AFR_ASW NA19902
AFR_ASW NA20299
AFR_ASW NA19985
AFR_ASW NA19913
AFR_ASW NA19909
AFR_ASW NA20344
AFR_ASW NA20282
AFR_ASW NA19924
AFR_ASW NA20339
AFR_ASW NA20414
AFR_ASW NA20290
AFR_ASW NA20296
AFR_ASW NA20363
AFR_ASW NA20287
AFR_ASW NA20314
AFR_ASW NA20336
AFR_ASW NA20313
AFR_ASW NA19921
AFR_ASW NA20341
AFR_ASW NA20334
AFR_ASW NA20361
AFR_ASW NA20357
AFR_ASW NA19819
AFR_ASW NA19712
AFR_ASW NA20319
AFR_ASW NA19704
AFR_ASW NA20277
AFR_ASW NA20321
AFR_ASW NA19708
AFR_ASW NA19713
AFR_ASW NA19917
AFR_ASW NA20274
AFR_ASW NA20337
AFR_ASW NA19707
AFR_ASW NA20333
AFR_ASW NA20127
AFR_ASW NA20300
AFR_ASW NA20359
AFR_ASW NA19916
AFR_ASW NA19828
AFR_ASW NA20346
AFR_ASW NA20278
AFR_ASW NA20348
AFR_ASW NA20297
AFR_ASW NA20362
AFR_ASW NA19922
AFR_ASW NA20279
AFR_ASW NA20345
AFR_ASW NA19703
AFR_ASW NA20343
AFR_ASW NA20350
AFR_ASW NA19834
AFR_ASW NA20347
AFR_ASW NA19982
AFR_ASW NA20335
AFR_ASW NA19700
AFR_ASW NA20351
AFR_ASW NA19904
AFR_ASW NA19818
AFR_ASW NA20356
AFR_ASW NA19984
AFR_ASW NA20288
AFR_ASW NA20126
AFR_ASW NA20281
AFR_ASW NA20318
AFR_ASW NA19702
AFR_ASW NA19900
AFR_ASW NA19705
AFR_ASW NA20413
AFR_ASW NA20349
AFR_ASW NA19908
AFR_ASW NA19920
AFR_ESN HG03108
AFR_ESN HG03300
AFR_ESN HG03499
AFR_ESN HG03117
AFR_ESN HG03363
AFR_ESN HG03135
AFR_ESN HG03171
AFR_ESN HG03514
AFR_ESN HG03132
AFR_ESN HG03511
AFR_ESN HG03372
AFR_ESN HG03297
AFR_ESN HG03303
AFR_ESN HG03195
AFR_ESN HG03105
AFR_ESN HG03354
AFR_ESN HG03517
AFR_ESN HG03294
AFR_ESN HG02946
AFR_ESN HG03267
AFR_ESN HG03520
AFR_ESN HG03168
AFR_ESN HG03366
AFR_ESN HG02974
AFR_ESN HG03111
AFR_ESN HG03129
AFR_ESN HG03279
AFR_ESN HG03114
AFR_ESN HG03123
AFR_ESN HG02952
AFR_ESN HG03162
AFR_ESN HG02976
AFR_ESN HG02938
AFR_ESN HG03103
AFR_ESN HG03160
AFR_ESN HG03115
AFR_ESN HG02973
AFR_ESN HG03268
AFR_ESN HG02977
AFR_ESN HG03367
AFR_ESN HG03196
AFR_ESN HG03163
AFR_ESN HG03112
AFR_ESN HG02947
AFR_ESN HG02968
AFR_ESN HG03304
AFR_ESN HG02953
AFR_ESN HG03139
AFR_ESN HG03202
AFR_ESN HG03136
AFR_ESN HG03352
AFR_ESN HG03271
AFR_ESN HG03518
AFR_ESN HG03313
AFR_ESN HG03190
AFR_ESN HG03127
AFR_ESN HG03298
AFR_ESN HG03124
AFR_ESN HG03172
AFR_ESN HG03301
AFR_ESN HG03133
AFR_ESN HG03175
AFR_ESN HG03157
AFR_ESN HG03130
AFR_ESN HG03515
AFR_ESN HG03120
AFR_ESN HG03370
AFR_ESN HG03311
AFR_ESN HG03280
AFR_GWD HG02465
AFR_GWD HG02679
AFR_GWD HG02888
AFR_GWD HG02643
AFR_GWD HG02676
AFR_GWD HG02462
AFR_GWD HG02817
AFR_GWD HG03247
AFR_GWD HG03539
AFR_GWD HG02635
AFR_GWD HG02757
AFR_GWD HG02772
AFR_GWD HG02583
AFR_GWD HG02840
AFR_GWD HG02667
AFR_GWD HG02852
AFR_GWD HG02855
AFR_GWD HG02614
AFR_GWD HG02574
AFR_GWD HG02805
AFR_GWD HG02571
AFR_GWD HG03049
AFR_GWD HG02983
AFR_GWD HG03028
AFR_GWD HG02870
AFR_GWD HG02716
AFR_GWD HG02586
AFR_GWD HG02722
AFR_GWD HG02595
AFR_GWD HG02861
AFR_GWD HG02589
AFR_GWD HG02896
AFR_GWD HG02820
AFR_GWD HG02621
AFR_GWD HG02562
AFR_GWD HG02629
AFR_GWD HG02885
AFR_GWD HG02799
AFR_GWD HG03259
AFR_GWD HG02837
AFR_GWD HG02642
AFR_GWD HG02982
AFR_GWD HG02807
AFR_GWD HG02588
AFR_GWD HG02854
AFR_GWD HG02594
AFR_GWD HG02881
AFR_GWD HG02623
AFR_GWD HG02666
AFR_GWD HG02756
AFR_GWD HG02816
AFR_GWD HG02613
AFR_GWD HG02585
AFR_GWD HG02610
AFR_GWD HG02768
AFR_GWD HG02798
AFR_GWD HG03045
AFR_GWD HG02461
AFR_GWD HG02675
AFR_GWD HG02573
AFR_GWD HG03048
AFR_GWD HG02813
AFR_GWD HG02860
AFR_GWD HG02887
AFR_GWD HG03024
AFR_GWD HG02702
AFR_GWD HG02715
AFR_GWD HG02836
AFR_GWD HG02721
AFR_GWD HG03246
AFR_GWD HG03027
AFR_GWD HG02464
AFR_GWD HG02645
AFR_GWD HG02878
AFR_GWD HG02561
AFR_GWD HG02839
AFR_GWD HG02819
AFR_GWD HG03258
AFR_LWK NA19445
AFR_LWK NA19469
AFR_LWK NA19310
AFR_LWK NA19024
AFR_LWK NA19042
AFR_LWK NA19313
AFR_LWK NA19463
AFR_LWK NA19435
AFR_LWK NA19355
AFR_LWK NA19396
AFR_LWK NA19471
AFR_LWK NA19381
AFR_LWK NA19456
AFR_LWK NA19377
AFR_LWK NA19438
AFR_LWK NA19036
AFR_LWK NA19338
AFR_LWK NA19399
AFR_LWK NA19432
AFR_LWK NA19475
AFR_LWK NA19472
AFR_LWK NA19467
AFR_LWK NA19457
AFR_LWK NA19391
AFR_LWK NA19327
AFR_LWK NA19434
AFR_LWK NA19378
AFR_LWK NA19446
AFR_LWK NA19440
AFR_LWK NA19316
AFR_LWK NA19398
AFR_LWK NA19314
AFR_LWK NA19323
AFR_LWK NA19436
AFR_LWK NA19395
AFR_LWK NA19437
AFR_LWK NA19470
AFR_LWK NA19038
AFR_LWK NA19332
AFR_LWK NA19328
AFR_LWK NA19473
AFR_LWK NA19023
AFR_LWK NA19403
AFR_LWK NA19319
AFR_LWK NA19043
AFR_LWK NA19371
AFR_LWK NA19046
AFR_LWK NA19347
AFR_LWK NA19317
AFR_LWK NA19031
AFR_LWK NA19454
AFR_LWK NA19028
AFR_LWK NA19452
AFR_LWK NA19350
AFR_LWK NA19311
AFR_LWK NA19382
AFR_LWK NA19025
AFR_LWK NA19308
AFR_LWK NA19372
AFR_LWK NA19360
AFR_LWK NA19444
AFR_LWK NA19380
AFR_LWK NA19375
AFR_LWK NA19334
AFR_LWK NA19376
AFR_LWK NA19443
AFR_LWK NA19453
AFR_LWK NA19318
AFR_LWK NA19385
AFR_LWK NA19374
AFR_LWK NA19394
AFR_LWK NA19397
AFR_LWK NA19035
AFR_LWK NA19455
AFR_LWK NA19307
AFR_LWK NA19451
AFR_LWK NA19373
AFR_LWK NA19041
AFR_LWK NA19429
AFR_LWK NA19428
AFR_MSL HG03064
AFR_MSL HG03461
AFR_MSL HG03567
AFR_MSL HG03212
AFR_MSL HG03578
AFR_MSL HG03428
AFR_MSL HG03088
AFR_MSL HG03558
AFR_MSL HG03086
AFR_MSL HG03557
AFR_MSL HG03095
AFR_MSL HG03082
AFR_MSL HG03378
AFR_MSL HG03061
AFR_MSL HG03575
AFR_MSL HG03055
AFR_MSL HG03419
AFR_MSL HG03076
AFR_MSL HG03572
AFR_MSL HG03486
AFR_MSL HG03479
AFR_MSL HG03446
AFR_MSL HG03464
AFR_MSL HG03058
AFR_MSL HG03584
AFR_MSL HG03583
AFR_MSL HG03476
AFR_MSL HG03470
AFR_MSL HG03410
AFR_MSL HG03437
AFR_MSL HG03097
AFR_MSL HG03548
AFR_MSL HG03057
AFR_MSL HG03451
AFR_MSL HG03081
AFR_MSL HG03225
AFR_MSL HG03084
AFR_MSL HG03382
AFR_MSL HG03478
AFR_MSL HG03484
AFR_MSL HG03063
AFR_MSL HG03069
AFR_MSL HG03209
AFR_MSL HG03469
AFR_MSL HG03397
AFR_MSL HG03066
AFR_MSL HG03582
AFR_MSL HG03565
AFR_MSL HG03472
AFR_MSL HG03433
AFR_MSL HG03547
AFR_MSL HG03556
AFR_MSL HG03077
AFR_MSL HG03439
AFR_MSL HG03060
AFR_MSL HG03559
AFR_MSL HG03391
AFR_MSL HG03460
AFR_MSL HG03432
AFR_MSL HG03072
