#FID IID
AMR_CLM HG01486
AMR_CLM HG01385
AMR_CLM HG01379
AMR_CLM HG01489
AMR_CLM HG01251
AMR_CLM HG01140
AMR_CLM HG01276
AMR_CLM HG01493
AMR_CLM HG01376
AMR_CLM HG01281
AMR_CLM HG01284
AMR_CLM HG01462
AMR_CLM HG01275
AMR_CLM HG01125
AMR_CLM HG01131
AMR_CLM HG01372
AMR_CLM HG01150
AMR_CLM HG01366
AMR_CLM HG01346
AMR_CLM HG01378
AMR_CLM HG01279
AMR_CLM HG01474
AMR_CLM HG01435
AMR_CLM HG01134
AMR_CLM HG01551
AMR_CLM HG01149
AMR_CLM HG01351
AMR_CLM HG01492
AMR_CLM HG01496
AMR_CLM HG01355
AMR_CLM HG01352
AMR_CLM HG01122
AMR_CLM HG01113
AMR_CLM HG01348
AMR_CLM HG01357
AMR_CLM HG01137
AMR_CLM HG01498
AMR_CLM HG01257
AMR_CLM HG01369
AMR_CLM HG01278
AMR_CLM HG01272
AMR_CLM HG01456
AMR_CLM HG01345
AMR_CLM HG01459
AMR_CLM HG01390
AMR_CLM HG01444
AMR_CLM HG01141
AMR_CLM HG01466
AMR_CLM HG01490
AMR_CLM HG01363
AMR_CLM HG01495
AMR_CLM HG01256
AMR_CLM HG01258
AMR_CLM HG01431
AMR_CLM HG01138
AMR_CLM HG01350
AMR_CLM HG01130
AMR_CLM HG01253
AMR_CLM HG01341
AMR_CLM HG01494
AMR_CLM HG01365
AMR_CLM HG01344
AMR_CLM HG01457
AMR_CLM HG01112
AMR_CLM HG01479
AMR_CLM HG01383
AMR_CLM HG01556
AMR_CLM HG01491
AMR_CLM HG01255
AMR_CLM HG01259
AMR_CLM HG01136
AMR_CLM HG01148
AMR_CLM HG01485
AMR_CLM HG01377
AMR_CLM HG01552
AMR_CLM HG01442
AMR_CLM HG01133
AMR_CLM HG01261
AMR_CLM HG01356
AMR_CLM HG01124
AMR_CLM HG01273
AMR_CLM HG01252
AMR_CLM HG01437
AMR_CLM HG01271
AMR_CLM HG01274
AMR_CLM HG01362
AMR_CLM HG01126
AMR_CLM HG01280
AMR_CLM HG01443
AMR_CLM HG01353
AMR_CLM HG01550
AMR_MXL NA19719
AMR_MXL NA19675
AMR_MXL NA19776
AMR_MXL NA19678
AMR_MXL NA19657
AMR_MXL NA19665
AMR_MXL NA19663
AMR_MXL NA19794
AMR_MXL NA19731
AMR_MXL NA19782
AMR_MXL NA19761
AMR_MXL NA19716
AMR_MXL NA19779
AMR_MXL NA19737
AMR_MXL NA19656
AMR_MXL NA19764
AMR_MXL NA19733
AMR_MXL NA19785
AMR_MXL NA19669
AMR_MXL NA19651
AMR_MXL NA19680
AMR_MXL NA19681
AMR_MXL NA19749
AMR_MXL NA19760
AMR_MXL NA19775
AMR_MXL NA19659
AMR_MXL NA19671
AMR_MXL NA19766
AMR_MXL NA19781
AMR_MXL NA19746
AMR_MXL NA19718
AMR_MXL NA19722
AMR_MXL NA19725
AMR_MXL NA19677
AMR_MXL NA19730
AMR_MXL NA19654
AMR_MXL NA19758
AMR_MXL NA19788
AMR_MXL NA19662
AMR_MXL NA19786
AMR_MXL NA19738
AMR_MXL NA19670
AMR_MXL NA19778
AMR_MXL NA19727
AMR_MXL NA19676
AMR_MXL NA19720
AMR_MXL NA19682
AMR_MXL NA19729
AMR_MXL NA19735
AMR_MXL NA19774
AMR_MXL NA19726
AMR_MXL NA19649
AMR_MXL NA19732
AMR_MXL NA19747
AMR_MXL NA19756
AMR_MXL NA19685
AMR_MXL NA19784
AMR_MXL NA19661
AMR_MXL NA19789
AMR_MXL NA19674
AMR_MXL NA19717
AMR_MXL NA19679
AMR_MXL NA19723
AMR_MXL NA19772
AMR_MXL NA19780
AMR_MXL NA19796
AMR_MXL NA19757
AMR_MXL NA19777
AMR_MXL NA19795
AMR_MXL NA19652
AMR_MXL NA19650
AMR_PEL HG02148
AMR_PEL HG01578
AMR_PEL HG01993
AMR_PEL HG02272
AMR_PEL HG01972
AMR_PEL HG02275
AMR_PEL HG01981
AMR_PEL HG01942
AMR_PEL HG01980
AMR_PEL HG02091
AMR_PEL HG01922
AMR_PEL HG02292
AMR_PEL HG02301
AMR_PEL HG01954
AMR_PEL HG01567
AMR_PEL HG02278
AMR_PEL HG01933
AMR_PEL HG02425
AMR_PEL HG01573
AMR_PEL HG01919
AMR_PEL HG02147
AMR_PEL HG01969
AMR_PEL HG01921
AMR_PEL HG02004
AMR_PEL HG01968
