#FID IID
EAS_CDX HG02184
EAS_CDX HG02164
EAS_CDX HG02152
EAS_CDX HG00956
EAS_CDX HG01046
EAS_CDX HG01809
EAS_CDX HG00766
EAS_CDX HG02186
EAS_CDX HG01799
EAS_CDX HG01801
EAS_CDX HG02155
EAS_CDX HG02179
EAS_CDX HG01804
EAS_CDX HG02165
EAS_CDX HG02182
EAS_CDX HG02188
EAS_CDX HG01805
EAS_CDX HG02154
EAS_CDX HG02180
EAS_CDX HG02189
EAS_CDX HG01812
EAS_CDX HG02181
EAS_CDX HG02153
EAS_CDX HG02151
EAS_CDX HG01795
EAS_CDX HG00851
EAS_CDX HG01808
EAS_CDX HG02190
EAS_CDX HG01800
EAS_CDX HG01796
EAS_CDX HG01806
EAS_CDX HG02156
EAS_CDX HG00879
EAS_CDX HG02185
EAS_CDX HG00864
EAS_CDX HG02406
EAS_CDX HG02388
EAS_CDX HG02391
EAS_CDX HG02408
EAS_CDX HG02372
EAS_CDX HG02371
EAS_CDX HG01810
EAS_CDX HG00881
EAS_CDX HG02398
EAS_CDX HG02380
EAS_CDX HG02389
EAS_CDX HG02374
EAS_CDX HG01031
EAS_CDX HG02364
EAS_CDX HG02351
EAS_CDX HG02356
EAS_CDX HG02397
EAS_CDX HG00844
EAS_CDX HG00982
EAS_CDX HG02402
EAS_CDX HG01811
EAS_CDX HG02399
EAS_CDX HG02410
EAS_CDX HG00983
EAS_CDX HG02385
EAS_CDX HG02401
EAS_CDX HG01028
EAS_CDX HG02407
EAS_CDX HG02355
EAS_CDX HG02375
EAS_CDX HG02377
EAS_CDX HG02409
EAS_CDX HG02386
EAS_CDX HG00866
EAS_CDX HG02390
EAS_CDX HG02250
EAS_CHB NA18795
EAS_CHB NA18533
EAS_CHB NA18582
EAS_CHB NA18550
EAS_CHB NA18617
EAS_CHB NA18542
EAS_CHB NA18526
EAS_CHB NA18570
EAS_CHB NA18571
EAS_CHB NA18642
EAS_CHB NA18566
EAS_CHB NA18541
EAS_CHB NA18567
EAS_CHB NA18576
EAS_CHB NA18593
EAS_CHB NA18610
EAS_CHB NA18599
EAS_CHB NA18527
EAS_CHB NA18565
EAS_CHB NA18579
EAS_CHB NA18602
EAS_CHB NA18555
EAS_CHB NA18595
EAS_CHB NA18640
EAS_CHB NA18596
EAS_CHB NA18532
EAS_CHB NA18531
EAS_CHB NA18631
EAS_CHB NA18573
EAS_CHB NA18574
EAS_CHB NA18577
EAS_CHB NA18614
EAS_CHB NA18628
EAS_CHB NA18619
EAS_CHB NA18597
EAS_CHB NA18560
EAS_CHB NA18644
EAS_CHB NA18545
EAS_CHB NA18591
EAS_CHB NA18627
EAS_CHB NA18646
EAS_CHB NA18537
EAS_CHB NA18757
EAS_CHB NA18605
EAS_CHB NA18637
EAS_CHB NA18536
EAS_CHB NA18548
EAS_CHB NA18622
EAS_CHB NA18557
EAS_CHB NA18621
EAS_CHB NA18624
EAS_CHB NA18629
EAS_CHB NA18636
EAS_CHB NA18543
EAS_CHB NA18562
EAS_CHB NA18740
EAS_CHB NA18563
EAS_CHB NA18561
EAS_CHB NA18549
EAS_CHB NA18623
EAS_CHB NA18794
EAS_CHB NA18745
EAS_CHB NA18606
EAS_CHB NA18609
EAS_CHB NA18633
EAS_CHB NA18647
EAS_CHB NA18638
EAS_CHB NA18558
EAS_CHB NA18648
EAS_CHB NA18632
EAS_CHB NA18612
EAS_CHB NA18611
EAS_CHB NA18603
EAS_CHB NA18749
EAS_CHB NA18639
EAS_CHS HG00452
EAS_CHS HG00684
EAS_CHS HG00584
EAS_CHS HG00690
EAS_CHS HG00525
EAS_CHS HG00655
EAS_CHS HG00437
EAS_CHS HG00513
EAS_CHS HG00419
EAS_CHS HG00449
EAS_CHS HG00632
EAS_CHS HG00654
EAS_CHS HG00447
EAS_CHS HG00599
EAS_CHS HG00614
EAS_CHS HG00422
EAS_CHS HG00585
EAS_CHS HG00479
EAS_CHS HG00476
EAS_CHS HG00405
EAS_CHS HG00700
EAS_CHS HG00657
EAS_CHS HG00705
EAS_CHS HG00534
EAS_CHS HG00590
EAS_CHS HG00410
EAS_CHS HG00652
EAS_CHS HG00514
EAS_CHS HG00473
EAS_CHS HG00612
EAS_CHS HG00464
EAS_CHS HG00428
EAS_CHS HG00693
EAS_CHS HG00531
EAS_CHS HG00702
EAS_CHS HG00458
EAS_CHS HG00629
EAS_CHS HG00450
EAS_CHS HG00558
EAS_CHS HG00423
EAS_CHS HG00501
EAS_CHS HG00623
EAS_CHS HG00581
EAS_CHS HG00615
EAS_CHS HG00675
EAS_CHS HG00597
EAS_CHS HG00717
EAS_CHS HG00537
EAS_CHS HG00566
EAS_CHS HG00404
EAS_CHS HG00608
EAS_CHS HG00651
EAS_CHS HG00408
EAS_CHS HG00459
EAS_CHS HG00567
EAS_CHS HG00565
EAS_CHS HG00474
EAS_CHS HG00444
EAS_CHS HG00698
EAS_CHS HG00621
EAS_CHS HG00607
EAS_CHS HG00689
EAS_CHS HG00634
EAS_CHS HG00478
EAS_CHS HG00650
EAS_CHS HG00592
EAS_CHS HG00406
EAS_CHS HG00480
EAS_CHS HG00535
EAS_CHS HG00598
EAS_CHS HG00673
EAS_CHS HG00658
EAS_CHS HG00594
EAS_CHS HG00718
EAS_CHS HG00472
EAS_CHS HG00628
EAS_CHS HG00457
EAS_CHS HG00704
EAS_CHS HG00577
EAS_CHS HG00533
EAS_CHS HG00691
EAS_CHS HG00716
EAS_CHS HG00403
EAS_CHS HG00630
EAS_CHS HG00583
EAS_CHS HG00625
EAS_CHS HG00559
EAS_CHS HG00671
EAS_CHS HG00683
EAS_CHS HG00538
EAS_CHS HG00591
EAS_CHS HG00589
EAS_CHS HG00427
EAS_CHS HG00530
EAS_CHS HG00542
EAS_CHS HG00448
EAS_CHS HG00429
EAS_CHS HG00465
EAS_CHS HG00709
EAS_CHS HG00463
EAS_CHS HG00409
EAS_CHS HG00631
EAS_CHS HG00662
EAS_CHS HG00524
EAS_CHS HG00636
EAS_CHS HG00707
EAS_CHS HG00703
EAS_CHS HG00512
EAS_CHS HG00701
EAS_CHS HG00609
EAS_CHS HG00685
EAS_CHS HG00526
EAS_CHS HG00442
EAS_CHS HG00706
EAS_JPT NA18951
EAS_JPT NA18964
EAS_JPT NA19077
EAS_JPT NA18956
EAS_JPT NA19074
EAS_JPT NA18999
EAS_JPT NA18968
EAS_JPT NA19078
EAS_JPT NA19001
EAS_JPT NA19002
EAS_JPT NA19057
EAS_JPT NA18963
EAS_JPT NA19081
EAS_JPT NA19084
EAS_JPT NA19011
EAS_JPT NA18946
EAS_JPT NA18998
EAS_JPT NA18973
EAS_JPT NA18942
EAS_JPT NA18949
EAS_JPT NA18997
EAS_JPT NA18947
EAS_JPT NA19080
EAS_JPT NA18980
EAS_JPT NA18950
EAS_JPT NA18972
EAS_JPT NA19087
EAS_JPT NA19065
EAS_JPT NA18969
EAS_JPT NA18954
EAS_JPT NA18975
EAS_JPT NA19090
EAS_JPT NA19054
EAS_JPT NA19055
EAS_JPT NA18944
EAS_JPT NA18982
EAS_JPT NA18966
EAS_JPT NA18965
EAS_JPT NA18952
EAS_JPT NA19091
EAS_JPT NA18943
EAS_JPT NA19076
EAS_JPT NA19009
EAS_JPT NA18960
EAS_JPT NA19006
EAS_JPT NA19058
EAS_JPT NA18962
EAS_JPT NA19089
EAS_JPT NA18970
EAS_JPT NA19067
EAS_JPT NA18988
EAS_JPT NA18989
EAS_JPT NA19072
EAS_JPT NA18985
EAS_JPT NA19066
EAS_JPT NA18967
EAS_JPT NA19068
EAS_JPT NA19004
EAS_JPT NA18961
EAS_JPT NA19007
EAS_JPT NA18971
EAS_JPT NA19060
EAS_JPT NA19056
EAS_JPT NA18948
EAS_JPT NA19075
EAS_JPT NA18955
EAS_JPT NA18990
EAS_JPT NA18984
EAS_JPT NA18959
EAS_JPT NA19063
EAS_JPT NA18994
EAS_JPT NA19012
EAS_KHV HG02140
EAS_KHV HG02069
EAS_KHV HG02522
EAS_KHV HG01597
EAS_KHV HG02048
EAS_KHV HG02049
EAS_KHV HG01871
EAS_KHV HG02072
EAS_KHV HG01859
EAS_KHV HG02121
EAS_KHV HG01595
EAS_KHV HG02031
EAS_KHV HG01599
EAS_KHV HG02127
EAS_KHV HG01869
EAS_KHV HG02139
EAS_KHV HG02523
EAS_KHV HG01868
EAS_KHV HG01851
EAS_KHV HG01878
EAS_KHV HG01841
EAS_KHV HG01600
EAS_KHV HG02016
EAS_KHV HG02046
EAS_KHV HG01855
EAS_KHV HG02130
EAS_KHV HG02513
EAS_KHV HG01843
EAS_KHV HG02075
EAS_KHV HG02019
EAS_KHV HG01848
EAS_KHV HG01853
EAS_KHV HG02081
EAS_KHV HG02142
EAS_KHV HG01870
EAS_KHV HG01874
EAS_KHV HG02133
EAS_KHV HG01845
EAS_KHV HG01850
EAS_KHV HG02059
EAS_KHV HG02136
EAS_KHV HG02084
EAS_KHV HG02071
EAS_KHV HG02122
EAS_KHV HG02077
EAS_KHV HG02040
EAS_KHV HG01867
EAS_KHV HG02032
EAS_KHV HG01861
EAS_KHV HG02135
EAS_KHV HG02035
EAS_KHV HG02026
EAS_KHV HG02070
EAS_KHV HG02079
EAS_KHV HG01852
EAS_KHV HG02047
EAS_KHV HG01842
EAS_KHV HG02073
EAS_KHV HG02015
EAS_KHV HG02050
EAS_KHV HG02082
EAS_KHV HG02088
EAS_KHV HG02027
EAS_KHV HG01840
EAS_KHV HG02061
EAS_KHV HG01872
EAS_KHV HG02137
EAS_KHV HG02058
EAS_KHV HG02076
EAS_KHV HG02138
EAS_KHV HG02017
EAS_KHV HG02083
EAS_KHV HG02120
EAS_KHV HG01846
EAS_KHV HG02021
EAS_KHV HG01860
EAS_KHV HG02067
EAS_KHV HG01849
EAS_KHV HG02064
EAS_KHV HG02023
EAS_KHV HG02132
EAS_KHV HG02131
EAS_KHV HG02521
EAS_KHV HG02128
