#FID IID
EUR_CEU NA12873
EUR_CEU NA12815
EUR_CEU NA12287
EUR_CEU NA10864
EUR_CEU NA12234
EUR_CEU NA12489
EUR_CEU NA10859
EUR_CEU NA12717
EUR_CEU NA12283
EUR_CEU NA12414
EUR_CEU NA07346
EUR_CEU NA11894
EUR_CEU NA11931
EUR_CEU NA10831
EUR_CEU NA07340
EUR_CEU NA12383
EUR_CEU NA11933
EUR_CEU NA06989
EUR_CEU NA10854
EUR_CEU NA12348
EUR_CEU NA07045
EUR_CEU NA12336
EUR_CEU NA07014
EUR_CEU NA11882
EUR_CEU NA12329
EUR_CEU NA10863
EUR_CEU NA07031
EUR_CEU NA12818
EUR_CEU NA12890
EUR_CEU NA12058
EUR_CEU NA12046
EUR_CEU NA12878
EUR_CEU NA11840
EUR_CEU NA12875
EUR_CEU NA07348
EUR_CEU NA12708
EUR_CEU NA12249
EUR_CEU NA12275
EUR_CEU NA12813
EUR_CEU NA12718
EUR_CEU NA12376
EUR_CEU NA12273
EUR_CEU NA12892
EUR_CEU NA10852
EUR_CEU NA12400
EUR_CEU NA12843
EUR_CEU NA07037
EUR_CEU NA11832
EUR_CEU NA10855
EUR_CEU NA12004
EUR_CEU NA12828
EUR_CEU NA12341
EUR_CEU NA10839
EUR_CEU NA11892
EUR_CEU NA12044
EUR_CEU NA12740
EUR_CEU NA06991
EUR_CEU NA11993
EUR_CEU NA12006
EUR_CEU NA12865
EUR_CEU NA07000
EUR_CEU NA06985
EUR_CEU NA07055
EUR_CEU NA12830
EUR_CEU NA12156
EUR_CEU NA10865
EUR_CEU NA11881
EUR_CEU NA12045
EUR_CEU NA12812
EUR_CEU NA10837
EUR_CEU NA12891
EUR_CEU NA12413
EUR_CEU NA12829
EUR_CEU NA12762
EUR_CEU NA06993
EUR_CEU NA12335
EUR_CEU NA12827
EUR_CEU NA12485
EUR_CEU NA07048
EUR_CEU NA11829
EUR_CEU NA12760
EUR_CEU NA10846
EUR_CEU NA07349
EUR_CEU NA12750
EUR_CEU NA12817
EUR_CEU NA06984
EUR_CEU NA10857
EUR_CEU NA10842
EUR_CEU NA12155
EUR_CEU NA11839
EUR_CEU NA12775
EUR_CEU NA12375
EUR_CEU NA12801
EUR_CEU NA11930
EUR_CEU NA11919
EUR_CEU NA07029
EUR_CEU NA12546
EUR_CEU NA12872
EUR_CEU NA12777
EUR_CEU NA12340
EUR_CEU NA07022
EUR_CEU NA12399
EUR_CEU NA10835
EUR_CEU NA12146
EUR_CEU NA12056
EUR_CEU NA12739
EUR_CEU NA11932
EUR_CEU NA12766
EUR_CEU NA10845
EUR_CEU NA12272
EUR_CEU NA11891
EUR_CEU NA10856
EUR_CEU NA12842
EUR_CEU NA12707
EUR_CEU NA12877
EUR_CEU NA12347
EUR_CEU NA07051
EUR_CEU NA12752
EUR_CEU NA07034
EUR_CEU NA11831
EUR_CEU NA12144
EUR_CEU NA06994
EUR_CEU NA12814
EUR_CEU NA12286
EUR_CEU NA10860
EUR_CEU NA12264
EUR_CEU NA12748
EUR_FIN HG00309
EUR_FIN HG00274
EUR_FIN HG00380
EUR_FIN HG00355
EUR_FIN HG00318
EUR_FIN HG00313
EUR_FIN HG00306
EUR_FIN HG00356
EUR_FIN HG00180
EUR_FIN HG00362
EUR_FIN HG00364
EUR_FIN HG00315
EUR_FIN HG00269
EUR_FIN HG00176
EUR_FIN HG00379
EUR_FIN HG00334
EUR_FIN HG00179
EUR_FIN HG00320
EUR_FIN HG00177
EUR_FIN HG00323
EUR_FIN HG00281
EUR_FIN HG00353
EUR_FIN HG00268
EUR_FIN HG00171
EUR_FIN HG00367
EUR_FIN HG00381
EUR_FIN HG00368
EUR_FIN HG00378
EUR_FIN HG00331
EUR_FIN HG00282
EUR_FIN HG00350
EUR_FIN HG00272
EUR_FIN HG00383
EUR_FIN HG00339
EUR_FIN HG00270
EUR_FIN HG00326
EUR_FIN HG00285
EUR_FIN HG00365
EUR_FIN HG00384
EUR_FIN HG00178
EUR_FIN HG00337
EUR_FIN HG00275
EUR_FIN HG00330
EUR_FIN HG00373
EUR_FIN HG00341
EUR_FIN HG00335
EUR_FIN HG00342
EUR_FIN HG00273
EUR_FIN HG00278
EUR_FIN HG00375
EUR_FIN HG00181
EUR_FIN HG00277
EUR_FIN HG00186
EUR_FIN HG00311
EUR_FIN HG00183
EUR_FIN HG00369
EUR_FIN HG00308
EUR_FIN HG00336
EUR_FIN HG00190
EUR_FIN HG00312
EUR_FIN HG00371
EUR_FIN HG00280
EUR_FIN HG00182
EUR_FIN HG00338
EUR_FIN HG00358
EUR_FIN HG00185
