#FID IID
SAS_BEB HG04159
SAS_BEB HG03913
SAS_BEB HG03829
SAS_BEB HG03616
SAS_BEB HG03922
SAS_BEB HG03808
SAS_BEB HG03916
SAS_BEB HG04141
SAS_BEB HG03607
SAS_BEB HG03928
SAS_BEB HG04180
SAS_BEB HG03919
SAS_BEB HG03931
SAS_BEB HG03604
SAS_BEB HG04186
SAS_BEB HG04171
SAS_BEB HG03934
SAS_BEB HG03007
SAS_BEB HG03907
SAS_BEB HG03796
SAS_BEB HG03832
SAS_BEB HG04177
SAS_BEB HG03814
SAS_BEB HG04195
SAS_BEB HG03805
SAS_BEB HG04189
SAS_BEB HG04144
SAS_BEB HG03826
SAS_BEB HG03937
SAS_BEB HG03589
SAS_BEB HG04173
SAS_BEB HG03594
SAS_BEB HG03824
SAS_BEB HG03833
SAS_BEB HG03902
SAS_BEB HG03822
SAS_BEB HG03911
SAS_BEB HG03914
SAS_BEB HG03809
SAS_BEB HG04185
SAS_BEB HG04161
SAS_BEB HG03593
SAS_BEB HG03917
SAS_BEB HG03600
SAS_BEB HG04155
SAS_BEB HG03012
SAS_BEB HG04140
SAS_BEB HG03615
SAS_BEB HG04152
SAS_BEB HG03905
SAS_BEB HG04158
SAS_BEB HG04176
SAS_BEB HG04134
SAS_BEB HG03926
SAS_BEB HG03800
SAS_BEB HG04188
SAS_BEB HG03920
SAS_BEB HG04146
SAS_BEB HG04194
SAS_BEB HG03585
SAS_GIH NA21125
SAS_GIH NA21108
SAS_GIH NA21103
SAS_GIH NA20902
SAS_GIH NA20908
SAS_GIH NA21089
SAS_GIH NA20859
SAS_GIH NA20862
SAS_GIH NA20872
SAS_GIH NA21088
SAS_GIH NA20874
SAS_GIH NA21106
SAS_GIH NA20877
SAS_GIH NA20881
SAS_GIH NA20879
SAS_GIH NA20851
SAS_GIH NA21102
SAS_GIH NA20892
SAS_GIH NA20882
SAS_GIH NA21097
SAS_GIH NA21120
SAS_GIH NA21121
SAS_GIH NA21144
SAS_GIH NA21137
SAS_GIH NA20868
SAS_GIH NA20847
SAS_GIH NA20894
SAS_GIH NA21143
SAS_GIH NA21141
SAS_GIH NA21122
SAS_GIH NA20853
SAS_GIH NA20888
SAS_GIH NA20875
SAS_GIH NA20893
SAS_GIH NA21101
SAS_GIH NA21111
SAS_GIH NA21123
SAS_GIH NA21128
SAS_GIH NA21118
SAS_GIH NA20897
SAS_GIH NA20846
SAS_GIH NA21134
SAS_GIH NA21093
SAS_GIH NA20864
SAS_GIH NA20898
SAS_GIH NA20904
SAS_GIH NA20883
SAS_GIH NA21127
SAS_GIH NA20850
SAS_GIH NA20911
SAS_GIH NA21130
SAS_GIH NA21129
SAS_GIH NA20909
SAS_GIH NA20890
SAS_GIH NA21115
SAS_GIH NA20905
SAS_GIH NA21099
SAS_GIH NA21116
SAS_GIH NA20867
SAS_GIH NA21104
SAS_GIH NA20873
SAS_GIH NA20863
SAS_GIH NA21112
SAS_GIH NA21109
SAS_GIH NA21107
SAS_GIH NA21090
SAS_GIH NA21117
SAS_GIH NA21114
SAS_GIH NA21087
SAS_GIH NA21100
SAS_GIH NA20895
SAS_GIH NA21133
SAS_GIH NA20891
SAS_GIH NA20884
SAS_GIH NA21119
SAS_GIH NA21098
SAS_GIH NA20861
SAS_GIH NA21105
SAS_ITU HG04118
SAS_ITU HG03772
