IID,predict,actual,pheno_num
HG00732,1.99884,0.44492,1
HG01052,1.87222,-0.670996,1
HG01064,1.19091,0.625901,1
HG01069,-1.70326,0.076555,1
HG01079,2.93276,-1.153797,1
HG01085,1.10675,-1.440395,1
HG01111,2.14928,-1.290514,1
HG01142,0.322017,-0.466465,1
HG01168,4.13696,0.473713,1
HG01182,0.758278,-1.008419,1
HG01183,2.2596,-1.805741,1
HG01200,5.27146,2.33072,1
HG01269,1.15954,-0.429331,1
HG01286,2.19421,-1.036846,1
HG01326,1.41252,-1.218349,1
HG01342,2.92824,-1.322036,1
HG01359,0.557373,0.068679,1
HG01360,0.556964,-1.622527,1
HG01374,3.80386,1.278189,1
HG01375,2.41828,0.563753,1
HG01384,3.15522,0.815929,1
HG01389,1.97723,-0.47846,1
HG01395,4.14271,1.103886,1
HG01403,2.82977,1.364773,1
HG01413,2.57226,-0.675269,1
HG01414,1.8977,0.834492,1
HG01440,-0.368365,-0.418772,1
HG01447,2.71487,0.079997,1
HG01455,0.727168,-0.638185,1
HG01461,1.17367,-1.132833,1
HG01465,2.95788,-0.520629,1
HG01488,3.67008,1.338449,1
HG01565,2.43653,0.457616,1
HG01918,-1.08857,-0.437621,1
HG01926,0.278461,0.845433,1
HG01944,2.90593,-1.100141,1
HG01945,-1.12945,-0.218126,1
HG01951,-0.6158,-0.850108,1
HG01979,1.19443,-0.193506,1
HG02008,1.15367,0.130011,1
HG02104,-0.099177,-1.310205,1
HG02105,-0.375183,-1.31058,1
HG02252,0.048387,1.716229,1
HG02312,1.11827,1.830939,1
HG02348,-0.136215,-0.547698,1
NA19648,2.24452,-0.902974,1
NA19655,1.72942,-0.10897,1
NA19658,4.17188,0.71355,1
NA19664,2.17726,0.563194,1
NA19684,2.02602,-0.449563,1
NA19734,-0.576678,-0.589749,1
NA19741,-0.868218,-0.950927,1
NA19752,0.26113,-1.108026,1
NA19759,-1.49036,-1.427685,1
NA19770,1.7651,-1.146322,1
HG00732,-17.845,1.246565,2
HG01052,-18.0651,-2.7098,2
HG01064,-15.7425,0.615177,2
HG01069,-8.95919,-0.398219,2
HG01079,-15.1336,-0.382477,2
HG01085,-14.2553,-0.54391,2
HG01111,-10.3394,-1.081292,2
HG01142,-0.259152,-1.002881,2
HG01168,-17.4852,0.870836,2
HG01182,-4.79289,1.154518,2
HG01183,-8.20495,0.887918,2
HG01200,-13.3489,-1.133522,2
HG01269,-14.1819,-1.255881,2
HG01286,-1.15238,1.046378,2
HG01326,-12.0332,-1.570395,2
HG01342,-12.1429,0.329779,2
HG01359,-4.32515,0.452946,2
HG01360,-12.632,-1.239421,2
HG01374,-11.377,-1.059196,2
HG01375,-9.26353,-0.232155,2
HG01384,1.36947,1.08878,2
HG01389,-9.05745,0.579499,2
HG01395,-17.5314,0.93406,2
HG01403,-14.8561,1.70535,2
HG01413,-9.81041,0.564859,2
HG01414,-21.3505,0.003984,2
HG01440,-0.784284,0.977398,2
HG01447,-21.4416,1.204275,2
HG01455,-4.84182,-0.23267,2
HG01461,-6.36027,0.104782,2
HG01465,-16.1028,0.140056,2
HG01488,-15.5209,0.376902,2
HG01565,2.59832,-1.163352,2
HG01918,14.2515,-0.330893,2
HG01926,11.1423,0.85221,2
HG01944,-0.420906,-0.110137,2
HG01945,3.59214,0.454054,2
HG01951,11.898,0.284976,2
HG01979,-2.0128,0.245993,2
HG02008,4.38466,0.819093,2
HG02104,12.4923,-0.443747,2
HG02105,18.4455,1.209643,2
HG02252,6.94862,0.86328,2
HG02312,-0.160987,-1.188269,2
HG02348,4.92987,0.512188,2
NA19648,-11.5108,-0.701406,2
NA19655,-18.3688,0.464873,2
NA19658,-16.1302,-0.147184,2
NA19664,-10.7684,0.702014,2
NA19684,-10.2052,0.651204,2
NA19734,1.19684,0.53478,2
NA19741,10.4349,0.159643,2
NA19752,-18.1987,0.146172,2
NA19759,9.7263,0.3872,2
NA19770,-12.0267,-3.086844,2
HG00732,-8.20206,0.559108,3
HG01052,0.126021,-0.173158,3
HG01064,-2.97121,1.059355,3
HG01069,-5.35886,0.741968,3
HG01079,-10.6851,0.700747,3
HG01085,-5.64051,-0.996551,3
HG01111,-4.25664,0.493148,3
HG01142,19.5677,-0.896411,3
HG01168,-4.06065,0.592961,3
HG01182,13.7211,0.672924,3
HG01183,4.91901,0.319239,3
HG01200,-11.6088,-0.3751,3
HG01269,5.43544,0.687812,3
HG01286,3.44224,0.077799,3
HG01326,7.76734,0.017299,3
HG01342,3.22605,-0.556373,3
HG01359,8.1988,-0.161559,3
HG01360,-9.80447,0.818443,3
HG01374,4.44694,-2.291455,3
HG01375,17.597,0.040823,3
HG01384,-6.60347,0.124187,3
HG01389,-3.68874,-0.503352,3
HG01395,-6.8018,-0.425146,3
