population/superpopulation,power,her,num_causals,pheno_num,train,test
EAS,-0.25,0.3,1,1,0.9277567637745421,0.010559791569906718
EAS,-0.25,0.3,1,2,0.7912014255995256,0.2365423778712992
EAS,-0.25,0.3,1,3,0.8080143378557575,0.011506787480219303
EAS,-0.25,0.3,1,4,0.7902284664481192,0.011294493538916048
EAS,-0.25,0.3,1,5,0.8822967398861943,0.5072490910451657
EAS,-0.25,0.3,1,6,0.8130017847685618,0.11418648094146515
EAS,-0.25,0.3,1,7,0.8173022905605771,0.18921813968308693
EAS,-0.25,0.3,1,8,0.8625387885843343,1.1594872797275784e-06
EAS,-0.25,0.3,1,9,0.9118927611766394,0.20726283018380623
EAS,-0.25,0.3,1,10,0.8161141031378002,0.2557904879805093
EAS,-0.25,0.3,1,11,0.8815769357874298,0.0635659429823886
EAS,-0.25,0.3,1,12,0.9117846793544965,0.1860490021984294
EAS,-0.25,0.3,1,13,0.929520261792693,0.053273813534753196
EAS,-0.25,0.3,1,14,0.9151590828337206,0.03658212090607647
EAS,-0.25,0.3,1,15,0.8679867791294383,0.03363985349306549
EAS,-0.25,0.3,1,16,0.9334632615005967,0.00014943893179401743
EAS,-0.25,0.3,1,17,0.9241305519442614,0.3599482802019297
EAS,-0.25,0.3,1,18,0.9427353895644172,3.323759517310461e-05
EAS,-0.25,0.3,1,19,0.8401856800089383,0.040628550665827975
EAS,-0.25,0.3,1,20,0.8966321691135987,1.6782627285172312e-05
