IID,predict,actual,pheno_num
HG00102,-0.198073,0.760536,1
HG00103,-0.125529,1.066173,1
HG00110,-0.454901,0.52472,1
HG00115,0.0362054,0.094823,1
HG00131,0.264423,0.993336,1
HG00132,0.487702,-0.977736,1
HG00136,0.190546,-1.142003,1
HG00139,-0.0759866,0.450394,1
HG00149,0.202677,1.160548,1
HG00174,0.0587234,-0.038852,1
HG00187,-0.182017,0.273778,1
HG00188,0.453396,2.185164,1
HG00232,-0.244206,-2.004571,1
HG00233,0.259517,1.384562,1
HG00244,-0.182065,-0.854303,1
HG00266,0.241134,0.428614,1
HG00267,0.222172,0.416932,1
HG00271,1.29032,2.278983,1
HG00276,-0.192492,0.097747,1
HG00304,0.207873,-0.258997,1
HG00310,-0.64609,0.949714,1
HG00319,0.146809,-0.521264,1
HG00325,1.18453,2.522021,1
HG00327,-0.627375,-0.455041,1
HG00328,0.0352154,0.728454,1
HG00329,-0.265779,1.123482,1
HG00343,0.377746,-0.021999,1
HG00349,-0.235455,1.935172,1
HG00357,-0.414777,-1.311613,1
HG00361,-0.388612,-0.387514,1
HG01507,-0.0250806,0.190397,1
HG01509,0.107578,-0.958033,1
HG01512,0.267892,-0.431387,1
HG01519,0.316635,0.029043,1
HG01525,0.228502,-0.145433,1
HG01615,-0.134008,1.116353,1
HG01618,-0.495867,0.636107,1
HG01620,-0.482464,0.232427,1
HG01631,0.23003,1.338773,1
HG01668,-0.0914536,0.949764,1
HG01675,-0.13916,1.1e-05,1
HG01679,0.00142235,0.131005,1
HG01707,0.123829,0.476493,1
HG01770,-0.425004,0.730027,1
HG01771,0.620206,-0.961876,1
HG01779,5.83537e-05,0.616993,1
HG01791,-0.328901,0.430488,1
HG02220,0.285835,0.708264,1
NA07056,0.257739,-0.298469,1
NA07347,-0.288768,0.296568,1
NA10851,0.656551,-0.395082,1
NA11843,-0.60872,-0.405465,1
NA11920,-0.151647,-0.345926,1
NA11995,0.0845974,-0.468783,1
NA12043,-0.348179,0.319037,1
NA12154,1.24145,1.406101,1
NA12342,-0.106215,1.500967,1
NA12716,-0.435379,0.454115,1
NA12749,0.0324334,0.345029,1
NA12751,-0.299632,-0.275908,1
NA12761,-0.447786,0.167431,1
NA12778,-0.378175,0.677857,1
NA12874,-0.185135,1.041791,1
NA20506,-0.0754566,0.040384,1
NA20511,-0.0201656,-0.844021,1
NA20512,0.0202004,1.210484,1
NA20513,0.0373064,-0.026963,1
NA20514,0.155401,-0.227808,1
NA20515,0.0442444,0.938745,1
NA20525,-0.395907,0.752539,1
NA20536,-0.0958026,0.130253,1
NA20541,0.0371554,-3.378474,1
NA20542,-0.131499,0.084716,1
NA20760,-0.0621886,0.036336,1
NA20761,0.152921,-0.768676,1
NA20765,0.209562,1.47676,1
NA20787,-0.0118656,0.451564,1
NA20792,-0.0317836,0.909823,1
