population/superpopulation,power,her,num_causals,pheno_num,train,test
SAS,-0.25,0.7,100,1,0.8815939680860302,0.46284355769532
SAS,-0.25,0.7,100,2,0.9715560160215679,0.12465394994832235
SAS,-0.25,0.7,100,3,0.9534618675208295,0.4151217086778018
SAS,-0.25,0.7,100,4,0.9516742418814006,0.44372909705612223
SAS,-0.25,0.7,100,5,0.9529372314178828,0.3226355153335879
SAS,-0.25,0.7,100,6,0.8807598117124442,0.207627252753657
SAS,-0.25,0.7,100,7,0.9123894593224446,0.5206009541109443
SAS,-0.25,0.7,100,8,0.8661114837049887,0.10774294812231858
SAS,-0.25,0.7,100,9,0.8745379534027086,0.38698155033750337
SAS,-0.25,0.7,100,10,0.9687387942282938,0.3531090383888123
SAS,-0.25,0.7,100,11,0.9297819719016925,0.11873480668100697
SAS,-0.25,0.7,100,12,0.9139205451806159,0.32917182597024836
SAS,-0.25,0.7,100,13,0.9618046091591304,0.4001285206352329
SAS,-0.25,0.7,100,14,0.9139829838328335,0.3976147258221827
SAS,-0.25,0.7,100,15,0.9587014005777836,0.28417517197649345
SAS,-0.25,0.7,100,16,0.9392208930653095,0.32205204743795113
SAS,-0.25,0.7,100,17,0.940708680527858,0.42947271234080503
SAS,-0.25,0.7,100,18,0.9546155396228687,0.2505910344439563
SAS,-0.25,0.7,100,19,0.8854402174269536,0.3040901518382008
SAS,-0.25,0.7,100,20,0.9539523670904093,0.3998635579986686
