IID,predict,actual,pheno_num
HG00732,0.136583,0.100013,1
HG01052,0.132606,-0.698065,1
HG01064,-0.144062,-0.340003,1
HG01069,0.0760587,-0.090647,1
HG01079,-0.129386,-0.874088,1
HG01085,-0.00409525,-0.553195,1
HG01111,0.257567,-0.893416,1
HG01142,-0.0192883,1.034869,1
HG01168,-0.240726,-0.615774,1
HG01182,-0.361204,-0.242882,1
HG01183,0.311304,0.526249,1
HG01200,-0.0671983,-0.233906,1
HG01269,0.477689,0.48969,1
HG01286,-0.257386,-0.265492,1
HG01326,-0.0459423,-0.738615,1
HG01342,0.122415,-0.108691,1
HG01359,0.0763407,-0.168923,1
HG01360,0.109144,0.590066,1
HG01374,-0.293361,-0.842464,1
HG01375,-0.317276,-0.819232,1
HG01384,0.109097,0.804389,1
HG01389,-0.0751833,1.365829,1
HG01395,0.356461,1.083731,1
HG01403,-0.286332,0.185532,1
HG01413,-0.110869,-1.277058,1
HG01414,-0.2069,0.74838,1
HG01440,-0.166641,0.186657,1
HG01447,-0.31354,0.070922,1
HG01455,-0.0764213,-0.32613,1
HG01461,0.169459,1.617799,1
HG01465,-0.0474033,0.610041,1
HG01488,2.35826,2.036526,1
HG01565,-0.295215,-0.112907,1
HG01918,0.221246,-0.737562,1
HG01926,-0.105553,-0.180254,1
HG01944,-0.316444,-0.103921,1
HG01945,-0.0551003,0.596299,1
HG01951,-0.226537,0.854151,1
HG01979,-0.0504663,1.086603,1
HG02008,0.161255,0.678805,1
HG02104,-0.0578303,-0.281661,1
HG02105,-0.0975663,-0.049716,1
HG02252,-0.281951,0.369051,1
HG02312,0.119881,0.161039,1
HG02348,0.1904,1.131653,1
NA19648,-0.210741,-1.156072,1
NA19655,-0.0285733,0.49085,1
NA19658,0.247695,0.573128,1
NA19664,-0.356983,-0.998057,1
NA19684,0.546372,1.451876,1
NA19734,-0.186015,-0.351585,1
NA19741,-0.0442453,-0.313523,1
NA19752,-0.142814,-0.003079,1
NA19759,-0.332745,-0.18191,1
NA19770,-0.227832,-1.379051,1
HG00732,0.0357449,-0.930756,2
HG01052,0.0166799,-3.162564,2
HG01064,0.214042,-0.262021,2
HG01069,0.0490529,-1.790356,2
HG01079,-0.329719,-1.103515,2
HG01085,0.174524,-0.14703,2
HG01111,-0.3527,-1.074704,2
HG01142,-0.157831,-0.491643,2
HG01168,0.258292,-0.316063,2
HG01182,0.203695,1.232379,2
HG01183,-0.0280561,0.26522,2
HG01200,0.213304,-0.517855,2
HG01269,0.0981379,-0.409106,2
HG01286,-0.342341,0.412588,2
HG01326,-0.00593513,1.531627,2
HG01342,0.399189,-0.050323,2
HG01359,-0.495754,1.477305,2
HG01360,0.303869,0.027051,2
HG01374,-0.422289,0.315354,2
HG01375,0.0350219,-1.352542,2
HG01384,-0.0769881,-0.113101,2
HG01389,0.262102,0.161887,2
HG01395,-0.45498,-0.077824,2
HG01403,-0.0997911,-0.146693,2
HG01413,-0.0406231,0.454434,2
HG01414,-0.376258,0.948891,2
HG01440,-0.644535,-0.169469,2
HG01447,-0.402004,-0.424173,2
HG01455,0.126443,-1.616928,2
HG01461,-0.273323,-0.165883,2
HG01465,-0.0466131,-1.409138,2
HG01488,0.252606,0.293461,2
HG01565,0.16001,-0.807671,2
HG01918,0.405295,1.044287,2
HG01926,0.220091,0.754078,2
HG01944,0.0668319,0.04024,2
HG01945,-0.139934,0.849913,2
HG01951,0.106691,0.238137,2
