IID,predict,actual,pheno_num
HG00732,0.147004,-0.838049,1
HG01052,0.0627012,-0.119381,1
HG01064,0.462445,1.534319,1
HG01069,-0.284169,-1.208327,1
HG01079,-0.153683,0.098076,1
HG01085,-0.107066,-0.883374,1
HG01111,-0.167017,0.466967,1
HG01142,-0.52263,-0.16425,1
HG01168,-0.0412718,1.446793,1
HG01182,0.171903,-1.638433,1
HG01183,0.358826,0.278813,1
HG01200,1.01062,-0.002505,1
HG01269,-0.160847,-0.144924,1
HG01286,-0.264059,-0.322789,1
HG01326,-0.157963,-1.449921,1
HG01342,-0.0183138,0.28175,1
HG01359,-0.421827,-0.661043,1
HG01360,-0.230162,-1.26291,1
HG01374,0.737443,1.648644,1
HG01375,-0.0272218,0.646181,1
HG01384,0.482466,2.3818,1
HG01389,-0.0545608,-0.198904,1
HG01395,-0.229788,0.985036,1
HG01403,0.79215,0.293319,1
HG01413,-0.236618,0.632306,1
HG01414,0.487654,0.991841,1
HG01440,-0.182806,0.344214,1
HG01447,0.233812,1.163267,1
HG01455,-0.0290368,-1.204031,1
HG01461,-0.322146,-0.315157,1
HG01465,0.121842,-0.811549,1
HG01488,0.174586,-0.383291,1
HG01565,0.465283,0.858161,1
HG01918,-0.39688,-0.756597,1
HG01926,0.450049,0.277998,1
HG01944,0.0574612,-0.796654,1
HG01945,-0.335279,0.054196,1
HG01951,-0.525936,-0.746068,1
HG01979,-0.224497,-1.486688,1
HG02008,-0.298095,1.407189,1
HG02104,-0.37523,-0.276322,1
HG02105,-0.246673,-0.457321,1
HG02252,0.332917,1.039796,1
HG02312,0.202955,0.973533,1
HG02348,-0.213364,0.124281,1
NA19648,-0.0178298,-1.435967,1
NA19655,0.0525502,-0.53571,1
NA19658,0.358197,-1.147027,1
NA19664,0.231152,0.904464,1
NA19684,-0.193872,-0.925979,1
NA19734,-0.121564,-1.822345,1
NA19741,-0.553999,-1.526853,1
NA19752,-0.0689088,-1.710482,1
NA19759,-0.338009,-0.075288,1
NA19770,0.127297,-0.737707,1
HG00732,0.085966,1.112717,2
HG01052,-0.641195,-2.164524,2
HG01064,0.288993,-0.883189,2
HG01069,0.142756,0.098718,2
HG01079,-0.096606,-0.629278,2
