IID,predict,actual,pheno_num
HG01589,0.541747,1.639751,1
HG02654,1.38695,2.895875,1
HG02685,-0.263738,-2.109642,1
HG02691,-0.235284,1.496781,1
HG02731,-0.130585,-0.55179,1
HG02734,0.0667376,1.298499,1
HG02736,0.531804,-0.34653,1
HG02774,0.0355396,0.733594,1
HG02783,0.285047,1.976641,1
HG02784,0.102426,-0.851478,1
HG03006,-0.170349,0.468865,1
HG03009,-0.0533804,-0.454619,1
HG03016,-0.282417,-0.852992,1
HG03021,-0.0597304,-0.666982,1
HG03490,1.24079,3.798687,1
HG03603,-0.0454624,0.616719,1
HG03611,-0.188562,-1.776934,1
HG03619,-0.161625,-0.584401,1
HG03629,-0.0768294,0.148818,1
HG03643,-0.1142,-0.104594,1
HG03645,-0.193286,0.333902,1
HG03649,1.64324,2.207675,1
HG03653,-0.0404384,-0.486828,1
HG03673,0.0221006,0.677409,1
HG03681,-0.0405234,1.968853,1
HG03691,-0.171085,0.412464,1
HG03718,-0.123264,0.589681,1
HG03744,0.0416706,-0.478796,1
HG03746,-0.129811,0.077017,1
HG03750,0.233639,0.18936,1
HG03756,-0.402087,-0.531596,1
HG03774,0.173023,1.044063,1
HG03781,0.0628926,-0.547692,1
HG03787,-0.11969,1.078905,1
HG03802,-0.512143,-1.161613,1
HG03821,-0.324487,-0.04227,1
HG03823,-0.198613,1.63939,1
HG03830,0.0529666,-1.020165,1
HG03851,-0.0844924,0.233432,1
HG03861,-0.179797,0.902761,1
HG03866,-0.117087,0.03816,1
HG03869,-0.265503,1.920252,1
HG03897,-0.22022,-0.428534,1
HG03910,-0.24187,0.126242,1
HG03940,0.480394,0.567917,1
HG03941,-0.157792,1.058047,1
HG03943,-0.0988864,1.196659,1
HG03978,0.111315,-1.047422,1
HG03999,-0.117831,0.3003,1
HG04001,-0.263233,-0.635839,1
HG04017,0.0380906,-0.4116,1
HG04020,0.262124,-1.544997,1
HG04025,-0.140462,0.837076,1
HG04035,-0.4379,-0.527921,1
HG04047,-0.375256,-0.529538,1
HG04059,-0.212531,0.159319,1
HG04061,1.1097,2.439219,1
HG04100,0.00772363,-0.293854,1
HG04131,-0.203904,-0.585211,1
HG04156,-0.130749,0.029314,1
HG04162,-0.10063,-0.14338,1
HG04183,0.0439406,0.214549,1
HG04211,-0.14916,0.672935,1
HG04238,-0.126208,0.250704,1
NA20845,-0.0169744,1.415801,1
NA20854,-0.171783,-0.013381,1
NA20856,-0.101183,0.236693,1
NA20869,0.00310663,-0.371996,1
NA20870,-0.129697,1.310179,1
NA20878,0.233319,1.346285,1
NA20885,-0.0515334,-0.454729,1
NA20899,-0.0714444,0.109277,1
NA20900,0.00682062,1.547649,1
NA20901,-0.110157,1.200996,1
NA20903,-0.0567554,-0.370294,1
NA20910,-0.141861,-0.232902,1
NA21086,0.0831376,-1.338076,1
NA21091,-0.141885,-0.538044,1
NA21092,-0.140372,0.619053,1
NA21094,0.137806,1.21271,1
NA21113,-0.13646,0.376553,1
HG01589,0.0816714,1.232368,2
HG02654,0.207832,0.942403,2
HG02685,-0.453397,-0.631967,2
HG02691,0.160005,-0.860855,2
HG02731,-0.231787,0.387639,2
HG02734,0.186315,1.805429,2
HG02736,-0.314385,-0.128196,2
HG02774,0.194282,0.423378,2
HG02783,-0.282555,0.949627,2
HG02784,0.264858,1.717808,2
HG03006,0.228692,0.068361,2
HG03009,0.0154804,0.92975,2
HG03016,0.163437,1.587168,2
HG03021,-0.214261,0.755104,2
HG03490,0.113369,0.029407,2
HG03603,-0.208853,-0.227835,2
HG03611,0.0537304,1.038452,2
HG03619,-0.00849262,-0.403424,2
HG03629,0.0527514,-1.564642,2
HG03643,0.0122094,-0.517241,2
HG03645,0.238925,0.302831,2
HG03649,-0.946511,-1.542344,2
HG03653,0.104583,0.517388,2
HG03673,0.149939,-0.017247,2
HG03681,-0.136054,0.559929,2
HG03691,0.00955238,-1.260355,2
HG03718,-0.328186,-0.168374,2
HG03744,0.0992944,1.264969,2
HG03746,0.0534144,0.496325,2
HG03750,-0.344713,0.8912,2
HG03756,-0.0100296,-0.05843,2
HG03774,0.0232364,1.106464,2
HG03781,-0.374414,0.498089,2
HG03787,-0.244053,0.837714,2
HG03802,0.192351,0.014605,2
HG03821,0.354564,0.997875,2
HG03823,0.0858324,-0.017621,2
HG03830,0.288423,-0.705948,2
HG03851,-0.0984536,-0.904176,2
HG03861,-0.142226,0.25949,2
HG03866,0.0117364,1.520017,2
HG03869,-0.0444376,0.995605,2
HG03897,0.208325,2.316439,2
HG03910,-0.0309416,0.921905,2
HG03940,0.112792,0.419981,2
HG03941,-0.140828,-1.830907,2
HG03943,-0.0679256,-0.035054,2
HG03978,-0.00650362,0.490667,2
HG03999,0.133204,1.668624,2
HG04001,-0.162163,0.340917,2
HG04017,-0.385757,0.489707,2
HG04020,0.0640284,-1.483769,2
HG04025,-0.251423,-0.601273,2
HG04035,-0.0133406,-1.25422,2
HG04047,0.190608,-0.636548,2
HG04059,-0.53718,0.263968,2
HG04061,0.0943854,0.517882,2
HG04100,-0.112284,-0.056564,2
HG04131,-0.0740976,-0.875735,2
HG04156,-0.132789,0.153836,2
HG04162,0.197575,-0.033807,2
HG04183,0.0246324,-0.843169,2
