IID,predict,actual,pheno_num
HG00102,-0.649708,0.039431,1
HG00103,0.0,0.597834,1
HG00110,0.0,-0.553046,1
HG00115,0.404256,0.113257,1
HG00131,0.404256,0.809792,1
HG00132,0.0,-0.014553,1
HG00136,0.404256,-0.657346,1
HG00139,0.0,0.803564,1
HG00149,0.404256,0.289687,1
HG00174,0.404256,0.49467,1
HG00187,0.404256,0.368029,1
HG00188,0.808512,1.467897,1
HG00232,0.0,0.178183,1
HG00233,0.0,1.261473,1
HG00244,0.404256,0.219956,1
HG00266,0.404256,-0.190813,1
HG00267,1.10854,-0.005372,1
HG00271,1.10854,2.377266,1
HG00276,0.0,0.585125,1
HG00304,1.40857,0.08039,1
HG00310,-0.245452,-0.111385,1
HG00319,0.0,-0.189422,1
HG00325,0.704284,1.738408,1
HG00327,1.10854,1.102543,1
HG00328,0.0,-0.038032,1
HG00329,0.0,1.973926,1
HG00343,0.404256,-0.491364,1
HG00349,0.0,0.522543,1
HG00357,0.404256,-0.785025,1
HG00361,0.808512,1.249209,1
HG01507,0.404256,0.407459,1
HG01509,0.0,-0.334936,1
HG01512,0.0,-0.36268,1
HG01519,0.0,0.304924,1
HG01525,0.0,-1.045364,1
HG01615,0.404256,1.840833,1
HG01618,0.0,-0.339413,1
HG01620,0.0,1.067486,1
HG01631,0.0,-0.289265,1
HG01668,-0.245452,1.002558,1
HG01675,0.0,0.585664,1
HG01679,0.0,1.732362,1
HG01707,0.404256,-0.694425,1
HG01770,-0.649708,-0.99261,1
HG01771,0.404256,0.033638,1
HG01779,0.0,0.096497,1
HG01791,0.0,0.926517,1
HG02220,0.0,0.637094,1
NA07056,0.808512,0.131664,1
NA07347,0.0,-0.016752,1
NA10851,0.808512,1.287948,1
NA11843,-0.649708,0.488129,1
NA11920,0.0,0.842414,1
NA11995,0.404256,0.315832,1
NA12043,0.0,-0.250283,1
NA12154,0.704284,4.130167,1
NA12342,0.404256,-0.137807,1
NA12716,-0.245452,-0.393311,1
NA12749,0.0,0.942514,1
NA12751,0.0,-0.507628,1
NA12761,-0.245452,-0.43908,1
NA12778,0.0,0.006573,1
NA12874,-0.649708,0.694007,1
NA20506,0.0,0.271906,1
NA20511,0.404256,0.117458,1
NA20512,0.404256,0.208157,1
NA20513,-0.649708,-0.534263,1
NA20514,0.0,-0.65287,1
NA20515,0.0,0.666486,1
NA20525,0.0,-0.53156,1
NA20536,0.404256,1.361498,1
NA20541,0.808512,0.48457,1
NA20542,0.054576,-1.100354,1
NA20760,0.0,-0.553716,1
NA20761,0.0,0.333234,1
NA20765,0.0,-0.442638,1
NA20787,-0.649708,0.207607,1
NA20792,0.404256,-0.425863,1
NA20796,-0.649708,-0.891883,1
NA20799,0.0,0.798367,1
NA20818,0.0,-0.452114,1
NA20819,0.0,0.035728,1
HG00102,0.0,1.001224,2
HG00103,0.0,0.27672,2
HG00110,0.0,-0.096515,2
HG00115,-1.33268,-0.85399,2
HG00131,0.0,1.43776,2
HG00132,-0.434516,-0.152006,2
HG00136,-0.568649,-0.380091,2
HG00139,-1.43768,1.472745,2
HG00149,0.0,1.709448,2
HG00174,-2.00633,-0.112511,2
HG00187,-1.66951,0.266009,2
HG00188,0.0,1.01361,2
HG00232,-0.434516,0.04615,2
HG00233,-0.568649,0.694818,2
