IID,predict,actual,pheno_num
HG01589,-0.474839,1.579966,1
HG02654,-1.11024,-0.176117,1
HG02685,5.03854,-1.03244,1
HG02691,0.602538,-0.295109,1
HG02731,-8.97044,-0.284071,1
HG02734,-4.65663,0.635125,1
HG02736,-7.03006,0.400438,1
HG02774,0.079638,-0.011789,1
HG02783,1.56732,0.083343,1
HG02784,-1.53118,-0.330452,1
HG03006,0.878834,0.548521,1
HG03009,-3.5915,-0.648881,1
HG03016,-2.29454,-0.389308,1
HG03021,-0.690736,0.483406,1
HG03490,0.250575,-0.058526,1
HG03603,1.71962,0.052573,1
HG03611,4.51222,-1.704736,1
HG03619,-2.3401,0.893444,1
HG03629,-1.06808,0.095512,1
HG03643,-0.23527,0.913541,1
HG03645,4.6925,-0.730625,1
HG03649,-5.00885,0.216573,1
HG03653,2.61362,-0.501679,1
HG03673,0.197883,1.310737,1
HG03681,5.46848,-0.536337,1
HG03691,-5.9589,0.441274,1
HG03718,0.544838,0.159136,1
HG03744,-0.621074,-1.051677,1
HG03746,-1.12302,-1.187156,1
HG03750,19.4269,0.888042,1
HG03756,-3.1458,-0.663605,1
HG03774,-2.3862,0.516464,1
HG03781,-1.12068,-1.980189,1
HG03787,0.15629,-0.883444,1
HG03802,-2.4425,0.631337,1
HG03821,-6.39051,0.91166,1
HG03823,-1.13195,-1.541409,1
HG03830,-2.77944,0.095776,1
HG03851,-3.80579,0.745708,1
HG03861,-2.12108,-1.839875,1
HG03866,-0.66134,0.037982,1
HG03869,-0.43198,0.168052,1
HG03897,3.78417,-0.769496,1
HG03910,-1.24156,-0.394479,1
HG03940,-0.840229,-1.055161,1
HG03941,-1.5137,0.165353,1
HG03943,-0.856493,-1.290696,1
HG03978,-2.69537,-1.203192,1
HG03999,4.01126,-1.733966,1
HG04001,3.1761,-0.809443,1
HG04017,4.69632,-0.881592,1
HG04020,-4.12442,-0.614795,1
HG04025,-1.66255,0.206228,1
HG04035,3.04308,-0.01668,1
HG04047,1.51987,0.720388,1
HG04059,3.29449,-0.427588,1
HG04061,-0.90971,1.64494,1
HG04100,-0.35828,0.263077,1
HG04131,-5.45564,-0.512546,1
HG04156,-11.4792,-0.308934,1
HG04162,5.79764,-1.990293,1
HG04183,-3.64378,-0.498803,1
HG04211,-7.22767,0.018741,1
HG04238,-1.61248,0.009386,1
NA20845,0.097139,-0.522565,1
NA20854,-3.84246,0.127561,1
NA20856,1.54772,-0.115869,1
NA20869,-0.613746,-0.958775,1
NA20870,-4.57856,-0.885182,1
NA20878,-3.27574,-0.934011,1
NA20885,-1.99193,1.549576,1
NA20899,2.36506,-0.198167,1
NA20900,-6.3476,-1.08294,1
NA20901,-8.89648,1.014478,1
NA20903,-1.16983,-0.119146,1
NA20910,-3.84575,-0.843942,1
NA21086,-5.11727,-0.736598,1
NA21091,4.59251,-0.725556,1
NA21092,-0.4445,0.393253,1
NA21094,0.527001,0.399512,1
NA21113,-2.16012,0.665413,1
HG01589,1.66868,0.729394,2
HG02654,0.983276,1.28789,2
HG02685,-3.34608,-0.931068,2
HG02691,0.263801,0.115114,2
HG02731,0.023625,0.047642,2
HG02734,2.19594,0.49918,2
HG02736,0.146664,-0.715936,2
HG02774,-0.284408,1.041,2
HG02783,-0.993381,-0.294612,2
HG02784,1.58256,0.215562,2
HG03006,-1.05908,-0.525497,2
HG03009,1.25556,0.660034,2
HG03016,1.50702,0.571268,2
HG03021,-0.358326,0.115364,2
HG03490,-2.57697,-0.971441,2
HG03603,0.077022,-0.739225,2
HG03611,-2.41494,1.913429,2
HG03619,1.77228,0.394125,2
