IID,predict,actual,pheno_num
HG00732,1.66421,0.93199,1
HG01052,-2.69572,-0.283532,1
HG01064,-19.5088,1.12229,1
HG01069,-20.9035,0.786841,1
HG01079,2.79799,1.064079,1
HG01085,-10.9491,-1.231487,1
HG01111,-5.47488,2.000952,1
HG01142,-14.1838,-0.349337,1
HG01168,-1.26746,1.268686,1
HG01182,-8.59477,-1.186814,1
HG01183,2.1735,-0.321478,1
HG01200,-0.050166,-1.148678,1
HG01269,-10.742,0.558416,1
HG01286,-4.20499,0.553496,1
HG01326,8.58043,-1.217641,1
HG01342,-2.90267,-1.360603,1
HG01359,-7.20506,0.954719,1
HG01360,-9.82577,0.437472,1
HG01374,3.08879,-0.704473,1
HG01375,1.17105,-1.498633,1
HG01384,-3.08098,-0.299854,1
HG01389,-6.64074,0.178803,1
HG01395,16.7977,-1.585199,1
HG01403,-12.9988,0.028709,1
HG01413,-16.3259,0.377556,1
HG01414,-5.31593,0.027407,1
HG01440,-16.939,1.640768,1
HG01447,-6.58668,-0.670139,1
HG01455,0.479522,0.849342,1
HG01461,-9.61365,0.114416,1
HG01465,-14.4805,-0.736739,1
HG01488,3.42764,0.200117,1
HG01565,0.63534,-0.718508,1
HG01918,-0.732645,-0.484473,1
HG01926,6.28475,1.211651,1
HG01944,-0.922513,0.054971,1
HG01945,-8.20325,-0.131197,1
HG01951,-3.84881,0.404144,1
HG01979,14.5167,1.352175,1
HG02008,-3.46429,0.692168,1
HG02104,-2.02665,1.008477,1
HG02105,8.12567,0.512301,1
HG02252,7.08286,1.339108,1
HG02312,-12.5205,0.21008,1
HG02348,7.53419,-0.757004,1
NA19648,-12.6889,0.098605,1
NA19655,-6.49274,0.080147,1
NA19658,-7.64042,2.30752,1
NA19664,2.32896,-0.888615,1
NA19684,4.67235,0.34415,1
NA19734,-5.51898,-1.588504,1
NA19741,-3.54737,-0.485529,1
NA19752,0.546428,0.249596,1
NA19759,7.70054,-0.661545,1
NA19770,-1.3888,-1.341494,1
HG00732,-3.12894,-0.314,2
HG01052,-10.846,-0.058492,2
HG01064,-24.4719,-0.34408,2
HG01069,-17.9383,-1.279664,2
HG01079,-10.6043,1.30768,2
HG01085,-5.9826,0.292996,2
HG01111,-19.6877,0.753013,2
HG01142,-14.8249,0.630123,2
HG01168,-10.4296,-1.39879,2
HG01182,-19.1903,0.61518,2
HG01183,-16.5604,2.23668,2
HG01200,-19.0581,-1.545294,2
HG01269,-18.6933,0.058512,2
HG01286,-13.6058,-0.550046,2
HG01326,-10.2145,-0.701294,2
HG01342,-8.85182,-2.063424,2
HG01359,-29.7113,-0.3717,2
HG01360,-8.69324,-1.411854,2
HG01374,-7.98959,-0.216435,2
HG01375,-26.9332,0.839471,2
HG01384,-20.9662,-1.033595,2
HG01389,-9.61055,0.376594,2
HG01395,-7.68118,-0.843492,2
HG01403,-11.3438,1.175588,2
HG01413,-22.7141,1.130701,2
HG01414,-5.41999,0.599957,2
HG01440,-19.4508,0.19587,2
HG01447,-19.2403,-1.62218,2
HG01455,-9.82113,1.18311,2
HG01461,-13.1699,0.20873,2
HG01465,-19.1124,-0.077565,2
HG01488,-4.07166,0.536832,2
HG01565,2.50744,-0.399443,2
HG01918,1.28527,0.046217,2
HG01926,-2.44704,0.093732,2
