IID,predict,actual,pheno_num
HG01894,-0.358651,0.354696,1
HG02013,0.380168,0.65738,1
HG02332,-0.162268,-1.623123,1
HG02343,0.302889,1.495735,1
HG02427,-0.212934,-2.350443,1
HG02449,0.138423,0.723947,1
HG02455,-0.678426,0.103266,1
HG02471,-0.0368671,-0.19878,1
HG02496,-0.529015,-0.47391,1
HG02497,0.135221,0.411408,1
HG02549,-0.00279008,-1.537472,1
HG02557,0.275993,1.944617,1
HG02558,-0.128504,-0.797706,1
HG02568,0.0993499,-0.183608,1
HG02570,-0.223228,0.078252,1
HG02611,1.21559,1.35551,1
HG02628,-0.469462,-1.346547,1
HG02678,-0.319177,-1.217614,1
HG02703,-0.408255,-2.72897,1
HG02760,-0.553946,-1.370821,1
HG02804,1.84669,1.217095,1
HG02810,-0.0472591,-1.249416,1
HG02814,-0.165123,-2.737587,1
HG02851,-0.0138171,-0.972733,1
HG02882,-0.641452,-1.201039,1
HG02884,-0.956652,-0.814789,1
HG02891,-0.60662,0.726163,1
HG02895,-0.139035,-1.515122,1
HG02922,0.0752749,-0.11772,1
HG02923,-0.457565,-0.433621,1
HG02943,0.555277,-0.976534,1
HG02944,-0.931223,-1.035805,1
HG02971,0.207058,1.138182,1
HG02981,-0.245537,-2.384131,1
HG03025,0.454434,0.420414,1
HG03039,-0.697877,-0.908327,1
HG03040,-0.494726,-0.170669,1
HG03046,-0.0678351,-0.375772,1
HG03073,0.483222,-0.208887,1
HG03078,0.19837,-1.219892,1
HG03079,-0.146834,0.221774,1
HG03085,1.78465,1.00354,1
HG03099,0.103095,0.18706,1
HG03109,0.439502,0.597352,1
HG03169,-0.373565,-0.675265,1
HG03199,-0.764129,-0.392537,1
HG03224,0.616445,0.771293,1
HG03265,0.418879,0.48146,1
HG03270,0.239501,-0.465112,1
HG03291,0.179334,-0.043878,1
HG03342,-0.404226,0.970173,1
HG03351,-0.354164,-2.067347,1
HG03369,-0.855688,-1.304511,1
HG03380,-0.0564901,-1.412447,1
HG03385,-0.133378,-0.87863,1
HG03388,-0.0707121,-0.252109,1
HG03394,-0.262691,-2.217657,1
HG03436,-0.24321,-0.700736,1
HG03455,0.28865,-1.531289,1
HG03457,1.87373,2.279507,1
HG03458,-0.640048,-0.047251,1
HG03485,-0.166037,-0.716932,1
HG03521,0.102575,-0.999991,1
HG03563,0.458235,0.760307,1
NA18486,0.517542,-1.103807,1
NA18498,0.254813,-1.862072,1
NA18505,0.0874879,-2.094844,1
NA18861,0.766068,-1.536349,1
NA18867,1.36743,-0.479234,1
NA18874,-0.311245,-0.698015,1
NA18881,-0.0733421,0.130152,1
NA18915,0.946823,0.794897,1
NA18916,0.246919,0.301469,1
NA19017,-1.09783,-2.241605,1
NA19019,-0.342245,-1.212816,1
NA19020,-0.614379,-0.584538,1
NA19026,-0.736731,-0.322665,1
NA19108,-1.01507,-2.042844,1
NA19137,-0.35694,-2.071057,1
NA19144,-0.561502,-1.126523,1
NA19149,0.526639,-0.425549,1
NA19190,0.0452059,0.632788,1
NA19200,-0.37851,0.743313,1
NA19207,-0.00400808,1.566018,1
NA19225,-0.418496,0.480397,1
NA19257,0.0255349,-1.452966,1
NA19309,-0.784828,-3.3295,1
NA19315,-0.422667,-2.646895,1
NA19331,0.0824469,-0.17308,1
NA19379,0.168009,-0.592617,1
NA19383,0.128909,-1.680469,1
NA19384,0.415811,0.315406,1
NA19390,0.131438,0.41143,1
NA19404,0.84137,-0.092858,1
NA19431,0.835574,-0.310776,1
NA19439,-0.656698,-0.79457,1
NA19448,0.947294,1.731087,1
NA19449,0.0210869,-1.620065,1
NA19462,-0.379275,-1.413383,1
NA19466,-0.414552,1.117763,1
NA19701,0.0600939,-0.338242,1
NA19711,0.20881,0.066914,1
NA19923,1.06395,2.587418,1
NA20291,-0.325909,-0.212138,1
NA20294,0.565756,-1.647839,1
NA20340,-0.0342391,-0.283951,1
NA20342,0.184404,0.06079,1
NA20355,-0.486624,-1.881024,1
NA20412,-0.364087,-1.086722,1
HG01894,-0.389929,-0.533532,2
HG02013,0.419095,1.215294,2
HG02332,-1.27747,-0.697753,2
HG02343,0.922762,0.997389,2
HG02427,0.0215502,-2.201754,2
HG02449,0.351835,-0.351793,2
HG02455,-0.363633,0.518162,2
HG02471,-0.244076,-0.726776,2
HG02496,-0.489444,0.564909,2
HG02497,0.868086,1.161902,2
HG02549,-0.704904,-1.895382,2
HG02557,0.694233,0.962082,2
HG02558,-0.285152,-2.269269,2
HG02568,-0.305334,-2.290005,2
HG02570,-0.0601648,-0.659848,2
HG02611,0.644143,-0.348891,2
HG02628,-0.179197,-0.863299,2
HG02678,-0.380032,-0.570617,2
HG02703,-1.15027,-0.569221,2
HG02760,-0.555248,-0.452348,2
HG02804,2.05636,0.149213,2
HG02810,-0.333602,-1.871035,2
HG02814,-0.278625,-1.454079,2
HG02851,-0.414144,-1.274821,2
HG02882,-0.396441,-0.969229,2
HG02884,-0.711961,-0.580227,2
HG02891,0.0588933,-0.039027,2
HG02895,0.0330712,-1.410031,2
HG02922,0.374229,-0.723083,2
HG02923,-0.0641488,-0.372846,2
HG02943,-0.22911,-2.123571,2
HG02944,-0.645026,0.389893,2
HG02971,0.377332,0.496517,2
HG02981,-0.586377,-1.413339,2
HG03025,0.390997,0.97412,2
HG03039,-0.332034,-0.960022,2
HG03040,-0.314884,-1.314438,2
HG03046,0.418691,-1.169368,2
HG03073,1.27187,-0.497134,2
HG03078,0.398083,-2.388277,2
HG03079,-0.0192097,-0.133123,2
HG03085,1.66811,0.992023,2
HG03099,-0.126321,0.463319,2
HG03109,0.401416,0.288831,2
HG03169,-0.860808,0.168095,2
HG03199,-0.728626,-2.182735,2
HG03224,-0.0875518,0.612546,2
HG03265,0.518833,-0.074275,2
HG03270,-0.0419647,-0.598844,2
HG03291,0.471969,-1.128972,2
HG03342,-0.229265,-0.309846,2
HG03351,-0.605339,-1.04249,2
HG03369,-1.08129,-1.817991,2
HG03380,-0.867312,-0.599764,2
HG03385,-0.00150375,-0.446736,2
HG03388,-0.188601,0.388485,2
HG03394,-0.0413328,-2.039435,2
HG03436,0.307699,-1.425847,2
HG03455,-0.311766,-0.510925,2
HG03457,2.11683,2.177295,2
HG03458,0.300077,-0.699198,2
HG03485,-0.287337,-1.622236,2
HG03521,0.349349,-0.663139,2
HG03563,0.984571,0.928675,2
NA18486,0.614432,-0.10422,2
NA18498,-0.351099,-1.737284,2
NA18505,-0.203832,-2.008879,2
NA18861,-0.224823,-1.040214,2
NA18867,1.62267,0.978306,2
NA18874,-0.30997,-1.872924,2
NA18881,0.222977,0.544321,2
NA18915,1.16229,0.233599,2
NA18916,-0.256231,-0.579151,2
NA19017,-1.07322,-1.916998,2
NA19019,-0.558495,-1.361411,2
NA19020,-0.418102,-1.125486,2
NA19026,0.177243,-0.840996,2
NA19108,-1.02285,-1.717256,2
NA19137,0.0301333,-1.834947,2
NA19144,-0.595779,-1.49188,2
NA19149,-0.0426697,-0.197252,2
NA19190,0.217022,-1.239133,2
NA19200,0.762461,-0.368008,2
NA19207,-0.13219,1.557735,2
NA19225,-0.345224,-0.855694,2
NA19257,-0.458563,-2.167461,2
NA19309,-1.64278,-2.804131,2
NA19315,-0.498377,-1.792893,2
NA19331,-0.513521,-1.022819,2
NA19379,0.385123,-1.450089,2
NA19383,-0.200436,-1.545869,2
NA19384,1.21047,0.079534,2
NA19390,0.0716843,-0.608756,2
NA19404,1.18279,0.572019,2
NA19431,0.704424,0.11585,2
NA19439,-0.547955,-0.820983,2
NA19448,1.88599,2.374168,2
NA19449,0.334548,-1.142191,2
NA19462,-0.951775,-0.367721,2
NA19466,-0.66489,0.099366,2
NA19701,0.0893463,-1.578633,2
NA19711,0.0124182,0.504985,2
NA19923,0.562643,0.722607,2
NA20291,-0.451028,-0.717303,2
NA20294,0.173959,-0.631742,2
NA20340,-0.18751,-0.781748,2
NA20342,0.382879,-0.534714,2
NA20355,-0.483364,-0.57234,2
NA20412,-0.404852,-1.432981,2
HG01894,-0.564251,-0.359003,3
HG02013,0.340794,-0.000234,3
HG02332,-0.91449,-1.445089,3
HG02343,0.137367,0.851223,3
HG02427,-0.478938,-1.24925,3
HG02449,0.0174204,0.100101,3
HG02455,-0.219556,1.202219,3
HG02471,-0.540989,0.121302,3
HG02496,-0.379636,0.334113,3
HG02497,0.324428,0.481389,3
HG02549,0.102479,-1.75399,3
HG02557,0.956216,1.148669,3
HG02558,-0.445416,-2.088572,3
HG02568,-0.0652776,-0.5674,3
HG02570,-0.241716,0.239971,3
HG02611,0.707296,0.704327,3
HG02628,-0.0881646,-0.327915,3
HG02678,-0.204868,-0.369119,3
HG02703,-1.05244,-0.332122,3
HG02760,-0.0663266,-0.867993,3
HG02804,1.7739,0.736631,3
HG02810,-0.61571,-0.674117,3
HG02814,-0.501916,-2.237648,3
HG02851,-0.126391,-0.678191,3
HG02882,-0.709233,-1.070676,3
HG02884,-0.41052,0.214596,3
HG02891,-0.419476,0.157745,3
HG02895,-0.160967,-1.458539,3
HG02922,0.0331754,-0.450181,3
HG02923,-0.13086,-0.93698,3
HG02943,0.194156,-0.80027,3
HG02944,-0.468638,0.056946,3
HG02971,0.643507,0.592325,3
HG02981,-0.0624576,-1.421826,3
HG03025,1.15484,-0.231654,3
HG03039,-0.729686,-0.653874,3
HG03040,-0.4963,-1.042771,3
HG03046,-0.123903,0.414926,3
HG03073,0.555265,-0.589456,3
HG03078,0.0112914,-1.973518,3
HG03079,-0.100767,-0.538831,3
HG03085,1.40094,0.856008,3
HG03099,-0.0557636,-0.719874,3
HG03109,0.36227,0.541843,3
HG03169,-0.506754,-0.204981,3
HG03199,-0.23379,-0.630385,3
HG03224,0.88244,0.3246,3
HG03265,0.620835,0.755879,3
HG03270,-0.306787,-0.513871,3
HG03291,0.110675,0.341211,3
HG03342,-0.427477,0.210346,3
HG03351,-0.534786,-2.1393,3
HG03369,-0.728483,-1.358241,3
HG03380,-0.154417,-1.289821,3
HG03385,-0.137838,0.29956,3
HG03388,-0.267103,-1.350034,3
HG03394,0.0212724,-2.163298,3
HG03436,0.34172,-1.366945,3
HG03455,0.374579,-0.208775,3
HG03457,1.71504,2.581322,3
HG03458,0.214478,0.490387,3
HG03485,-0.446601,0.503179,3
HG03521,-0.359234,-0.761811,3
HG03563,0.276004,0.918012,3
NA18486,0.88873,-0.414516,3
NA18498,-0.438414,-2.027659,3
NA18505,-1.02881,-2.529618,3
NA18861,0.629099,-0.688871,3
