IID,predict,actual,pheno_num
HG00102,-0.029542,0.394748,1
HG00103,1.46626,-0.542739,1
HG00110,0.265035,-0.893506,1
HG00115,0.296756,-0.313814,1
HG00131,-0.004146,0.955062,1
HG00132,1.42426,0.750377,1
HG00136,1.67552,-0.047326,1
HG00139,0.556874,-0.291692,1
HG00149,-0.330684,-0.213471,1
HG00174,0.800835,-0.972007,1
HG00187,0.562705,0.897655,1
HG00188,0.643437,1.563631,1
HG00232,0.910411,1.352719,1
HG00233,0.950773,0.419469,1
HG00244,0.312207,0.472056,1
HG00266,0.336367,0.300486,1
HG00267,1.46876,1.194582,1
HG00271,2.34602,3.456564,1
HG00276,-0.047172,-1.446387,1
HG00304,3.48915,-0.639396,1
HG00310,1.31605,-0.462534,1
HG00319,1.18274,0.136115,1
HG00325,2.6653,4.461275,1
HG00327,0.923442,-0.18692,1
HG00328,-0.383539,0.03298,1
HG00329,1.04515,0.580828,1
HG00343,1.1372,0.139135,1
HG00349,0.675944,-0.145722,1
HG00357,0.027944,0.056787,1
HG00361,0.985318,1.082626,1
HG01507,0.205425,0.96342,1
HG01509,1.27656,0.724129,1
HG01512,0.366695,0.208123,1
HG01519,1.58287,-0.016413,1
HG01525,0.594058,-1.308397,1
HG01615,-0.047172,-0.675739,1
HG01618,1.41585,0.766267,1
HG01620,-0.06664,-0.109987,1
HG01631,0.96565,1.375989,1
HG01668,0.611142,1.191472,1
HG01675,1.23381,0.402666,1
HG01679,1.77359,0.044343,1
HG01707,-0.682679,-0.380885,1
HG01770,0.937781,-0.932918,1
HG01771,-0.014331,0.136415,1
HG01779,-0.034474,0.655308,1
HG01791,1.0424,0.988737,1
HG02220,3.0193,0.812132,1
NA07056,0.942372,1.043885,1
NA07347,0.306585,1.366714,1
NA10851,1.26828,1.071158,1
NA11843,-0.361012,0.176573,1
NA11920,0.621176,-0.813594,1
NA11995,-0.023894,-1.61854,1
NA12043,0.296756,-0.770796,1
NA12154,1.94552,3.760739,1
NA12342,0.581565,-0.075132,1
NA12716,0.314386,-0.847626,1
NA12749,0.611893,0.290576,1
NA12751,2.23491,-0.372786,1
NA12761,0.464468,0.299994,1
NA12778,0.661067,0.584148,1
NA12874,-0.099481,-0.206789,1
NA20506,0.665964,0.069286,1
NA20511,0.030328,0.519534,1
NA20512,0.611893,-0.342975,1
NA20513,1.81348,-0.052026,1
NA20514,0.643437,-0.1505,1
NA20515,0.708239,-0.579012,1
NA20525,0.893241,-0.675531,1
NA20536,0.643437,-0.952945,1
NA20541,0.316899,-0.474526,1
NA20542,1.59158,-0.615549,1
NA20760,0.912795,0.864517,1
NA20761,1.5069,0.84066,1
NA20765,0.61263,-0.731068,1
NA20787,0.399666,-0.75437,1
NA20792,1.43647,0.161818,1
NA20796,0.913341,-1.895278,1
NA20799,0.289195,-0.140895,1
NA20818,0.616039,0.163414,1
NA20819,1.12308,-1.751159,1
HG00102,2.05766,3.262055,2
HG00103,0.124995,-1.202996,2
HG00110,0.483711,-1.136906,2
HG00115,-0.402358,-0.342613,2
HG00131,-0.402358,1.351012,2
HG00132,2.27859,0.148784,2
HG00136,0.0,-0.894607,2
HG00139,-0.402358,1.287747,2
HG00149,0.0,-1.466422,2
HG00174,0.0,-0.800939,2
HG00187,-0.402358,0.914185,2
HG00188,-0.407858,-0.224801,2
HG00232,0.990163,0.693958,2
HG00233,0.098594,-0.929121,2
HG00244,-0.0055,-0.705216,2
HG00266,0.086853,-0.580941,2
HG00267,-0.402358,-0.035094,2
HG00271,2.96097,0.718775,2
HG00276,0.0,-0.146584,2
HG00304,0.990163,7.6e-05,2
HG00310,-0.0055,0.181668,2
HG00319,1.0338,1.324152,2
HG00325,2.16176,1.578845,2
HG00327,0.619706,-1.222346,2
HG00328,-0.402358,-1.011408,2
HG00329,0.929711,0.556777,2
HG00343,-0.402358,-0.545441,2
HG00349,0.0,0.044906,2
HG00357,0.396858,0.89427,2
HG00361,1.56295,1.268794,2
HG01507,0.929711,0.502327,2
HG01509,0.500952,1.435845,2
HG01512,-0.402358,-0.264633,2
HG01519,-0.402358,0.095075,2
HG01525,-0.402358,-0.013306,2
HG01615,0.593305,-0.735688,2
HG01618,0.995663,-0.715094,2
HG01620,-0.0055,0.368951,2
HG01631,0.0,1.034067,2
HG01668,0.086853,-0.190425,2
HG01675,0.396858,0.253101,2
HG01679,1.0338,-1.469687,2
HG01707,-0.0055,-1.615536,2
HG01770,1.56845,1.059908,2
HG01771,0.793716,0.678428,2
HG01779,-0.402358,-0.66459,2
HG01791,0.90331,-0.185465,2
HG02220,2.34863,0.748552,2
NA07056,0.0,0.297419,2
NA07347,0.0,-0.575484,2
NA10851,0.90331,0.561816,2
NA11843,-0.407858,-0.130516,2
NA11920,-0.407858,-0.244428,2
NA11995,-0.402358,-2.067711,2
NA12043,0.489211,-0.595698,2
NA12154,3.49382,3.306707,2
