IID,predict,actual,pheno_num
HG00102,-0.293082,1.684313,1
HG00103,-0.137827,-1.197481,1
HG00110,0.169861,1.608378,1
HG00115,-0.0510142,-0.488975,1
HG00131,-0.0455732,0.585731,1
HG00132,0.0985008,0.232511,1
HG00136,0.0300948,-0.011632,1
HG00139,0.152767,-0.745523,1
HG00149,0.153102,-0.641066,1
HG00174,0.0201398,0.716349,1
HG00187,0.191517,0.75599,1
HG00188,0.249851,-0.948459,1
HG00232,-0.444906,0.569386,1
HG00233,-0.0537712,2.193546,1
HG00244,0.137309,0.888535,1
HG00266,0.284132,-2.330193,1
HG00267,0.136611,-0.116733,1
HG00271,0.00616276,0.12057,1
HG00276,-0.387657,0.221361,1
HG00304,0.156308,-0.256555,1
HG00310,0.194383,0.608021,1
HG00319,0.0463258,-0.087134,1
HG00325,0.224433,1.896391,1
HG00327,-0.0479162,0.087686,1
HG00328,-0.300347,-1.115579,1
HG00329,0.00492476,-2.132015,1
HG00343,0.17142,0.03905,1
HG00349,-0.198231,0.442964,1
HG00357,-0.258725,0.598233,1
HG00361,0.0331158,-1.143937,1
HG01507,-0.262133,1.0043,1
HG01509,-0.204753,0.164821,1
HG01512,0.202112,-1.904201,1
HG01519,0.176917,1.856659,1
HG01525,-0.0408422,-1.629859,1
HG01615,-0.0224222,-0.681843,1
HG01618,0.147623,-0.475475,1
HG01620,0.190147,-1.014034,1
HG01631,-0.0381402,-0.683223,1
HG01668,-0.111223,-1.217898,1
HG01675,-0.157072,-1.120185,1
HG01679,-0.0454382,0.431837,1
HG01707,-0.13378,-0.894609,1
HG01770,0.335576,-0.160787,1
HG01771,-0.0133772,-0.999382,1
HG01779,0.221675,1.484774,1
HG01791,-0.279186,1.84169,1
HG02220,-0.0324122,-0.739192,1
NA07056,0.127214,-0.152478,1
NA07347,0.0935558,-0.548044,1
NA10851,-0.00360024,-1.631126,1
NA11843,-0.0175092,-0.148627,1
NA11920,-0.112828,-0.445475,1
NA11995,0.00111676,0.743254,1
NA12043,-0.393285,-0.284045,1
NA12154,0.0572468,1.479187,1
NA12342,0.143723,-1.023757,1
NA12716,-0.0229372,-1.92596,1
