IID,predict,actual,pheno_num
HG01894,-0.422768,-2.010196,1
HG02013,0.0,-1.033104,1
HG02332,0.0,-0.243674,1
HG02343,-0.422768,0.293621,1
HG02427,0.0,-0.197756,1
HG02449,0.0,0.224473,1
HG02455,0.0,-0.597641,1
HG02471,0.0,-1.510801,1
HG02496,-0.845536,-1.507193,1
HG02497,0.518148,0.499339,1
HG02549,-0.422768,1.396161,1
HG02557,0.518148,0.97274,1
HG02558,0.0,-2.499315,1
HG02568,0.0,-0.516361,1
HG02570,-0.422768,-1.295661,1
HG02611,-0.327388,0.468884,1
HG02628,0.0,-0.040916,1
HG02678,-0.422768,-0.827378,1
HG02703,0.0,-0.627223,1
HG02760,0.0,-1.436201,1
HG02804,1.0363,0.781359,1
HG02810,-0.422768,-0.702426,1
HG02814,-0.422768,-0.087311,1
HG02851,0.0,-2.986485,1
HG02882,-0.422768,-3.489976,1
HG02884,0.0,-0.330294,1
HG02891,-0.422768,-0.187141,1
HG02895,0.0,0.418665,1
HG02922,0.0,0.076433,1
HG02923,0.0,-0.738547,1
HG02943,0.0,0.808675,1
HG02944,0.0,-0.874464,1
HG02971,0.0,0.086703,1
HG02981,-0.422768,-0.71195,1
HG03025,0.518148,0.230909,1
HG03039,0.0,-1.161805,1
HG03040,-0.422768,0.200345,1
HG03046,-0.845536,0.193733,1
HG03073,0.0,0.620553,1
HG03078,0.0,-1.697773,1
HG03079,0.0,-0.646757,1
HG03085,1.0363,-1.498857,1
HG03099,0.0,1.299974,1
HG03109,0.518148,0.719327,1
HG03169,0.0,-0.68719,1
HG03199,0.0,-0.74555,1
HG03224,-0.422768,-0.978016,1
HG03265,0.0,-1.398126,1
HG03270,-0.845536,0.604136,1
HG03291,0.0,-1.60348,1
HG03342,-0.422768,1.860968,1
HG03351,0.0,0.538736,1
HG03369,0.0,0.224132,1
HG03380,-0.422768,-1.166533,1
HG03385,-0.845536,0.404775,1
HG03388,0.0,-0.119419,1
HG03394,-0.422768,-0.700766,1
HG03436,0.0,-0.000873,1
HG03455,0.0,-1.160402,1
HG03457,0.518148,-0.130453,1
HG03458,-0.422768,0.978042,1
HG03485,0.0,0.092102,1
HG03521,0.0,0.135782,1
HG03563,0.0,-0.422306,1
NA18486,0.09538,-0.044843,1
NA18498,0.0,-0.65721,1
NA18505,-0.422768,0.500586,1
NA18861,0.518148,-0.299412,1
NA18867,0.518148,-1.288972,1
NA18874,0.0,0.418455,1
NA18881,-0.422768,2.409832,1
NA18915,0.518148,0.104126,1
NA18916,-0.422768,-0.125744,1
NA19017,0.0,-0.399573,1
NA19019,0.0,-0.713832,1
NA19020,-0.422768,-0.257182,1
NA19026,0.0,-3.117964,1
NA19108,-0.422768,-0.479026,1
NA19137,0.0,-0.967396,1
NA19144,0.0,-0.849414,1
NA19149,-0.845536,1.710067,1
NA19190,0.0,0.535464,1
NA19200,0.518148,0.436907,1
NA19207,-0.422768,1.53571,1
NA19225,0.0,-1.410566,1
NA19257,0.0,-0.943167,1
NA19309,-0.422768,-1.192967,1
NA19315,0.0,-1.906315,1
NA19331,-0.422768,-0.491501,1
NA19379,0.0,-1.604075,1
NA19383,0.0,-1.741098,1
NA19384,-0.422768,0.043676,1
NA19390,0.0,-0.567875,1
NA19404,0.518148,1.531521,1
NA19431,0.09538,-0.555501,1
NA19439,0.0,-2.046419,1
NA19448,-0.327388,1.767883,1
NA19449,-0.422768,-2.380708,1
NA19462,-0.422768,-0.090841,1
NA19466,0.0,1.688126,1
NA19701,0.0,0.759094,1
NA19711,-0.422768,-1.033579,1
NA19923,0.09538,1.806365,1
NA20291,-0.422768,1.768118,1
NA20294,0.0,-0.398488,1
NA20340,0.0,0.260094,1
NA20342,-0.422768,0.313269,1
NA20355,0.0,-0.949048,1
NA20412,-0.422768,-0.86103,1
HG01894,0.0,0.463106,2
HG02013,0.353884,-1.555844,2
HG02332,0.0,-0.596511,2
HG02343,0.353884,0.069167,2
HG02427,0.0,0.076976,2
HG02449,0.353884,-0.14593,2
HG02455,0.0,0.399137,2
HG02471,0.0,-0.630389,2
HG02496,0.0,-0.541432,2
HG02497,0.0,0.215522,2
HG02549,0.0,-1.361831,2
HG02557,0.0,-0.217826,2
HG02558,0.353884,-1.237716,2
HG02568,0.0,-1.143879,2
HG02570,0.0,-0.325845,2
HG02611,0.353884,-0.979755,2
HG02628,0.0,-1.22259,2
