IID,predict,actual,pheno_num
HG00407,-0.0124679,-0.51033,1
HG00421,-0.00549286,0.332953,1
HG00436,0.0691421,-1.23337,1
HG00443,-0.0287539,0.68005,1
HG00445,-0.00651686,1.583118,1
HG00451,0.0647201,0.544129,1
HG00500,0.0455791,0.153084,1
HG00536,-0.0215459,-1.955256,1
HG00543,0.0440181,-0.836165,1
HG00560,-0.0371799,0.380966,1
HG00580,0.0299661,-0.566479,1
HG00596,0.0182061,0.701548,1
HG00610,-0.0115219,-0.473167,1
HG00611,-0.0187179,0.018993,1
HG00619,0.0436571,-0.784616,1
HG00626,0.0796271,-1.573737,1
HG00672,-0.0736709,0.558381,1
HG00692,-0.0827279,0.155657,1
HG00699,0.0525371,-0.117838,1
HG00867,0.0160211,0.985067,1
HG00978,-0.0587829,-2.074403,1
HG01596,0.0756151,0.178158,1
HG01798,0.0441101,-1.044085,1
HG01815,-0.0288459,-0.698607,1
HG01816,-0.000330859,0.052115,1
HG01817,-0.00242586,-0.620796,1
HG01847,0.0688531,-1.012999,1
HG01858,0.0300631,0.996463,1
HG01865,-0.0260969,-1.860259,1
HG02028,0.0119551,-0.81318,1
HG02060,-0.0597079,0.766874,1
HG02086,-0.0142809,1.17,1
HG02087,-0.0124199,0.122357,1
HG02116,0.0190761,0.914084,1
HG02166,0.00205314,1.23742,1
HG02178,-0.0752879,-1.422363,1
HG02187,-0.0184999,0.057811,1
HG02353,0.0428311,-0.107675,1
HG02367,-0.0686239,-1.590864,1
HG02373,0.0502351,1.013504,1
HG02384,-0.00706786,-2.322519,1
HG02394,-0.0246089,-0.997856,1
HG02395,0.00548214,0.705631,1
HG02512,0.0367501,1.659388,1
NA18525,0.00337414,-0.365783,1
NA18528,-0.0416739,-0.94263,1
NA18530,0.0573681,0.007868,1
NA18534,-0.0242049,-1.603996,1
NA18539,-0.0807099,0.150099,1
NA18544,0.0112011,-0.521481,1
NA18547,-0.00431986,-1.26616,1
NA18564,-0.0555599,-0.536123,1
NA18572,0.0374551,-0.262204,1
NA18615,-0.0600829,-1.312917,1
NA18616,0.0214661,-2.307986,1
NA18626,0.0529111,0.300987,1
NA18635,-0.0175039,-1.993736,1
NA18641,-0.0903219,-0.629632,1
NA18747,0.0379131,0.407956,1
NA18748,0.0288941,-0.385383,1
NA18939,0.0511791,0.725934,1
NA18940,-0.0558549,-1.341169,1
NA18953,-0.0547439,-0.797974,1
NA18957,-0.0400189,-0.32087,1
NA18974,0.0282941,0.942732,1
NA18978,-0.0399119,1.162117,1
NA18981,0.0219151,0.728891,1
NA18986,-0.00632086,-1.075376,1
NA18991,0.0193381,-1.321684,1
NA18992,0.0543371,-0.495936,1
NA18993,0.0266061,-2.021348,1
NA18995,-0.0611289,0.191587,1
NA19005,0.0953911,-1.029164,1
NA19059,-0.0817709,-1.204174,1
NA19070,0.0374201,0.437758,1
NA19082,-0.0177939,0.331311,1
NA19085,0.0169641,-2.316036,1
NA19086,-0.0250319,-0.297793,1
HG00407,0.146711,-0.10466,2
HG00421,-0.105575,0.168035,2
HG00436,0.0722525,-0.0367,2
HG00443,-0.436858,-0.483809,2
HG00445,0.20242,-0.338501,2
HG00451,-0.0952505,0.129044,2
HG00500,-0.141576,-0.344068,2
HG00536,0.390817,-0.230798,2
HG00543,-0.588139,-0.806567,2
