IID,predict,actual,pheno_num
HG00407,0.231045,0.165928,1
HG00421,-0.462174,-1.184586,1
HG00436,0.552885,0.914215,1
HG00443,-0.42259,-0.548043,1
HG00445,1.26447,1.515527,1
HG00451,-0.256615,0.279524,1
HG00500,1.1681,0.898271,1
HG00536,-0.340274,-1.093874,1
HG00543,-0.245288,-0.768077,1
HG00560,0.173217,1.496921,1
HG00580,-0.287221,0.479682,1
HG00596,0.462654,0.798772,1
HG00610,-0.582213,-0.578703,1
HG00611,-0.434134,-0.731803,1
HG00619,-0.29491,-0.78091,1
HG00626,-0.339968,-0.600526,1
HG00672,0.321968,-0.116096,1
HG00692,-0.0849485,-1.410741,1
HG00699,0.213524,-0.034703,1
HG00867,-0.979032,-0.106824,1
HG00978,-0.547665,0.839505,1
HG01596,-0.207329,0.261702,1
HG01798,-0.131698,-0.783714,1
HG01815,-0.426348,0.189961,1
HG01816,-0.499424,-1.827028,1
HG01817,0.420897,0.018011,1
HG01847,-0.385867,-0.467848,1
HG01858,-0.302187,-0.040659,1
HG01865,0.330545,0.728284,1
HG02028,0.366107,-0.215809,1
HG02060,0.432471,0.175385,1
HG02086,0.329837,1.055473,1
HG02087,-0.318692,-0.787374,1
HG02116,0.29075,1.30956,1
HG02166,-0.336047,0.113467,1
HG02178,-0.369885,-1.002372,1
HG02187,-0.390979,0.279679,1
HG02353,-0.18505,0.081876,1
HG02367,0.256716,0.523225,1
HG02373,1.22685,0.06851,1
HG02384,-0.0309075,0.450027,1
HG02394,-0.295872,-0.838276,1
HG02395,-0.482572,-0.806019,1
HG02512,0.486291,-0.165098,1
NA18525,-0.127228,-0.597758,1
NA18528,0.109298,0.794752,1
NA18530,0.308998,-0.617253,1
NA18534,-0.564547,-1.230638,1
NA18539,-0.590931,-0.484517,1
NA18544,-0.410118,0.590743,1
NA18547,0.696833,0.2722,1
NA18564,0.487228,-0.381623,1
NA18572,0.37873,-0.156127,1
NA18615,0.409863,0.32017,1
NA18616,0.530407,0.209121,1
NA18626,0.54672,-0.083365,1
NA18635,0.372545,0.252927,1
NA18641,1.19588,0.880716,1
NA18747,0.492831,0.115663,1
NA18748,0.0883925,-0.416853,1
NA18939,0.564273,0.452811,1
NA18940,-0.518355,-1.237671,1
NA18953,0.237905,1.123716,1
NA18957,-0.0288145,-1.035171,1
NA18974,0.340948,0.752174,1
NA18978,-0.250871,-0.430855,1
NA18981,-0.713288,-0.658107,1
NA18986,-0.431797,0.243979,1
NA18991,-0.262637,0.095939,1
NA18992,-0.342528,0.450616,1
NA18993,-0.504765,-0.552812,1
NA18995,0.412196,0.171871,1
NA19005,-0.361739,-0.911088,1
NA19059,-0.103758,-1.192554,1
NA19070,-0.286955,0.02621,1
NA19082,0.252336,0.003765,1
NA19085,-0.373006,-0.593921,1
NA19086,-0.442511,-0.862381,1
HG00407,0.746356,0.993236,2
HG00421,0.671939,0.840403,2
HG00436,0.247091,1.199965,2
HG00443,-0.672106,0.445498,2
HG00445,0.563039,1.01485,2
HG00451,-0.844066,-0.50602,2
HG00500,-0.950937,-1.069172,2
HG00536,0.0464898,0.682972,2
HG00543,-0.603823,-0.122665,2
HG00560,0.806879,1.155747,2
HG00580,0.126438,-0.275464,2
HG00596,0.0841308,-0.104632,2
HG00610,-0.555288,-0.16706,2
HG00611,-0.131472,-0.542168,2
HG00619,-0.562694,-1.290392,2
HG00626,0.415968,0.787456,2
HG00672,0.596378,0.855631,2
HG00692,0.282315,1.533122,2
HG00699,0.0799728,0.469389,2
HG00867,0.484293,0.009477,2
HG00978,0.0928718,1.247957,2
HG01596,-0.0147172,0.774655,2
HG01798,0.0666088,0.02757,2
HG01815,0.0945368,1.270958,2
HG01816,0.207336,1.488325,2
HG01817,-0.563971,0.887068,2
HG01847,-0.259986,-0.00295,2
HG01858,0.612722,1.62345,2
HG01865,0.207111,0.632144,2
HG02028,-0.264355,0.178798,2
HG02060,0.16132,0.712927,2
HG02086,0.0191448,1.813393,2
HG02087,0.0681958,1.885653,2
HG02116,-0.152985,-1.126218,2
HG02166,0.23589,-0.646904,2
HG02178,0.352375,-0.559941,2
HG02187,-0.0902632,-0.435592,2
HG02353,0.190529,0.22511,2
HG02367,0.0361318,-0.406454,2
HG02373,-0.658475,-1.441988,2
HG02384,0.238909,1.210358,2
HG02394,-0.340016,0.45747,2
HG02395,0.140482,0.825963,2
HG02512,-0.0205912,-1.008735,2
NA18525,0.100866,0.751278,2
NA18528,-0.142419,-0.480671,2
NA18530,-0.551095,-0.100195,2
NA18534,0.192523,0.741835,2
NA18539,0.624794,0.839858,2
NA18544,-1.14372,-1.052797,2
NA18547,0.4089,0.393804,2
NA18564,0.5768,1.307194,2
NA18572,-0.193243,0.03874,2
NA18615,0.648597,1.12416,2
NA18616,-0.21484,0.410159,2
NA18626,0.43429,1.747737,2
NA18635,-0.290101,0.342905,2
NA18641,-0.165467,-0.351599,2
NA18747,0.175654,0.274328,2
NA18748,-0.0774462,0.073995,2
NA18939,-0.744575,-0.398027,2
NA18940,0.106548,0.414803,2
NA18953,-0.0283872,0.259556,2
NA18957,-0.707208,-0.060779,2
NA18974,0.684557,-0.139337,2
NA18978,-0.708338,-0.51474,2
NA18981,-0.0681482,0.0632,2
